condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Earth,187,18.2,26.2,23.7,22.7,-5.5,3.5,0.67,0.22
Calm,Closing,Blue,Fire,237,24.5,19.0,23.7,22.7,0.8,-3.7,1.24,-0.19
Calm,Closing,Blue,Metal,166,22.9,27.1,23.7,22.7,-0.8,4.4,0.81,0.14
Calm,Closing,Blue,Water,161,25.5,24.8,23.7,22.7,1.8,2.2,0.98,0.06
Calm,Closing,Blue,Wood,143,21.0,23.1,23.7,22.7,-2.7,0.4,0.87,0.02
Calm,Closing,Green,Earth,109,30.3,19.3,23.7,22.7,6.6,-3.4,1.51,-0.45
Calm,Closing,Green,Fire,159,20.8,21.4,23.7,22.7,-2.9,-1.3,0.93,0.01
Calm,Closing,Green,Metal,91,35.2,24.2,23.7,22.7,11.5,1.5,1.39,-0.17
Calm,Closing,Green,Water,103,21.4,19.4,23.7,22.7,-2.3,-3.3,1.05,-0.05
Calm,Closing,Green,Wood,102,22.5,22.5,23.7,22.7,-1.1,-0.1,0.96,-0.11
Calm,Closing,Orange,Earth,177,20.3,22.0,23.7,22.7,-3.3,-0.7,0.88,0.06
Calm,Closing,Orange,Fire,175,24.6,24.6,23.7,22.7,0.9,1.9,0.96,0.07
Calm,Closing,Orange,Metal,166,24.7,25.9,23.7,22.7,1.0,3.2,0.91,0.01
Calm,Closing,Orange,Water,186,26.3,22.0,23.7,22.7,2.7,-0.6,1.15,-0.17
Calm,Closing,Orange,Wood,131,26.7,19.8,23.7,22.7,3.0,-2.8,1.29,-0.25
Calm,Closing,Purple,Earth,174,24.7,17.8,23.7,22.7,1.0,-4.9,1.33,-0.41
Calm,Closing,Purple,Fire,153,30.7,20.9,23.7,22.7,7.1,-1.8,1.41,-0.31
Calm,Closing,Purple,Metal,103,21.4,19.4,23.7,22.7,-2.3,-3.3,1.05,0.19
Calm,Closing,Purple,Water,93,28.0,17.2,23.7,22.7,4.3,-5.5,1.56,-0.53
Calm,Closing,Purple,Wood,124,21.0,25.0,23.7,22.7,-2.7,2.3,0.8,0.29
Calm,Closing,Red,Fire,39,10.3,35.9,23.7,22.7,-13.4,13.2,0.27,0.95
Calm,Closing,Yellow,Earth,301,25.9,22.9,23.7,22.7,2.2,0.2,1.08,-0.01
Calm,Closing,Yellow,Fire,416,22.6,20.9,23.7,22.7,-1.1,-1.8,1.04,0.04
Calm,Closing,Yellow,Metal,252,20.6,27.0,23.7,22.7,-3.0,4.3,0.73,0.23
Calm,Closing,Yellow,Water,312,24.0,18.3,23.7,22.7,0.4,-4.4,1.26,-0.27
Calm,Closing,Yellow,Wood,274,25.2,26.6,23.7,22.7,1.5,4.0,0.91,0.13
Calm,Elimination,Yellow,Water,30,30.0,26.7,27.8,18.3,2.2,8.4,0.74,0.08
Calm,Mixed,Blue,Earth,31,32.3,19.4,33.1,22.2,-0.8,-2.9,1.12,0.06
Calm,Mixed,Blue,Fire,45,40.0,22.2,33.1,22.2,6.9,-0.0,1.21,-0.5
Calm,Mixed,Green,Fire,38,31.6,21.1,33.1,22.2,-1.5,-1.2,1.01,0.12
Calm,Mixed,Orange,Earth,32,37.5,21.9,33.1,22.2,4.4,-0.4,1.15,-0.45
Calm,Mixed,Orange,Fire,30,40.0,23.3,33.1,22.2,6.9,1.1,1.15,-0.52
Calm,Mixed,Orange,Metal,36,41.7,11.1,33.1,22.2,8.6,-11.1,2.52,-1.05
Calm,Mixed,Orange,Water,35,40.0,22.9,33.1,22.2,6.9,0.6,1.18,-0.37
Calm,Mixed,Purple,Fire,42,26.2,28.6,33.1,22.2,-6.9,6.3,0.62,0.25
Calm,Mixed,Yellow,Earth,66,36.4,13.6,33.1,22.2,3.3,-8.6,1.79,-0.56
Calm,Mixed,Yellow,Fire,98,25.5,24.5,33.1,22.2,-7.6,2.3,0.7,0.3
Calm,Mixed,Yellow,Metal,53,30.2,28.3,33.1,22.2,-2.9,6.1,0.72,0.58
Calm,Mixed,Yellow,Water,58,31.0,19.0,33.1,22.2,-2.0,-3.3,1.1,-0.27
Calm,Mixed,Yellow,Wood,61,41.0,19.7,33.1,22.2,7.9,-2.6,1.4,-0.47
Calm,Open,Blue,Earth,305,25.6,22.3,28.5,20.8,-2.9,1.5,0.84,-0.0
Calm,Open,Blue,Fire,441,22.7,23.1,28.5,20.8,-5.8,2.3,0.72,0.05
Calm,Open,Blue,Metal,306,28.1,23.2,28.5,20.8,-0.4,2.4,0.88,-0.09
Calm,Open,Blue,Water,269,27.1,16.4,28.5,20.8,-1.4,-4.4,1.21,-0.47
Calm,Open,Blue,Wood,259,28.2,22.0,28.5,20.8,-0.3,1.2,0.93,-0.05
Calm,Open,Green,Earth,208,26.4,17.8,28.5,20.8,-2.1,-3.0,1.09,-0.21
Calm,Open,Green,Fire,264,26.1,22.3,28.5,20.8,-2.4,1.5,0.85,-0.04
Calm,Open,Green,Metal,187,28.3,26.2,28.5,20.8,-0.2,5.4,0.79,0.04
Calm,Open,Green,Water,170,33.5,18.2,28.5,20.8,5.0,-2.6,1.34,-0.55
Calm,Open,Green,Wood,147,21.1,28.6,28.5,20.8,-7.4,7.8,0.54,0.26
Calm,Open,Orange,Earth,311,26.0,18.3,28.5,20.8,-2.5,-2.5,1.04,-0.25
Calm,Open,Orange,Fire,313,26.5,21.1,28.5,20.8,-2.0,0.3,0.92,-0.13
Calm,Open,Orange,Metal,269,26.0,21.6,28.5,20.8,-2.5,0.8,0.88,-0.14
Calm,Open,Orange,Water,274,32.8,16.8,28.5,20.8,4.3,-4.0,1.43,-0.59
Calm,Open,Orange,Wood,213,27.7,23.0,28.5,20.8,-0.8,2.2,0.88,-0.0
Calm,Open,Purple,Earth,230,31.3,20.9,28.5,20.8,2.8,0.1,1.09,-0.5
