condition,round_type,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,0,0,79,20.3,29.1,25.1,23.0,-4.8,6.1,0.64,0.49
Calm,Closing,25,25,101,27.7,24.8,25.1,23.0,2.7,1.7,1.03,0.11
Calm,Closing,25,50,418,25.8,27.3,25.1,23.0,0.8,4.3,0.87,0.02
Calm,Closing,25,75,201,27.4,24.4,25.1,23.0,2.3,1.4,1.03,-0.09
Calm,Closing,50,25,39,33.3,23.1,25.1,23.0,8.3,0.1,1.33,-0.24
Calm,Closing,50,50,701,23.5,20.5,25.1,23.0,-1.5,-2.5,1.05,-0.13
Calm,Closing,50,75,473,23.0,23.3,25.1,23.0,-2.0,0.2,0.91,0.0
Calm,Closing,75,50,227,29.1,17.6,25.1,23.0,4.0,-5.4,1.52,-0.44
Calm,Elimination,50,50,69,30.4,26.1,28.2,24.8,2.2,1.3,1.03,0.27
Calm,Mixed,0,0,30,20.0,53.3,29.5,30.7,-9.5,22.7,0.39,2.19
Calm,Mixed,25,50,187,26.2,30.5,29.5,30.7,-3.3,-0.2,0.89,0.71
Calm,Mixed,50,50,141,40.4,17.0,29.5,30.7,10.9,-13.6,2.47,-0.54
Calm,Mixed,50,75,146,22.6,37.7,29.5,30.7,-6.9,7.0,0.62,0.94
Calm,Mixed,75,75,53,22.6,50.9,29.5,30.7,-6.9,20.3,0.46,1.99
Calm,Open,0,0,327,12.8,39.4,27.6,23.8,-14.7,15.6,0.28,1.68
Calm,Open,25,25,191,30.4,20.9,27.6,23.8,2.8,-2.9,1.25,-0.14
Calm,Open,25,50,782,30.3,22.4,27.6,23.8,2.7,-1.5,1.17,-0.3
Calm,Open,25,75,358,29.9,21.8,27.6,23.8,2.3,-2.0,1.19,-0.25
Calm,Open,50,50,1545,26.8,23.8,27.6,23.8,-0.8,-0.1,0.98,-0.07
Calm,Open,50,75,816,31.9,21.7,27.6,23.8,4.3,-2.1,1.27,-0.24
Calm,Open,75,50,362,24.9,21.8,27.6,23.8,-2.7,-2.0,0.99,-0.02
