condition,round_type,exec_bucket,upside_bucket,chinese_zodiac,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,25,50,Dog,62,27.4,17.7,23.6,22.7,3.8,-5.0,1.49,-0.26
Calm,Closing,25,50,Dragon,82,22.0,19.5,23.6,22.7,-1.7,-3.2,1.08,0.08
Calm,Closing,25,50,Goat,86,20.9,22.1,23.6,22.7,-2.7,-0.7,0.91,-0.08
Calm,Closing,25,50,Horse,80,23.8,22.5,23.6,22.7,0.1,-0.2,1.02,-0.43
Calm,Closing,25,50,Monkey,56,25.0,26.8,23.6,22.7,1.4,4.0,0.9,0.15
Calm,Closing,25,50,Ox,72,18.1,26.4,23.6,22.7,-5.6,3.6,0.66,0.5
Calm,Closing,25,50,Pig,96,21.9,30.2,23.6,22.7,-1.7,7.5,0.7,0.45
Calm,Closing,25,50,Rabbit,79,21.5,26.6,23.6,22.7,-2.1,3.8,0.78,0.06
Calm,Closing,25,50,Rat,102,31.4,15.7,23.6,22.7,7.8,-7.1,1.93,-0.67
Calm,Closing,25,50,Rooster,72,20.8,20.8,23.6,22.7,-2.8,-1.9,0.96,-0.13
Calm,Closing,25,50,Snake,90,31.1,15.6,23.6,22.7,7.5,-7.2,1.93,-0.4
Calm,Closing,25,50,Tiger,65,23.1,21.5,23.6,22.7,-0.5,-1.2,1.03,-0.21
Calm,Closing,25,75,Dog,31,38.7,19.4,23.6,22.7,15.1,-3.4,1.93,-0.72
Calm,Closing,25,75,Dragon,30,20.0,33.3,23.6,22.7,-3.6,10.6,0.58,0.46
Calm,Closing,25,75,Horse,38,26.3,28.9,23.6,22.7,2.7,6.2,0.88,0.57
Calm,Closing,25,75,Monkey,32,21.9,37.5,23.6,22.7,-1.7,14.8,0.56,-0.09
Calm,Closing,25,75,Ox,32,15.6,15.6,23.6,22.7,-8.0,-7.1,0.96,0.11
Calm,Closing,25,75,Pig,37,24.3,21.6,23.6,22.7,0.7,-1.1,1.08,-0.33
Calm,Closing,25,75,Rabbit,39,15.4,20.5,23.6,22.7,-8.2,-2.2,0.72,0.07
Calm,Closing,25,75,Rat,30,33.3,16.7,23.6,22.7,9.7,-6.1,1.93,-0.4
Calm,Closing,25,75,Rooster,44,25.0,20.5,23.6,22.7,1.4,-2.3,1.18,-0.19
Calm,Closing,25,75,Snake,37,16.2,24.3,23.6,22.7,-7.4,1.6,0.64,0.49
Calm,Closing,25,75,Tiger,30,20.0,26.7,23.6,22.7,-3.6,3.9,0.72,0.37
Calm,Closing,50,50,Dog,127,26.0,23.6,23.6,22.7,2.4,0.9,1.06,0.08
Calm,Closing,50,50,Dragon,104,12.5,28.8,23.6,22.7,-11.1,6.1,0.42,0.75
Calm,Closing,50,50,Goat,124,21.0,27.4,23.6,22.7,-2.6,4.7,0.74,0.24
Calm,Closing,50,50,Horse,122,29.5,18.0,23.6,22.7,5.9,-4.7,1.58,-0.41
Calm,Closing,50,50,Monkey,103,27.2,20.4,23.6,22.7,3.6,-2.4,1.28,-0.17
Calm,Closing,50,50,Ox,113,20.4,28.3,23.6,22.7,-3.3,5.6,0.69,0.26
Calm,Closing,50,50,Pig,139,24.5,25.2,23.6,22.7,0.9,2.4,0.94,0.23
Calm,Closing,50,50,Rabbit,153,26.8,19.0,23.6,22.7,3.2,-3.8,1.36,0.03
Calm,Closing,50,50,Rat,161,28.0,19.3,23.6,22.7,4.3,-3.5,1.4,-0.44
Calm,Closing,50,50,Rooster,150,24.7,19.3,23.6,22.7,1.1,-3.4,1.23,-0.31
Calm,Closing,50,50,Snake,155,20.6,21.9,23.6,22.7,-3.0,-0.8,0.91,0.17
Calm,Closing,50,50,Tiger,101,28.7,22.8,23.6,22.7,5.1,0.0,1.21,-0.32
Calm,Closing,50,75,Dog,88,12.5,21.6,23.6,22.7,-11.1,-1.2,0.56,0.29
Calm,Closing,50,75,Dragon,74,20.3,18.9,23.6,22.7,-3.3,-3.8,1.03,-0.1
Calm,Closing,50,75,Goat,65,20.0,30.8,23.6,22.7,-3.6,8.0,0.63,0.55
Calm,Closing,50,75,Horse,90,23.3,27.8,23.6,22.7,-0.3,5.0,0.81,0.07
Calm,Closing,50,75,Monkey,72,26.4,18.1,23.6,22.7,2.8,-4.7,1.41,-0.43
Calm,Closing,50,75,Ox,78,12.8,25.6,23.6,22.7,-10.8,2.9,0.48,0.35
Calm,Closing,50,75,Pig,74,21.6,21.6,23.6,22.7,-2.0,-1.1,0.96,0.04
Calm,Closing,50,75,Rabbit,108,23.1,25.0,23.6,22.7,-0.5,2.3,0.89,-0.0
Calm,Closing,50,75,Rat,90,22.2,28.9,23.6,22.7,-1.4,6.1,0.74,0.38
Calm,Closing,50,75,Rooster,94,23.4,20.2,23.6,22.7,-0.2,-2.5,1.12,-0.17
Calm,Closing,50,75,Snake,88,30.7,21.6,23.6,22.7,7.1,-1.2,1.37,-0.43
Calm,Closing,50,75,Tiger,64,29.7,12.5,23.6,22.7,6.1,-10.2,2.29,-0.88
Calm,Closing,75,50,Dragon,32,18.8,18.8,23.6,22.7,-4.9,-4.0,0.96,0.02
Calm,Closing,75,50,Goat,33,33.3,18.2,23.6,22.7,9.7,-4.6,1.77,-0.66
Calm,Closing,75,50,Horse,45,22.2,17.8,23.6,22.7,-1.4,-5.0,1.2,-0.1
Calm,Closing,75,50,Ox,43,20.9,27.9,23.6,22.7,-2.7,5.2,0.72,0.32
Calm,Closing,75,50,Pig,47,19.1,21.3,23.6,22.7,-4.5,-1.5,0.87,0.04
Calm,Closing,75,50,Rat,40,27.5,22.5,23.6,22.7,3.9,-0.2,1.18,0.25
Calm,Closing,75,50,Rooster,44,27.3,18.2,23.6,22.7,3.7,-4.6,1.45,-0.31
Calm,Closing,75,50,Snake,38,28.9,31.6,23.6,22.7,5.3,8.8,0.88,0.38
Calm,Mixed,50,50,Rabbit,35,40.0,22.9,33.1,22.5,6.9,0.3,1.19,-0.61
Calm,Mixed,50,50,Rat,33,33.3,36.4,33.1,22.5,0.2,13.8,0.62,0.5
Calm,Mixed,50,50,Snake,32,43.8,18.8,33.1,22.5,10.6,-3.8,1.59,-0.68
Calm,Open,25,50,Dog,111,24.3,21.6,28.4,20.9,-4.1,0.7,0.83,-0.12
Calm,Open,25,50,Dragon,125,19.2,24.8,28.4,20.9,-9.2,3.9,0.57,0.43
Calm,Open,25,50,Goat,138,24.6,20.3,28.4,20.9,-3.7,-0.6,0.89,0.03
Calm,Open,25,50,Horse,144,35.4,15.3,28.4,20.9,7.0,-5.6,1.71,-0.6
Calm,Open,25,50,Monkey,98,35.7,17.3,28.4,20.9,7.3,-3.5,1.52,-0.31
Calm,Open,25,50,Ox,111,31.5,14.4,28.4,20.9,3.2,-6.5,1.61,-0.73
Calm,Open,25,50,Pig,151,27.2,18.5,28.4,20.9,-1.2,-2.4,1.08,-0.25
Calm,Open,25,50,Rabbit,157,25.5,25.5,28.4,20.9,-2.9,4.6,0.74,0.15
Calm,Open,25,50,Rat,171,30.4,19.9,28.4,20.9,2.0,-1.0,1.13,-0.21
Calm,Open,25,50,Rooster,159,30.2,16.4,28.4,20.9,1.8,-4.5,1.36,-0.63
Calm,Open,25,50,Snake,133,30.8,15.8,28.4,20.9,2.5,-5.1,1.44,-0.65
Calm,Open,25,50,Tiger,103,33.0,16.5,28.4,20.9,4.6,-4.4,1.47,-0.66
Calm,Open,25,75,Dog,88,21.6,23.9,28.4,20.9,-6.8,3.0,0.67,0.22
Calm,Open,25,75,Dragon,89,31.5,16.9,28.4,20.9,3.1,-4.0,1.37,-0.62
Calm,Open,25,75,Goat,88,29.5,27.3,28.4,20.9,1.2,6.4,0.8,0.11
Calm,Open,25,75,Horse,92,31.5,30.4,28.4,20.9,3.1,9.5,0.76,0.06
Calm,Open,25,75,Monkey,60,30.0,28.3,28.4,20.9,1.6,7.4,0.78,-0.1
Calm,Open,25,75,Ox,71,26.8,23.9,28.4,20.9,-1.6,3.0,0.82,0.1
Calm,Open,25,75,Pig,87,33.3,19.5,28.4,20.9,5.0,-1.4,1.26,-0.3
Calm,Open,25,75,Rabbit,110,22.7,24.5,28.4,20.9,-5.6,3.7,0.68,0.14
Calm,Open,25,75,Rat,116,25.9,17.2,28.4,20.9,-2.5,-3.7,1.1,-0.26
Calm,Open,25,75,Rooster,80,31.3,20.0,28.4,20.9,2.9,-0.9,1.15,-0.48
Calm,Open,25,75,Snake,92,23.9,17.4,28.4,20.9,-4.5,-3.5,1.01,0.21
Calm,Open,25,75,Tiger,62,29.0,19.4,28.4,20.9,0.7,-1.5,1.1,-0.42
Calm,Open,50,50,Dog,229,22.7,22.7,28.4,20.9,-5.7,1.8,0.74,-0.0
Calm,Open,50,50,Dragon,234,24.8,22.2,28.4,20.9,-3.6,1.3,0.82,0.0
Calm,Open,50,50,Goat,221,30.3,18.1,28.4,20.9,1.9,-2.8,1.23,-0.46
Calm,Open,50,50,Horse,249,31.7,21.3,28.4,20.9,3.4,0.4,1.1,-0.4
Calm,Open,50,50,Monkey,187,31.6,20.3,28.4,20.9,3.2,-0.6,1.14,-0.33
Calm,Open,50,50,Ox,193,29.0,14.0,28.4,20.9,0.6,-6.9,1.53,-0.41
Calm,Open,50,50,Pig,252,32.1,18.7,28.4,20.9,3.8,-2.2,1.27,-0.45
Calm,Open,50,50,Rabbit,300,28.7,22.3,28.4,20.9,0.3,1.4,0.95,-0.11
Calm,Open,50,50,Rat,316,28.5,23.4,28.4,20.9,0.1,2.5,0.9,-0.14
Calm,Open,50,50,Rooster,235,31.1,20.4,28.4,20.9,2.7,-0.5,1.12,-0.4
Calm,Open,50,50,Snake,240,29.6,21.3,28.4,20.9,1.2,0.4,1.03,-0.3
Calm,Open,50,50,Tiger,205,30.2,22.4,28.4,20.9,1.9,1.5,0.99,-0.23
Calm,Open,50,75,Dog,129,19.4,20.9,28.4,20.9,-9.0,0.0,0.68,0.16
Calm,Open,50,75,Dragon,108,25.0,22.2,28.4,20.9,-3.4,1.3,0.83,-0.15
Calm,Open,50,75,Goat,114,23.7,28.1,28.4,20.9,-4.7,7.2,0.62,0.08
Calm,Open,50,75,Horse,115,27.0,20.0,28.4,20.9,-1.4,-0.9,0.99,-0.14
Calm,Open,50,75,Monkey,102,36.3,15.7,28.4,20.9,7.9,-5.2,1.7,-0.56
Calm,Open,50,75,Ox,101,34.7,22.8,28.4,20.9,6.3,1.9,1.12,-0.3
Calm,Open,50,75,Pig,133,28.6,21.8,28.4,20.9,0.2,0.9,0.96,-0.21
