condition,round_type,exec_bucket,upside_bucket,horoscope,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,25,50,ARIES,39,20.5,41.0,25.2,22.9,-4.7,18.1,0.46,0.72
Calm,Closing,25,50,CANCER,48,31.3,22.9,25.2,22.9,6.1,-0.0,1.24,-0.46
Calm,Closing,25,50,GEMINI,47,27.7,14.9,25.2,22.9,2.5,-8.0,1.69,-0.42
Calm,Closing,25,50,LEO,32,37.5,25.0,25.2,22.9,12.3,2.1,1.37,-0.38
Calm,Closing,25,50,PISCES,58,15.5,31.0,25.2,22.9,-9.7,8.1,0.46,0.56
Calm,Closing,25,50,SAGITTARIUS,44,15.9,40.9,25.2,22.9,-9.3,18.0,0.35,0.98
Calm,Closing,25,50,SCORPIO,33,42.4,33.3,25.2,22.9,17.2,10.4,1.16,-0.27
Calm,Closing,25,50,VIRGO,37,27.0,24.3,25.2,22.9,1.8,1.4,1.01,-0.34
Calm,Closing,50,50,AQUARIUS,44,22.7,20.5,25.2,22.9,-2.5,-2.5,1.01,0.02
Calm,Closing,50,50,ARIES,61,21.3,23.0,25.2,22.9,-3.9,0.0,0.85,0.32
Calm,Closing,50,50,CANCER,77,23.4,22.1,25.2,22.9,-1.8,-0.8,0.96,-0.2
Calm,Closing,50,50,CAPRICORN,49,20.4,14.3,25.2,22.9,-4.8,-8.6,1.3,-0.3
Calm,Closing,50,50,GEMINI,68,17.6,26.5,25.2,22.9,-7.5,3.5,0.61,0.32
Calm,Closing,50,50,LEO,78,25.6,15.4,25.2,22.9,0.4,-7.5,1.52,-0.42
Calm,Closing,50,50,PISCES,75,20.0,22.7,25.2,22.9,-5.2,-0.3,0.8,0.03
Calm,Closing,50,50,SAGITTARIUS,57,26.3,15.8,25.2,22.9,1.1,-7.1,1.52,-0.54
Calm,Closing,50,50,SCORPIO,70,20.0,18.6,25.2,22.9,-5.2,-4.4,0.98,0.01
Calm,Closing,50,50,TAURUS,49,40.8,14.3,25.2,22.9,15.6,-8.6,2.6,-1.08
Calm,Closing,50,50,VIRGO,55,30.9,27.3,25.2,22.9,5.7,4.3,1.03,-0.12
Calm,Closing,50,75,ARIES,34,14.7,17.6,25.2,22.9,-10.5,-5.3,0.76,0.1
Calm,Closing,50,75,CANCER,51,25.5,21.6,25.2,22.9,0.3,-1.4,1.08,-0.25
Calm,Closing,50,75,CAPRICORN,40,22.5,22.5,25.2,22.9,-2.7,-0.4,0.91,-0.06
Calm,Closing,50,75,GEMINI,48,12.5,33.3,25.2,22.9,-12.7,10.4,0.34,0.94
Calm,Closing,50,75,LEO,51,27.5,15.7,25.2,22.9,2.3,-7.2,1.59,-0.49
Calm,Closing,50,75,PISCES,57,31.6,26.3,25.2,22.9,6.4,3.4,1.09,-0.35
Calm,Closing,50,75,SAGITTARIUS,38,21.1,21.1,25.2,22.9,-4.1,-1.9,0.91,-0.18
Calm,Closing,50,75,SCORPIO,41,14.6,31.7,25.2,22.9,-10.6,8.8,0.42,0.66
Calm,Closing,50,75,TAURUS,33,45.5,15.2,25.2,22.9,20.3,-7.8,2.73,-0.9
Calm,Closing,50,75,VIRGO,36,19.4,25.0,25.2,22.9,-5.7,2.1,0.71,0.48
Calm,Closing,75,50,GEMINI,32,31.3,15.6,25.2,22.9,6.1,-7.3,1.82,-0.5
Calm,Open,25,50,AQUARIUS,53,35.8,32.1,28.3,23.0,7.5,9.1,0.91,0.09
Calm,Open,25,50,ARIES,72,20.8,19.4,28.3,23.0,-7.5,-3.5,0.87,-0.06
Calm,Open,25,50,CANCER,88,34.1,29.5,28.3,23.0,5.8,6.6,0.94,-0.12
Calm,Open,25,50,CAPRICORN,61,26.2,18.0,28.3,23.0,-2.1,-4.9,1.18,-0.55
Calm,Open,25,50,GEMINI,81,33.3,11.1,28.3,23.0,5.0,-11.9,2.43,-1.02
Calm,Open,25,50,LEO,81,28.4,22.2,28.3,23.0,0.1,-0.7,1.04,-0.22
Calm,Open,25,50,LIBRA,33,33.3,36.4,28.3,23.0,5.0,13.4,0.74,0.16
