condition,round_type,exec_bucket,upside_bucket,life_path,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,25,50,1.0,61,36.1,19.7,25.2,22.9,10.9,-3.3,1.67,-0.55
Calm,Closing,25,50,2.0,52,32.7,25.0,25.2,22.9,7.5,2.1,1.19,-0.34
Calm,Closing,25,50,3.0,51,21.6,25.5,25.2,22.9,-3.6,2.6,0.77,0.03
Calm,Closing,25,50,4.0,44,20.5,38.6,25.2,22.9,-4.7,15.7,0.48,0.81
Calm,Closing,25,50,5.0,37,18.9,29.7,25.2,22.9,-6.3,6.8,0.58,0.23
Calm,Closing,25,50,6.0,45,31.1,33.3,25.2,22.9,5.9,10.4,0.85,0.16
Calm,Closing,25,50,7.0,44,25.0,31.8,25.2,22.9,-0.2,8.9,0.72,0.25
Calm,Closing,25,50,8.0,33,18.2,21.2,25.2,22.9,-7.0,-1.7,0.78,0.03
Calm,Closing,25,50,9.0,51,21.6,23.5,25.2,22.9,-3.6,0.6,0.83,-0.05
Calm,Closing,50,50,1.0,83,27.7,20.5,25.2,22.9,2.5,-2.4,1.23,-0.55
Calm,Closing,50,50,2.0,83,15.7,18.1,25.2,22.9,-9.5,-4.9,0.79,0.06
Calm,Closing,50,50,3.0,95,23.2,24.2,25.2,22.9,-2.0,1.3,0.87,0.01
Calm,Closing,50,50,4.0,81,23.5,21.0,25.2,22.9,-1.7,-1.9,1.02,-0.13
Calm,Closing,50,50,5.0,69,17.4,27.5,25.2,22.9,-7.8,4.6,0.57,0.42
Calm,Closing,50,50,6.0,63,23.8,17.5,25.2,22.9,-1.4,-5.5,1.24,-0.5
Calm,Closing,50,50,7.0,79,32.9,17.7,25.2,22.9,7.7,-5.2,1.69,-0.4
Calm,Closing,50,50,8.0,56,19.6,23.2,25.2,22.9,-5.5,0.3,0.77,0.35
Calm,Closing,50,50,9.0,92,26.1,16.3,25.2,22.9,0.9,-6.6,1.46,-0.28
Calm,Closing,50,75,1.0,54,35.2,14.8,25.2,22.9,10.0,-8.1,2.16,-0.84
Calm,Closing,50,75,2.0,81,25.9,27.2,25.2,22.9,0.7,4.2,0.87,0.13
Calm,Closing,50,75,3.0,54,11.1,22.2,25.2,22.9,-14.1,-0.7,0.46,0.22
