condition,round_type,exec_bucket,upside_bucket,moon_paksha,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,0,0,Krishna,177,14.7,36.2,23.1,23.8,-8.4,12.4,0.42,0.96
Calm,Closing,0,0,Shukla,313,19.2,32.9,23.1,23.8,-3.9,9.1,0.6,0.69
Calm,Closing,0,25,Shukla,37,21.6,18.9,23.1,23.8,-1.5,-4.9,1.18,0.08
Calm,Closing,25,25,Krishna,53,9.4,45.3,23.1,23.8,-13.7,21.5,0.21,1.44
Calm,Closing,25,25,Shukla,141,27.7,12.8,23.1,23.8,4.6,-11.0,2.23,-0.39
Calm,Closing,25,50,Krishna,300,22.7,25.0,23.1,23.8,-0.4,1.2,0.93,0.26
Calm,Closing,25,50,Shukla,643,24.9,20.5,23.1,23.8,1.8,-3.3,1.25,-0.26
Calm,Closing,25,75,Krishna,129,19.4,23.3,23.1,23.8,-3.7,-0.5,0.86,0.09
Calm,Closing,25,75,Shukla,278,24.8,24.5,23.1,23.8,1.7,0.7,1.05,0.02
Calm,Closing,50,25,Krishna,56,25.0,19.6,23.1,23.8,1.9,-4.1,1.31,-0.02
Calm,Closing,50,25,Shukla,34,35.3,14.7,23.1,23.8,12.2,-9.1,2.47,-1.0
Calm,Closing,50,50,Krishna,614,22.1,22.1,23.1,23.8,-0.9,-1.6,1.03,0.11
Calm,Closing,50,50,Shukla,947,25.4,23.1,23.1,23.8,2.4,-0.7,1.13,-0.06
Calm,Closing,50,75,Krishna,281,18.9,23.5,23.1,23.8,-4.2,-0.3,0.83,0.26
Calm,Closing,50,75,Shukla,707,23.3,22.6,23.1,23.8,0.2,-1.2,1.06,-0.12
Calm,Closing,75,50,Krishna,166,19.9,26.5,23.1,23.8,-3.2,2.7,0.77,0.35
Calm,Closing,75,50,Shukla,266,28.2,21.8,23.1,23.8,5.1,-2.0,1.33,-0.23
Calm,Closing,75,75,Krishna,36,19.4,30.6,23.1,23.8,-3.6,6.8,0.66,0.39
Calm,Elimination,25,50,Krishna,67,25.4,25.4,27.3,18.0,-2.0,7.4,0.66,0.3
Calm,Elimination,25,75,Krishna,30,26.7,23.3,27.3,18.0,-0.7,5.4,0.75,0.23
Calm,Elimination,50,50,Krishna,87,17.2,26.4,27.3,18.0,-10.1,8.5,0.43,0.69
Calm,Elimination,50,75,Krishna,39,10.3,15.4,27.3,18.0,-17.1,-2.6,0.44,0.47
Calm,Elimination,50,75,Shukla,32,31.3,9.4,27.3,18.0,3.9,-8.6,2.19,-0.17
Calm,Mixed,0,0,Krishna,76,30.3,27.6,31.8,23.8,-1.6,3.9,0.82,0.38
Calm,Mixed,0,0,Shukla,76,18.4,39.5,31.8,23.8,-13.4,15.7,0.35,1.32
Calm,Mixed,25,25,Shukla,58,24.1,24.1,31.8,23.8,-7.7,0.4,0.75,0.36
Calm,Mixed,25,50,Krishna,50,52.0,20.0,31.8,23.8,20.2,-3.8,1.94,-1.57
Calm,Mixed,25,50,Shukla,57,21.1,26.3,31.8,23.8,-10.8,2.6,0.6,0.46
Calm,Mixed,25,75,Krishna,55,34.5,18.2,31.8,23.8,2.7,-5.6,1.42,-0.35
Calm,Mixed,50,50,Krishna,167,35.9,18.6,31.8,23.8,4.1,-5.2,1.44,-0.64
Calm,Mixed,50,50,Shukla,163,25.8,32.5,31.8,23.8,-6.1,8.8,0.59,0.9
Calm,Mixed,50,75,Krishna,131,30.5,19.1,31.8,23.8,-1.3,-4.7,1.19,-0.15
Calm,Mixed,50,75,Shukla,112,34.8,23.2,31.8,23.8,3.0,-0.5,1.12,-0.0
Calm,Mixed,75,50,Krishna,58,39.7,20.7,31.8,23.8,7.8,-3.1,1.43,-0.38
