round_type,condition,color,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Closing,Calm,Blue,-40,45,11.1,33.3,23.7,22.7,-12.6,10.6,0.32,0.42
Closing,Calm,Blue,-30,122,14.8,24.6,23.7,22.7,-8.9,1.9,0.58,0.36
Closing,Calm,Blue,-20,181,22.7,20.4,23.7,22.7,-1.0,-2.3,1.06,-0.11
Closing,Calm,Blue,-10,197,27.9,21.8,23.7,22.7,4.3,-0.9,1.23,-0.2
Closing,Calm,Blue,0,264,23.9,25.0,23.7,22.7,0.2,2.3,0.92,0.09
Closing,Calm,Blue,10,79,21.5,24.1,23.7,22.7,-2.1,1.3,0.86,-0.04
Closing,Calm,Green,-20,88,33.0,20.5,23.7,22.7,9.3,-2.3,1.55,-0.35
Closing,Calm,Green,-10,120,19.2,20.8,23.7,22.7,-4.5,-1.9,0.88,0.04
Closing,Calm,Green,0,255,23.1,23.1,23.7,22.7,-0.5,0.4,0.96,0.05
Closing,Calm,Green,10,54,37.0,13.0,23.7,22.7,13.4,-9.7,2.74,-0.96
Closing,Calm,Orange,-40,54,35.2,18.5,23.7,22.7,11.5,-4.2,1.82,-0.95
Closing,Calm,Orange,-30,179,29.6,22.3,23.7,22.7,5.9,-0.4,1.27,-0.21
Closing,Calm,Orange,-20,170,21.2,25.9,23.7,22.7,-2.5,3.2,0.79,0.18
Closing,Calm,Orange,-10,206,23.3,21.8,23.7,22.7,-0.4,-0.9,1.02,-0.04
Closing,Calm,Orange,0,167,19.2,21.6,23.7,22.7,-4.5,-1.2,0.85,0.13
Closing,Calm,Orange,10,62,25.8,30.6,23.7,22.7,2.1,7.9,0.81,0.14
Closing,Calm,Purple,-20,126,24.6,23.8,23.7,22.7,0.9,1.1,0.99,0.06
Closing,Calm,Purple,-10,128,28.9,17.2,23.7,22.7,5.2,-5.5,1.61,-0.39
Closing,Calm,Purple,0,283,25.4,21.9,23.7,22.7,1.8,-0.8,1.11,-0.1
Closing,Calm,Purple,10,66,28.8,9.1,23.7,22.7,5.1,-13.6,3.04,-0.82
Closing,Calm,Red,0,71,12.7,38.0,23.7,22.7,-11.0,15.3,0.32,0.92
Closing,Calm,Yellow,-40,65,24.6,26.2,23.7,22.7,0.9,3.4,0.9,0.09
Closing,Calm,Yellow,-30,115,27.8,27.0,23.7,22.7,4.2,4.2,0.99,-0.12
Closing,Calm,Yellow,-20,278,22.7,19.4,23.7,22.7,-1.0,-3.3,1.12,-0.04
Closing,Calm,Yellow,-10,377,24.9,23.9,23.7,22.7,1.3,1.2,1.0,-0.01
Closing,Calm,Yellow,0,592,23.5,21.5,23.7,22.7,-0.2,-1.3,1.05,-0.02
Closing,Calm,Yellow,10,111,20.7,23.4,23.7,22.7,-2.9,0.7,0.85,0.15
Closing,Moderate,Blue,-30,83,21.7,20.5,26.5,20.9,-4.9,-0.4,0.83,0.12
Closing,Moderate,Blue,-20,105,22.9,21.0,26.5,20.9,-3.7,0.1,0.86,-0.14
Closing,Moderate,Blue,-10,128,27.3,23.4,26.5,20.9,0.8,2.5,0.92,-0.22
Closing,Moderate,Blue,0,172,27.9,20.3,26.5,20.9,1.4,-0.5,1.08,-0.23
Closing,Moderate,Green,-20,44,27.3,20.5,26.5,20.9,0.7,-0.4,1.05,0.01
Closing,Moderate,Green,-10,55,23.6,20.0,26.5,20.9,-2.9,-0.9,0.93,-0.18
Closing,Moderate,Green,0,129,28.7,17.8,26.5,20.9,2.1,-3.1,1.27,-0.42
Closing,Moderate,Orange,-30,77,31.2,16.9,26.5,20.9,4.6,-4.0,1.45,-0.23
