condition,round_type,color,horoscope,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,ARIES,51,9.8,35.3,23.1,23.3,-13.3,12.0,0.28,0.89
Calm,Closing,Blue,CANCER,49,24.5,18.4,23.1,23.3,1.4,-4.9,1.34,-0.33
Calm,Closing,Blue,CAPRICORN,50,30.0,24.0,23.1,23.3,6.9,0.7,1.26,-0.12
Calm,Closing,Blue,GEMINI,75,16.0,22.7,23.1,23.3,-7.1,-0.6,0.71,0.01
Calm,Closing,Blue,LEO,56,26.8,19.6,23.1,23.3,3.7,-3.6,1.37,-0.27
Calm,Closing,Blue,PISCES,70,22.9,27.1,23.1,23.3,-0.2,3.9,0.85,0.22
Calm,Closing,Blue,SAGITTARIUS,31,22.6,22.6,23.1,23.3,-0.5,-0.7,1.01,0.47
Calm,Closing,Blue,SCORPIO,68,22.1,33.8,23.1,23.3,-1.0,10.6,0.66,0.39
Calm,Closing,Blue,TAURUS,42,21.4,16.7,23.1,23.3,-1.7,-6.6,1.3,-0.25
Calm,Closing,Blue,VIRGO,32,25.0,28.1,23.1,23.3,1.9,4.9,0.9,0.37
Calm,Closing,Green,ARIES,37,27.0,18.9,23.1,23.3,3.9,-4.3,1.44,-0.14
Calm,Closing,Green,CAPRICORN,33,30.3,27.3,23.1,23.3,7.2,4.0,1.12,-0.21
Calm,Closing,Green,GEMINI,49,12.2,22.4,23.1,23.3,-10.8,-0.8,0.55,0.29
Calm,Closing,Green,LEO,37,29.7,16.2,23.1,23.3,6.6,-7.0,1.85,-0.83
Calm,Closing,Green,SCORPIO,40,35.0,20.0,23.1,23.3,11.9,-3.3,1.76,-0.42
Calm,Closing,Green,TAURUS,32,21.9,9.4,23.1,23.3,-1.2,-13.9,2.35,-0.6
Calm,Closing,Orange,AQUARIUS,49,22.4,18.4,23.1,23.3,-0.6,-4.9,1.23,0.04
Calm,Closing,Orange,ARIES,47,21.3,27.7,23.1,23.3,-1.8,4.4,0.77,0.47
Calm,Closing,Orange,CAPRICORN,85,31.8,15.3,23.1,23.3,8.7,-8.0,2.09,-0.65
Calm,Closing,Orange,GEMINI,40,20.0,25.0,23.1,23.3,-3.1,1.7,0.81,0.15
Calm,Closing,Orange,PISCES,57,22.8,26.3,23.1,23.3,-0.3,3.1,0.87,0.0
Calm,Closing,Orange,SAGITTARIUS,50,18.0,26.0,23.1,23.3,-5.1,2.7,0.7,0.02
Calm,Closing,Orange,SCORPIO,74,23.0,24.3,23.1,23.3,-0.1,1.1,0.95,-0.22
Calm,Closing,Purple,ARIES,34,11.8,26.5,23.1,23.3,-11.3,3.2,0.45,0.68
Calm,Closing,Purple,CANCER,36,33.3,22.2,23.1,23.3,10.2,-1.0,1.51,-0.58
Calm,Closing,Purple,CAPRICORN,31,41.9,25.8,23.1,23.3,18.8,2.5,1.64,-0.58
Calm,Closing,Purple,GEMINI,51,19.6,13.7,23.1,23.3,-3.5,-9.5,1.44,-0.05
Calm,Closing,Purple,LEO,49,24.5,12.2,23.1,23.3,1.4,-11.0,2.01,-0.38
Calm,Closing,Purple,PISCES,37,24.3,18.9,23.1,23.3,1.2,-4.3,1.3,-0.07
Calm,Closing,Purple,SCORPIO,43,20.9,23.3,23.1,23.3,-2.2,-0.0,0.91,0.12
Calm,Closing,Purple,TAURUS,37,24.3,18.9,23.1,23.3,1.2,-4.3,1.3,-0.48
Calm,Closing,Yellow,AQUARIUS,73,20.5,17.8,23.1,23.3,-2.5,-5.5,1.16,-0.12
