condition,round_type,color,life_path,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,1.0,52,32.7,26.9,25.2,22.8,7.5,4.1,1.1,-0.53
Calm,Closing,Blue,2.0,59,28.8,25.4,25.2,22.8,3.6,2.6,1.02,-0.11
Calm,Closing,Blue,3.0,58,13.8,32.8,25.2,22.8,-11.4,10.0,0.38,0.69
Calm,Closing,Blue,4.0,33,27.3,30.3,25.2,22.8,2.0,7.5,0.81,0.33
Calm,Closing,Blue,5.0,34,14.7,20.6,25.2,22.8,-10.5,-2.2,0.65,0.5
Calm,Closing,Blue,6.0,46,23.9,17.4,25.2,22.8,-1.3,-5.4,1.24,-0.17
Calm,Closing,Blue,7.0,51,29.4,23.5,25.2,22.8,4.2,0.7,1.13,-0.21
Calm,Closing,Blue,8.0,39,15.4,33.3,25.2,22.8,-9.8,10.5,0.42,0.82
Calm,Closing,Blue,9.0,64,25.0,29.7,25.2,22.8,-0.2,6.9,0.76,0.21
Calm,Closing,Green,1.0,41,31.7,17.1,25.2,22.8,6.5,-5.7,1.68,-0.55
Calm,Closing,Green,2.0,31,32.3,29.0,25.2,22.8,7.0,6.2,1.0,-0.06
Calm,Closing,Green,9.0,38,10.5,7.9,25.2,22.8,-14.7,-14.9,1.21,-0.32
Calm,Closing,Orange,1.0,35,25.7,25.7,25.2,22.8,0.5,2.9,0.9,-0.01
Calm,Closing,Orange,2.0,47,19.1,25.5,25.2,22.8,-6.1,2.7,0.68,0.11
Calm,Closing,Orange,3.0,33,24.2,15.2,25.2,22.8,-1.0,-7.7,1.45,-0.42
Calm,Closing,Orange,5.0,32,28.1,25.0,25.2,22.8,2.9,2.2,1.02,-0.64
Calm,Closing,Orange,8.0,30,23.3,16.7,25.2,22.8,-1.9,-6.1,1.27,-0.07
Calm,Closing,Orange,9.0,37,18.9,27.0,25.2,22.8,-6.3,4.2,0.63,0.43
Calm,Closing,Purple,1.0,38,39.5,13.2,25.2,22.8,14.2,-9.6,2.71,-1.11
Calm,Closing,Purple,2.0,32,31.3,12.5,25.2,22.8,6.0,-10.3,2.26,-0.85
Calm,Closing,Purple,3.0,37,29.7,27.0,25.2,22.8,4.5,4.2,0.99,-0.47
Calm,Closing,Purple,4.0,34,14.7,29.4,25.2,22.8,-10.5,6.6,0.45,0.65
Calm,Closing,Purple,5.0,34,17.6,26.5,25.2,22.8,-7.6,3.7,0.6,-0.06
Calm,Closing,Purple,6.0,32,34.4,15.6,25.2,22.8,9.1,-7.2,1.99,-0.69
Calm,Closing,Purple,7.0,33,27.3,12.1,25.2,22.8,2.0,-10.7,2.03,-0.32
Calm,Closing,Yellow,1.0,125,32.8,15.2,25.2,22.8,7.6,-7.6,1.95,-0.68
Calm,Closing,Yellow,2.0,108,17.6,27.8,25.2,22.8,-7.6,5.0,0.57,0.54
Calm,Closing,Yellow,3.0,100,26.0,19.0,25.2,22.8,0.8,-3.8,1.24,-0.24
Calm,Closing,Yellow,4.0,113,21.2,23.0,25.2,22.8,-4.0,0.2,0.83,-0.04
Calm,Closing,Yellow,5.0,78,26.9,32.1,25.2,22.8,1.7,9.2,0.76,0.24
Calm,Closing,Yellow,6.0,89,28.1,21.3,25.2,22.8,2.9,-1.5,1.19,-0.33
Calm,Closing,Yellow,7.0,82,26.8,26.8,25.2,22.8,1.6,4.0,0.9,0.11
Calm,Closing,Yellow,8.0,62,21.0,21.0,25.2,22.8,-4.3,-1.8,0.9,0.07
Calm,Closing,Yellow,9.0,108,32.4,19.4,25.2,22.8,7.2,-3.4,1.51,-0.32
