condition,round_type,color,moon_2bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Krishna,250,17.2,28.4,23.7,22.7,-6.5,5.7,0.58,0.51
Calm,Closing,Blue,Shukla,646,24.5,21.8,23.7,22.7,0.8,-0.9,1.08,-0.15
Calm,Closing,Green,Krishna,246,24.4,23.6,23.7,22.7,0.7,0.9,0.99,0.09
Calm,Closing,Green,Shukla,321,26.2,19.3,23.7,22.7,2.5,-3.4,1.3,-0.33
Calm,Closing,Orange,Krishna,281,21.0,23.8,23.7,22.7,-2.7,1.1,0.85,0.13
Calm,Closing,Orange,Shukla,558,26.2,22.8,23.7,22.7,2.5,0.0,1.1,-0.13
Calm,Closing,Pink,Shukla,43,20.9,23.3,23.7,22.7,-2.7,0.5,0.86,0.04
Calm,Closing,Purple,Krishna,255,23.1,18.4,23.7,22.7,-0.5,-4.3,1.2,-0.02
Calm,Closing,Purple,Shukla,396,26.8,21.5,23.7,22.7,3.1,-1.2,1.2,-0.27
Calm,Closing,Red,Krishna,43,14.0,25.6,23.7,22.7,-9.7,2.9,0.52,0.52
Calm,Closing,Red,Shukla,88,11.4,35.2,23.7,22.7,-12.3,12.5,0.31,0.8
Calm,Closing,Yellow,Krishna,545,20.2,25.3,23.7,22.7,-3.5,2.6,0.76,0.32
Calm,Closing,Yellow,Shukla,1014,25.5,21.4,23.7,22.7,1.9,-1.3,1.15,-0.15
Calm,Elimination,Blue,Krishna,61,19.7,24.6,27.7,18.2,-8.0,6.4,0.53,0.48
Calm,Elimination,Orange,Krishna,52,28.8,11.5,27.7,18.2,1.1,-6.7,1.64,-0.39
Calm,Elimination,Orange,Shukla,31,51.6,16.1,27.7,18.2,23.9,-2.1,2.1,-0.98
Calm,Elimination,Yellow,Krishna,72,19.4,29.2,27.7,18.2,-8.3,11.0,0.44,0.89
Calm,Mixed,Blue,Krishna,89,39.3,19.1,33.0,22.2,6.3,-3.1,1.38,-0.9
Calm,Mixed,Blue,Shukla,54,27.8,27.8,33.0,22.2,-5.3,5.6,0.67,0.58
Calm,Mixed,Green,Krishna,52,40.4,17.3,33.0,22.2,7.3,-4.9,1.57,-0.76
Calm,Mixed,Green,Shukla,59,28.8,20.3,33.0,22.2,-4.2,-1.8,0.95,0.34
Calm,Mixed,Orange,Krishna,100,43.0,19.0,33.0,22.2,10.0,-3.2,1.52,-0.85
Calm,Mixed,Orange,Shukla,61,32.8,19.7,33.0,22.2,-0.3,-2.5,1.12,-0.03
Calm,Mixed,Purple,Krishna,63,38.1,11.1,33.0,22.2,5.0,-11.1,2.3,-0.97
Calm,Mixed,Purple,Shukla,76,19.7,42.1,33.0,22.2,-13.3,19.9,0.31,1.38
Calm,Mixed,Yellow,Krishna,211,32.7,18.5,33.0,22.2,-0.3,-3.7,1.19,-0.19
Calm,Mixed,Yellow,Shukla,128,30.5,25.0,33.0,22.2,-2.6,2.8,0.82,0.15
Calm,Open,Blue,Krishna,754,24.1,20.2,28.4,20.9,-4.3,-0.7,0.88,-0.07
Calm,Open,Blue,Shukla,830,27.5,23.1,28.4,20.9,-1.0,2.2,0.87,-0.1
Calm,Open,Green,Krishna,471,28.5,22.7,28.4,20.9,0.0,1.8,0.92,-0.16
Calm,Open,Green,Shukla,508,25.8,21.9,28.4,20.9,-2.6,1.0,0.87,-0.05
Calm,Open,Orange,Krishna,663,27.3,21.1,28.4,20.9,-1.1,0.2,0.95,-0.19
Calm,Open,Orange,Shukla,731,28.0,19.0,28.4,20.9,-0.4,-1.9,1.08,-0.25
Calm,Open,Pink,Shukla,58,36.2,17.2,28.4,20.9,7.8,-3.7,1.54,-0.33
Calm,Open,Purple,Krishna,544,32.2,20.2,28.4,20.9,3.7,-0.7,1.17,-0.41
Calm,Open,Purple,Shukla,603,26.9,24.0,28.4,20.9,-1.6,3.2,0.82,0.04
Calm,Open,Red,Krishna,137,21.2,21.9,28.4,20.9,-7.3,1.0,0.71,0.32
Calm,Open,Red,Shukla,116,28.4,16.4,28.4,20.9,0.0,-4.5,1.28,-0.5
Calm,Open,Yellow,Krishna,1410,28.4,19.9,28.4,20.9,0.0,-1.0,1.05,-0.23
Calm,Open,Yellow,Shukla,1386,32.4,20.1,28.4,20.9,4.0,-0.8,1.19,-0.37
Calm,Positioning,Blue,Krishna,424,23.3,22.2,24.9,21.6,-1.6,0.6,0.91,0.1
Calm,Positioning,Blue,Shukla,538,25.8,20.8,24.9,21.6,0.9,-0.8,1.08,-0.12
Calm,Positioning,Green,Krishna,293,25.3,19.5,24.9,21.6,0.3,-2.1,1.12,-0.16
Calm,Positioning,Green,Shukla,265,24.5,19.2,24.9,21.6,-0.4,-2.4,1.1,-0.21
Calm,Positioning,Orange,Krishna,416,24.8,23.6,24.9,21.6,-0.2,2.0,0.91,0.01
Calm,Positioning,Orange,Shukla,464,27.8,22.6,24.9,21.6,2.9,1.0,1.06,-0.13
Calm,Positioning,Pink,Shukla,30,23.3,26.7,24.9,21.6,-1.6,5.1,0.76,0.35
Calm,Positioning,Purple,Krishna,332,24.1,22.3,24.9,21.6,-0.8,0.7,0.94,-0.07
Calm,Positioning,Purple,Shukla,340,26.2,19.1,24.9,21.6,1.2,-2.5,1.19,-0.25
Calm,Positioning,Red,Krishna,69,26.1,20.3,24.9,21.6,1.2,-1.3,1.11,-0.39
Calm,Positioning,Red,Shukla,68,20.6,25.0,24.9,21.6,-4.3,3.4,0.71,0.29
Calm,Positioning,Yellow,Krishna,829,25.8,21.8,24.9,21.6,0.9,0.2,1.02,-0.17
Calm,Positioning,Yellow,Shukla,889,22.9,22.0,24.9,21.6,-2.0,0.4,0.9,-0.03
Calm,REMOVE,Blue,Krishna,301,23.3,29.6,25.6,29.6,-2.4,-0.0,0.91,0.09
Calm,REMOVE,Blue,Shukla,260,25.8,29.6,25.6,29.6,0.1,0.0,1.0,0.45
Calm,REMOVE,Green,Krishna,100,23.0,27.0,25.6,29.6,-2.6,-2.6,0.98,0.16
Calm,REMOVE,Green,Shukla,158,24.1,31.0,25.6,29.6,-1.6,1.4,0.9,0.51
Calm,REMOVE,Orange,Krishna,266,23.7,28.6,25.6,29.6,-2.0,-1.0,0.96,0.05
Calm,REMOVE,Orange,Shukla,264,22.7,33.7,25.6,29.6,-2.9,4.1,0.78,0.58
Calm,REMOVE,Purple,Krishna,138,21.0,25.4,25.6,29.6,-4.6,-4.2,0.96,0.3
Calm,REMOVE,Purple,Shukla,134,38.1,30.6,25.6,29.6,12.4,1.0,1.44,-0.28
Calm,REMOVE,Red,Krishna,38,21.1,31.6,25.6,29.6,-4.6,2.0,0.77,0.13
Calm,REMOVE,Red,Shukla,32,21.9,25.0,25.6,29.6,-3.8,-4.6,1.01,0.07
Calm,REMOVE,Yellow,Krishna,398,27.4,26.6,25.6,29.6,1.7,-3.0,1.19,0.02
Calm,REMOVE,Yellow,Shukla,492,27.6,32.1,25.6,29.6,2.0,2.5,0.99,0.53
Calm,Survival,Blue,Krishna,428,23.4,25.5,26.6,22.6,-3.2,2.9,0.78,0.04
Calm,Survival,Blue,Shukla,666,30.5,23.9,26.6,22.6,3.9,1.3,1.08,-0.1
Calm,Survival,Green,Krishna,265,24.9,18.5,26.6,22.6,-1.7,-4.1,1.14,-0.34
Calm,Survival,Green,Shukla,399,27.1,21.8,26.6,22.6,0.5,-0.8,1.05,-0.16
Calm,Survival,Orange,Krishna,448,23.7,25.4,26.6,22.6,-2.9,2.9,0.79,0.05
Calm,Survival,Orange,Shukla,553,30.0,21.5,26.6,22.6,3.4,-1.0,1.18,-0.19
Calm,Survival,Purple,Krishna,283,24.4,21.6,26.6,22.6,-2.2,-1.0,0.96,-0.03
Calm,Survival,Purple,Shukla,392,25.8,19.1,26.6,22.6,-0.8,-3.4,1.14,-0.16
Calm,Survival,Red,Krishna,98,31.6,17.3,26.6,22.6,5.0,-5.2,1.55,-0.46
Calm,Survival,Red,Shukla,110,31.8,26.4,26.6,22.6,5.2,3.8,1.02,0.05
Calm,Survival,Yellow,Krishna,680,25.1,22.9,26.6,22.6,-1.5,0.4,0.93,-0.07
Calm,Survival,Yellow,Shukla,1323,26.2,22.7,26.6,22.6,-0.4,0.1,0.98,-0.01
Moderate,Closing,Blue,Krishna,292,22.3,22.9,26.5,20.9,-4.3,2.0,0.76,0.06
Moderate,Closing,Blue,Shukla,249,27.7,19.7,26.5,20.9,1.2,-1.2,1.11,-0.28
Moderate,Closing,Green,Krishna,183,25.7,17.5,26.5,20.9,-0.9,-3.4,1.16,-0.19
Moderate,Closing,Green,Shukla,95,29.5,21.1,26.5,20.9,2.9,0.2,1.1,-0.37
Moderate,Closing,Orange,Krishna,248,24.2,15.3,26.5,20.9,-2.4,-5.6,1.24,-0.22
Moderate,Closing,Orange,Shukla,191,35.6,22.5,26.5,20.9,9.1,1.6,1.24,-0.4
Moderate,Closing,Purple,Krishna,197,26.9,22.8,26.5,20.9,0.4,1.9,0.93,-0.12
Moderate,Closing,Purple,Shukla,124,29.8,19.4,26.5,20.9,3.3,-1.5,1.21,-0.33
Moderate,Closing,Red,Krishna,45,22.2,24.4,26.5,20.9,-4.3,3.5,0.72,0.19
Moderate,Closing,Red,Shukla,35,34.3,20.0,26.5,20.9,7.7,-0.9,1.35,-0.0
Moderate,Closing,Yellow,Krishna,647,22.9,22.6,26.5,20.9,-3.7,1.7,0.8,-0.01
Moderate,Closing,Yellow,Shukla,493,29.8,20.9,26.5,20.9,3.3,-0.0,1.12,-0.22
Moderate,Mixed,Orange,Shukla,32,18.8,50.0,12.8,35.2,5.9,14.8,1.03,1.08
Moderate,Mixed,Yellow,Shukla,33,6.1,21.2,12.8,35.2,-6.7,-14.0,0.79,0.48
Moderate,Open,Blue,Krishna,472,27.1,18.9,27.0,21.4,0.1,-2.6,1.14,-0.32
Moderate,Open,Blue,Shukla,586,26.6,21.8,27.0,21.4,-0.4,0.4,0.97,-0.05
Moderate,Open,Green,Krishna,320,27.2,24.1,27.0,21.4,0.1,2.6,0.89,-0.12
