condition,round_type,color,element,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Fire,0,32,28.1,28.1,25.2,22.8,2.9,5.3,0.9,0.14
Calm,Closing,Blue,Metal,0,32,25.0,18.8,25.2,22.8,-0.2,-4.1,1.21,-0.48
Calm,Closing,Green,Earth,0,33,30.3,15.2,25.2,22.8,5.1,-7.7,1.81,-0.49
Calm,Closing,Purple,Water,0,35,28.6,25.7,25.2,22.8,3.3,2.9,1.0,-0.45
Calm,Closing,Yellow,Earth,-20,45,22.2,28.9,25.2,22.8,-3.0,6.1,0.7,0.39
Calm,Closing,Yellow,Earth,-10,36,27.8,25.0,25.2,22.8,2.5,2.2,1.0,0.46
Calm,Closing,Yellow,Earth,0,72,19.4,18.1,25.2,22.8,-5.8,-4.7,0.97,0.06
Calm,Closing,Yellow,Fire,-20,43,25.6,37.2,25.2,22.8,0.4,14.4,0.62,0.26
Calm,Closing,Yellow,Fire,-10,41,22.0,26.8,25.2,22.8,-3.3,4.0,0.74,0.35
Calm,Closing,Yellow,Fire,0,86,26.7,14.0,25.2,22.8,1.5,-8.8,1.73,-0.85
Calm,Closing,Yellow,Metal,0,72,27.8,27.8,25.2,22.8,2.5,5.0,0.9,-0.02
Calm,Closing,Yellow,Water,-20,36,16.7,27.8,25.2,22.8,-8.6,5.0,0.54,0.21
Calm,Closing,Yellow,Water,-10,41,34.1,9.8,25.2,22.8,8.9,-13.0,3.16,-0.48
Calm,Closing,Yellow,Water,0,60,31.7,16.7,25.2,22.8,6.4,-6.1,1.72,-0.71
Calm,Closing,Yellow,Wood,-20,30,23.3,33.3,25.2,22.8,-1.9,10.5,0.63,0.53
Calm,Closing,Yellow,Wood,-10,33,27.3,21.2,25.2,22.8,2.0,-1.6,1.16,-0.5
Calm,Closing,Yellow,Wood,0,63,28.6,30.2,25.2,22.8,3.3,7.4,0.86,0.34
Calm,Open,Blue,Earth,-10,40,20.0,22.5,28.8,22.5,-8.8,0.0,0.69,-0.1
Calm,Open,Blue,Earth,0,56,28.6,19.6,28.8,22.5,-0.2,-2.8,1.13,-0.32
Calm,Open,Blue,Fire,-20,34,29.4,23.5,28.8,22.5,0.6,1.1,0.97,0.08
Calm,Open,Blue,Fire,-10,50,34.0,20.0,28.8,22.5,5.2,-2.5,1.33,-0.34
Calm,Open,Blue,Fire,0,71,21.1,18.3,28.8,22.5,-7.7,-4.2,0.9,-0.28
Calm,Open,Blue,Metal,-20,30,53.3,10.0,28.8,22.5,24.5,-12.5,4.16,-1.74
Calm,Open,Blue,Metal,-10,48,29.2,33.3,28.8,22.5,0.4,10.9,0.68,0.2
Calm,Open,Blue,Metal,0,46,19.6,21.7,28.8,22.5,-9.2,-0.7,0.7,-0.06
