color,condition,exec_bucket,upside_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Blue,Calm,25,25,114,23.7,17.5,26.5,23.3,-2.8,-5.8,1.19,-0.04
Blue,Calm,25,50,584,27.2,23.6,26.5,23.3,0.7,0.3,1.01,-0.06
Blue,Calm,25,75,299,23.4,22.7,26.5,23.3,-3.1,-0.6,0.91,0.14
Blue,Calm,50,25,38,23.7,26.3,26.5,23.3,-2.8,3.0,0.79,0.17
Blue,Calm,50,50,772,26.3,22.9,26.5,23.3,-0.2,-0.4,1.01,-0.02
Blue,Calm,50,75,581,24.8,25.5,26.5,23.3,-1.7,2.1,0.86,0.16
Blue,Calm,75,50,259,25.5,21.6,26.5,23.3,-1.0,-1.7,1.04,-0.23
Blue,Moderate,25,25,61,29.5,32.8,26.4,21.8,3.1,11.0,0.74,0.63
Blue,Moderate,25,50,279,30.1,17.2,26.4,21.8,3.7,-4.6,1.44,-0.54
Blue,Moderate,25,75,103,18.4,29.1,26.4,21.8,-8.0,7.4,0.52,0.4
Blue,Moderate,50,50,403,28.8,20.8,26.4,21.8,2.3,-0.9,1.14,-0.2
Blue,Moderate,50,75,321,23.4,25.5,26.4,21.8,-3.1,3.8,0.75,0.15
Blue,Moderate,75,50,87,21.8,33.3,26.4,21.8,-4.6,11.6,0.54,0.46
Green,Calm,25,25,94,23.4,21.3,26.5,23.3,-3.1,-2.1,0.97,0.07
Green,Calm,25,50,313,25.2,22.0,26.5,23.3,-1.3,-1.3,1.01,-0.03
Green,Calm,25,75,164,30.5,18.3,26.5,23.3,4.0,-5.1,1.47,-0.4
Green,Calm,50,50,743,27.1,21.4,26.5,23.3,0.5,-1.9,1.11,-0.12
Green,Calm,50,75,326,30.7,25.5,26.5,23.3,4.1,2.1,1.06,-0.05
Green,Calm,75,50,184,21.2,23.4,26.5,23.3,-5.3,0.0,0.8,0.2
Green,Moderate,25,50,92,29.3,20.7,26.4,21.8,2.9,-1.1,1.17,-0.11
Green,Moderate,25,75,70,32.9,21.4,26.4,21.8,6.4,-0.3,1.26,-0.36
Green,Moderate,50,50,315,29.5,21.0,26.4,21.8,3.1,-0.8,1.16,-0.22
Green,Moderate,50,75,156,24.4,23.7,26.4,21.8,-2.1,2.0,0.85,-0.12
