color,condition,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Blue,Calm,-40,340,21.8,22.6,26.5,22.5,-4.7,0.1,0.82,0.06
Blue,Calm,-30,656,24.4,23.6,26.5,22.5,-2.1,1.1,0.88,0.11
Blue,Calm,-20,989,26.3,24.2,26.5,22.5,-0.2,1.7,0.92,-0.04
Blue,Calm,-10,1198,24.2,23.5,26.5,22.5,-2.3,0.9,0.88,0.02
Blue,Calm,0,1744,27.6,23.2,26.5,22.5,1.1,0.7,1.01,-0.1
Blue,Calm,10,311,24.1,21.5,26.5,22.5,-2.4,-1.0,0.95,-0.05
Blue,Calm,20,69,20.3,26.1,26.5,22.5,-6.2,3.6,0.66,0.26
Blue,Moderate,-40,152,19.7,26.3,26.1,22.6,-6.3,3.7,0.65,0.31
Blue,Moderate,-30,409,27.1,21.0,26.1,22.6,1.1,-1.6,1.12,-0.17
Blue,Moderate,-20,708,24.0,22.0,26.1,22.6,-2.0,-0.6,0.95,-0.03
Blue,Moderate,-10,830,26.0,22.2,26.1,22.6,-0.0,-0.5,1.02,-0.1
Blue,Moderate,0,1036,27.7,23.6,26.1,22.6,1.6,1.0,1.02,-0.11
Blue,Moderate,10,179,20.7,29.1,26.1,22.6,-5.4,6.4,0.62,0.34
Blue,Moderate,20,47,36.2,8.5,26.1,22.6,10.1,-14.1,3.69,-0.79
Blue,Tough,-30,51,23.5,23.5,24.0,23.9,-0.5,-0.4,0.99,0.05
Blue,Tough,-20,67,19.4,29.9,24.0,23.9,-4.6,6.0,0.65,0.04
Blue,Tough,-10,96,32.3,28.1,24.0,23.9,8.3,4.2,1.14,-0.36
Blue,Tough,0,98,22.4,23.5,24.0,23.9,-1.6,-0.4,0.95,-0.11
Green,Calm,-40,113,22.1,27.4,26.5,22.5,-4.4,4.9,0.69,0.25
Green,Calm,-30,253,21.7,17.4,26.5,22.5,-4.7,-5.1,1.06,-0.14
Green,Calm,-20,505,30.9,22.6,26.5,22.5,4.4,0.1,1.16,-0.18
Green,Calm,-10,733,25.1,20.9,26.5,22.5,-1.4,-1.6,1.02,-0.15
Green,Calm,0,1393,25.7,22.4,26.5,22.5,-0.8,-0.1,0.98,-0.08
Green,Calm,10,162,30.9,14.2,26.5,22.5,4.4,-8.3,1.85,-0.49
Green,Moderate,-40,51,13.7,29.4,26.1,22.6,-12.3,6.8,0.41,0.67
Green,Moderate,-30,172,26.2,21.5,26.1,22.6,0.1,-1.1,1.06,0.01
Green,Moderate,-20,307,27.4,22.5,26.1,22.6,1.3,-0.2,1.06,-0.23
Green,Moderate,-10,431,26.9,24.8,26.1,22.6,0.9,2.2,0.94,-0.04
Green,Moderate,0,865,27.9,24.3,26.1,22.6,1.8,1.6,1.0,-0.07
