color,condition,exec_bucket,upside_bucket,gap_bucket,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Blue,Calm,25,25,-10,70,24.3,18.6,26.5,23.3,-2.2,-4.8,1.15,-0.19
Blue,Calm,25,25,0,40,25.0,17.5,26.5,23.3,-1.5,-5.8,1.26,0.15
Blue,Calm,25,50,-30,63,20.6,22.2,26.5,23.3,-5.9,-1.1,0.82,-0.01
Blue,Calm,25,50,-20,260,32.7,22.3,26.5,23.3,6.2,-1.0,1.29,-0.31
Blue,Calm,25,50,-10,202,24.3,24.3,26.5,23.3,-2.3,0.9,0.88,0.15
Blue,Calm,25,50,0,46,21.7,26.1,26.5,23.3,-4.8,2.7,0.73,0.18
Blue,Calm,25,75,-40,88,20.5,23.9,26.5,23.3,-6.1,0.5,0.75,0.32
Blue,Calm,25,75,-30,191,24.6,21.5,26.5,23.3,-1.9,-1.9,1.01,0.02
Blue,Calm,50,50,-10,212,21.7,29.7,26.5,23.3,-4.8,6.4,0.64,0.51
Blue,Calm,50,50,0,487,29.0,19.1,26.5,23.3,2.4,-4.2,1.33,-0.33
Blue,Calm,50,50,10,47,21.3,36.2,26.5,23.3,-5.3,12.8,0.52,0.67
Blue,Calm,50,75,-30,77,24.7,29.9,26.5,23.3,-1.9,6.5,0.73,0.27
Blue,Calm,50,75,-20,200,26.5,26.0,26.5,23.3,-0.0,2.7,0.9,0.28
Blue,Calm,50,75,-10,196,24.0,23.0,26.5,23.3,-2.5,-0.4,0.92,0.1
Blue,Calm,50,75,0,88,21.6,27.3,26.5,23.3,-4.9,3.9,0.7,0.03
Blue,Calm,75,50,0,134,24.6,18.7,26.5,23.3,-1.9,-4.7,1.16,-0.28
Blue,Calm,75,50,10,96,24.0,24.0,26.5,23.3,-2.6,0.6,0.88,-0.09
Blue,Moderate,25,25,0,37,37.8,27.0,26.4,21.8,11.4,5.3,1.15,-0.17
Blue,Moderate,25,50,-30,49,20.4,22.4,26.4,21.8,-6.0,0.7,0.75,-0.15
Blue,Moderate,25,50,-20,105,31.4,19.0,26.4,21.8,5.0,-2.7,1.36,-0.55
Blue,Moderate,25,50,-10,70,37.1,10.0,26.4,21.8,10.7,-11.8,3.06,-1.01
Blue,Moderate,25,50,0,46,23.9,21.7,26.4,21.8,-2.5,-0.0,0.91,0.13
Blue,Moderate,25,75,-40,42,11.9,23.8,26.4,21.8,-14.5,2.0,0.41,0.41
Blue,Moderate,25,75,-30,50,22.0,38.0,26.4,21.8,-4.4,16.2,0.48,0.71
Blue,Moderate,50,50,-10,86,30.2,20.9,26.4,21.8,3.8,-0.8,1.19,-0.23
Blue,Moderate,50,50,0,300,29.0,20.7,26.4,21.8,2.6,-1.1,1.15,-0.21
Blue,Moderate,50,75,-30,57,19.3,33.3,26.4,21.8,-7.1,11.6,0.48,0.71
Blue,Moderate,50,75,-20,136,23.5,24.3,26.4,21.8,-2.9,2.5,0.8,0.05
Blue,Moderate,50,75,-10,77,28.6,20.8,26.4,21.8,2.1,-1.0,1.13,-0.26
Blue,Moderate,50,75,0,43,18.6,23.3,26.4,21.8,-7.8,1.5,0.66,0.41
Blue,Moderate,75,50,0,37,24.3,29.7,26.4,21.8,-2.1,8.0,0.67,0.15
Blue,Moderate,75,50,10,40,20.0,42.5,26.4,21.8,-6.4,20.7,0.39,0.92
Green,Calm,25,25,-10,52,25.0,23.1,26.5,23.3,-1.5,-0.3,0.95,0.15
Green,Calm,25,25,0,40,22.5,17.5,26.5,23.3,-4.0,-5.8,1.13,-0.08
Green,Calm,25,50,-20,150,26.7,20.0,26.5,23.3,0.1,-3.3,1.17,-0.2
Green,Calm,25,50,-10,95,25.3,21.1,26.5,23.3,-1.3,-2.3,1.06,0.08
Green,Calm,25,50,0,47,23.4,25.5,26.5,23.3,-3.1,2.2,0.81,0.16
Green,Calm,25,75,-40,39,23.1,12.8,26.5,23.3,-3.5,-10.5,1.58,-0.5
Green,Calm,25,75,-30,100,31.0,22.0,26.5,23.3,4.5,-1.3,1.24,-0.12
Green,Calm,50,50,-10,171,25.7,24.6,26.5,23.3,-0.8,1.2,0.92,0.06
Green,Calm,50,50,0,526,27.8,19.8,26.5,23.3,1.2,-3.6,1.24,-0.24
Green,Calm,50,50,10,44,22.7,29.5,26.5,23.3,-3.8,6.2,0.68,0.62
Green,Calm,50,75,-20,79,25.3,25.3,26.5,23.3,-1.2,2.0,0.88,0.33
Green,Calm,50,75,-10,102,29.4,20.6,26.5,23.3,2.9,-2.8,1.26,-0.32
Green,Calm,50,75,0,114,36.0,28.9,26.5,23.3,9.4,5.6,1.09,-0.2
Green,Calm,75,50,0,106,20.8,21.7,26.5,23.3,-5.8,-1.6,0.84,0.07
Green,Calm,75,50,10,68,22.1,26.5,26.5,23.3,-4.5,3.1,0.73,0.47
Green,Moderate,25,50,-20,35,25.7,25.7,26.4,21.8,-0.7,4.0,0.82,0.26
Green,Moderate,25,75,-20,32,31.3,21.9,26.4,21.8,4.8,0.1,1.18,-0.41
Green,Moderate,50,50,-10,55,27.3,25.5,26.4,21.8,0.8,3.7,0.88,0.17
Green,Moderate,50,50,0,241,28.6,20.7,26.4,21.8,2.2,-1.0,1.14,-0.28
Green,Moderate,50,75,-20,67,19.4,25.4,26.4,21.8,-7.0,3.6,0.63,0.08
Green,Moderate,50,75,-10,41,39.0,14.6,26.4,21.8,12.6,-7.1,2.19,-0.91
Green,Moderate,50,75,0,31,19.4,38.7,26.4,21.8,-7.1,16.9,0.41,0.54
Green,Moderate,75,50,0,39,17.9,28.2,26.4,21.8,-8.5,6.4,0.52,0.43
Green,Moderate,75,50,10,37,13.5,27.0,26.4,21.8,-12.9,5.3,0.41,0.37
Green,Tough,50,50,0,33,12.1,24.2,17.7,24.4,-5.6,-0.2,0.69,0.25
Orange,Calm,25,25,-10,49,24.5,30.6,26.5,23.3,-2.0,7.3,0.7,0.16
Orange,Calm,25,50,-30,101,25.7,28.7,26.5,23.3,-0.8,5.4,0.79,-0.23
Orange,Calm,25,50,-20,182,29.1,25.3,26.5,23.3,2.6,1.9,1.01,-0.25
Orange,Calm,25,50,-10,141,26.2,21.3,26.5,23.3,-0.3,-2.1,1.09,-0.3
Orange,Calm,25,75,-50,41,36.6,19.5,26.5,23.3,10.1,-3.8,1.65,-0.17
