color,condition,exec_bucket,upside_bucket,round_type,n,good_pct,bad_pct,good_edge,ratio,combo_overall_ratio
Orange,Moderate,25,50,Closing,46,28.3,8.7,-7.7,1.08,2.76
Orange,Moderate,25,50,Open,81,37.0,11.1,1.1,1.11,2.76
Orange,Moderate,25,50,Positioning,33,36.4,15.2,0.4,0.8,2.76
Orange,Moderate,25,50,Survival,57,40.4,14.0,4.4,0.96,2.76
Purple,Tough,50,50,Survival,36,8.3,30.6,-5.0,0.58,0.41
Blue,Moderate,25,50,Closing,70,35.7,17.1,5.1,1.15,1.53
Blue,Moderate,25,50,Open,92,23.9,20.7,-6.7,0.64,1.53
Blue,Moderate,25,50,Positioning,44,25.0,15.9,-5.7,0.86,1.53
Blue,Moderate,25,50,Survival,55,40.0,10.9,9.3,2.02,1.53
Purple,Calm,25,75,Closing,31,48.4,12.9,13.1,2.24,1.49
Purple,Calm,25,75,Open,51,31.4,19.6,-3.9,0.96,1.49
Purple,Calm,25,75,Positioning,43,27.9,23.3,-7.4,0.72,1.49
Purple,Calm,25,75,Survival,65,36.9,24.6,1.7,0.9,1.49
Green,Moderate,75,50,Closing,24,8.3,33.3,-9.3,0.33,0.54
Green,Moderate,75,50,Positioning,20,25.0,20.0,7.4,1.67,0.54
Green,Calm,25,75,Closing,23,17.4,26.1,-11.2,0.42,1.46
Green,Calm,25,75,Open,39,38.5,23.1,9.9,1.06,1.46
Green,Calm,25,75,Positioning,38,34.2,15.8,5.6,1.38,1.46
Green,Calm,25,75,Survival,54,22.2,13.0,-6.3,1.09,1.46
Blue,Moderate,25,75,Open,46,19.6,28.3,1.4,1.17,0.55
Blue,Moderate,25,75,Positioning,20,20.0,35.0,1.8,0.96,0.55
Orange,Calm,25,25,Open,20,30.0,25.0,8.3,1.85,0.57
Blue,Moderate,75,50,Closing,23,17.4,43.5,-1.7,0.74,0.57
Blue,Moderate,75,50,Open,21,19.0,23.8,-0.1,1.48,0.57
Blue,Moderate,75,50,Positioning,23,17.4,39.1,-1.7,0.82,0.57
Red,Calm,25,50,Open,23,26.1,21.7,-11.8,0.67,1.39
Red,Calm,25,50,Survival,21,47.6,23.8,9.7,1.12,1.39
Yellow,Moderate,75,50,Closing,37,16.2,45.9,-3.9,0.53,0.63
Yellow,Moderate,75,50,Open,65,33.8,21.5,13.8,2.36,0.63
