condition,color,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Pink,238,29.0,22.7,26.6,22.1,2.4,0.6,1.06,-0.13
Calm,Brown,59,28.8,16.9,26.6,22.1,2.3,-5.2,1.42,-0.38
Calm,Purple,5275,27.2,21.9,26.6,22.1,0.7,-0.2,1.04,-0.12
Calm,Orange,5629,27.1,21.9,26.6,22.1,0.5,-0.2,1.03,-0.14
Calm,Yellow,13241,26.6,22.1,26.6,22.1,0.1,0.0,1.0,-0.09
Calm,Green,4636,26.4,21.5,26.6,22.1,-0.1,-0.6,1.02,-0.12
Calm,Blue,7183,25.7,22.5,26.6,22.1,-0.8,0.4,0.95,-0.05
Calm,Red,1137,24.8,23.8,26.6,22.1,-1.8,1.7,0.87,0.09
Moderate,Brown,34,41.2,23.5,26.2,22.3,15.0,1.2,1.49,-0.37
Moderate,Pink,151,29.8,17.2,26.2,22.3,3.6,-5.1,1.48,-0.45
Moderate,Red,578,27.2,26.1,26.2,22.3,1.0,3.8,0.89,0.06
Moderate,Green,2620,27.1,23.1,26.2,22.3,0.9,0.8,1.0,-0.11
Moderate,Orange,3700,27.1,21.3,26.2,22.3,0.9,-1.0,1.08,-0.16
Moderate,Purple,2988,26.7,22.3,26.2,22.3,0.6,-0.1,1.02,-0.14
Moderate,Blue,4485,26.0,22.6,26.2,22.3,-0.1,0.3,0.98,-0.08
Moderate,Yellow,8615,25.2,22.2,26.2,22.3,-0.9,-0.1,0.97,-0.04
Tough,Green,334,26.3,22.2,22.1,24.1,4.2,-1.9,1.29,-0.23
Tough,Orange,279,23.3,19.4,22.1,24.1,1.1,-4.7,1.31,-0.16
Tough,Purple,356,21.6,25.8,22.1,24.1,-0.5,1.8,0.91,0.05
Tough,Blue,424,21.5,30.0,22.1,24.1,-0.7,5.9,0.78,0.18
Tough,Yellow,846,21.2,22.3,22.1,24.1,-1.0,-1.7,1.03,-0.06
Tough,Red,55,14.5,27.3,22.1,24.1,-7.6,3.2,0.58,0.48
