condition,color,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Purple,1952,28.0,22.7,26.5,22.8,1.5,-0.1,1.06,-0.09
Calm,Red,358,27.1,25.4,26.5,22.8,0.6,2.6,0.92,0.14
Calm,Green,1715,26.5,22.7,26.5,22.8,0.0,-0.1,1.0,-0.04
Calm,Orange,1271,26.5,22.1,26.5,22.8,0.0,-0.7,1.03,-0.14
Calm,Yellow,4726,26.2,23.1,26.5,22.8,-0.3,0.3,0.98,-0.03
Calm,Blue,2420,25.9,22.3,26.5,22.8,-0.7,-0.5,1.0,-0.05
Moderate,Red,158,30.4,22.8,26.3,21.7,4.1,1.1,1.1,-0.23
Moderate,Orange,669,29.0,17.9,26.3,21.7,2.7,-3.8,1.33,-0.44
Moderate,Green,708,27.7,21.3,26.3,21.7,1.4,-0.4,1.07,-0.17
Moderate,Purple,820,27.0,21.6,26.3,21.7,0.6,-0.1,1.03,-0.14
Moderate,Blue,1202,26.2,23.0,26.3,21.7,-0.1,1.3,0.94,-0.06
Moderate,Yellow,2277,24.5,22.2,26.3,21.7,-1.8,0.5,0.91,-0.0
Tough,Orange,56,25.0,14.3,17.7,24.4,7.3,-10.2,2.42,-0.66
Tough,Green,125,19.2,21.6,17.7,24.4,1.5,-2.8,1.23,0.06
Tough,Yellow,264,18.6,20.5,17.7,24.4,0.9,-4.0,1.26,-0.2
Tough,Purple,129,16.3,27.1,17.7,24.4,-1.4,2.7,0.83,0.07
Tough,Blue,93,11.8,37.6,17.7,24.4,-5.8,13.2,0.43,0.96
