round_type,color,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Closing,Purple,1493,25.9,21.0,24.7,22.4,1.3,-1.4,1.12,-0.18
Closing,Orange,1700,25.6,21.5,24.7,22.4,1.0,-0.9,1.08,-0.16
Closing,Green,1317,25.0,21.1,24.7,22.4,0.3,-1.3,1.08,-0.12
Closing,Yellow,4168,24.6,22.6,24.7,22.4,-0.1,0.1,0.99,-0.02
Closing,Blue,2195,23.6,24.0,24.7,22.4,-1.0,1.6,0.9,0.04
Closing,Pink,86,23.3,23.3,24.7,22.4,-1.4,0.8,0.91,0.08
Closing,Red,311,20.9,27.3,24.7,22.4,-3.8,4.9,0.7,0.34
Elimination,Orange,97,36.1,14.4,27.8,19.8,8.2,-5.4,1.78,-0.59
Elimination,Green,55,29.1,14.5,27.8,19.8,1.3,-5.2,1.42,-0.2
Elimination,Purple,60,28.3,23.3,27.8,19.8,0.5,3.5,0.86,0.09
Elimination,Yellow,137,26.3,22.6,27.8,19.8,-1.6,2.8,0.83,0.25
Elimination,Blue,114,24.6,22.8,27.8,19.8,-3.3,3.0,0.77,0.11
Mixed,Orange,252,33.7,28.2,30.4,25.7,3.3,2.4,1.01,0.07
Mixed,Blue,263,33.1,25.9,30.4,25.7,2.6,0.1,1.08,-0.1
Mixed,Green,218,31.2,23.9,30.4,25.7,0.8,-1.9,1.11,0.08
Mixed,Yellow,570,29.8,23.7,30.4,25.7,-0.6,-2.1,1.07,0.12
Mixed,Purple,264,28.8,27.3,30.4,25.7,-1.6,1.5,0.89,0.37
Mixed,Red,57,14.0,36.8,30.4,25.7,-16.4,11.1,0.32,1.06
Open,Brown,31,38.7,22.6,28.0,21.5,10.8,1.1,1.32,-0.62
Open,Pink,128,33.6,18.8,28.0,21.5,5.6,-2.7,1.38,-0.33
Open,Purple,2958,28.9,21.8,28.0,21.5,1.0,0.3,1.02,-0.2
Open,Orange,3106,28.6,19.7,28.0,21.5,0.7,-1.8,1.12,-0.28
Open,Green,2528,28.5,23.4,28.0,21.5,0.6,1.9,0.94,-0.16
Open,Yellow,7398,27.8,21.2,28.0,21.5,-0.1,-0.3,1.01,-0.18
Open,Red,543,27.4,23.0,28.0,21.5,-0.5,1.5,0.92,-0.04
Open,Blue,4005,26.4,21.8,28.0,21.5,-1.6,0.3,0.93,-0.12
Positioning,Pink,76,28.9,22.4,24.5,21.9,4.4,0.5,1.15,-0.18
Positioning,Green,1327,25.5,20.5,24.5,21.9,0.9,-1.4,1.11,-0.12
Positioning,Orange,1770,25.4,21.9,24.5,21.9,0.8,-0.0,1.03,-0.07
Positioning,Blue,2232,24.7,22.4,24.5,21.9,0.2,0.5,0.99,-0.02
Positioning,Purple,1607,24.5,22.1,24.5,21.9,0.0,0.2,0.99,-0.05
Positioning,Yellow,4073,23.8,21.8,24.5,21.9,-0.7,-0.1,0.97,-0.03
Positioning,Red,329,23.1,24.3,24.5,21.9,-1.4,2.4,0.85,0.04
Survival,Pink,92,30.4,19.6,26.0,23.0,4.5,-3.5,1.38,-0.55
Survival,Red,511,28.8,24.1,26.0,23.0,2.8,1.0,1.06,-0.04
Survival,Blue,3283,26.3,23.4,26.0,23.0,0.3,0.3,1.0,-0.05
Survival,Purple,2237,26.1,22.8,26.0,23.0,0.1,-0.2,1.01,-0.08
Survival,Orange,2683,26.0,23.3,26.0,23.0,0.0,0.2,0.99,-0.05
Survival,Green,2145,25.7,22.2,26.0,23.0,-0.3,-0.9,1.03,-0.1
Survival,Yellow,6356,25.6,23.1,26.0,23.0,-0.4,0.1,0.98,-0.01
