round_type,color,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Closing,Purple,1008,26.4,21.0,25.0,22.1,1.4,-1.1,1.11,-0.18
Closing,Orange,1293,26.1,21.4,25.0,22.1,1.2,-0.7,1.08,-0.15
Closing,Green,886,26.2,20.9,25.0,22.1,1.2,-1.2,1.11,-0.17
Closing,Yellow,2821,25.0,22.3,25.0,22.1,0.0,0.2,0.99,-0.06
Closing,Pink,85,23.5,22.4,25.0,22.1,-1.5,0.2,0.93,0.01
Closing,Blue,1468,23.4,22.8,25.0,22.1,-1.6,0.6,0.91,-0.03
Closing,Red,214,17.8,29.4,25.0,22.1,-7.2,7.3,0.53,0.53
Elimination,Orange,83,37.3,13.3,27.7,18.2,9.6,-5.0,1.85,-0.61
Elimination,Yellow,100,27.0,24.0,27.7,18.2,-0.7,5.8,0.74,0.36
Elimination,Green,42,26.2,9.5,27.7,18.2,-1.5,-8.7,1.81,-0.4
Elimination,Purple,39,25.6,25.6,27.7,18.2,-2.1,7.4,0.66,0.04
Elimination,Blue,84,23.8,20.2,27.7,18.2,-3.9,2.0,0.77,-0.03
Mixed,Orange,193,35.8,24.4,30.7,23.7,5.1,0.6,1.13,-0.27
Mixed,Blue,158,34.2,23.4,30.7,23.7,3.5,-0.3,1.13,-0.34
Mixed,Green,125,31.2,21.6,30.7,23.7,0.5,-2.1,1.12,0.01
Mixed,Yellow,372,29.6,21.0,30.7,23.7,-1.1,-2.7,1.09,-0.01
Mixed,Purple,158,25.9,28.5,30.7,23.7,-4.7,4.8,0.7,0.44
Mixed,Red,39,17.9,38.5,30.7,23.7,-12.7,14.8,0.36,0.64
Open,Pink,123,33.3,18.7,27.6,21.2,5.7,-2.5,1.37,-0.31
Open,Purple,1969,28.8,21.9,27.6,21.2,1.2,0.7,1.01,-0.22
Open,Yellow,4963,27.8,20.6,27.6,21.2,0.2,-0.7,1.04,-0.22
Open,Orange,2458,27.8,20.1,27.6,21.2,0.2,-1.1,1.06,-0.23
Open,Green,1669,27.3,23.4,27.6,21.2,-0.3,2.1,0.9,-0.11
Open,Red,401,27.2,21.9,27.6,21.2,-0.4,0.7,0.95,-0.1
Open,Blue,2776,26.1,21.6,27.6,21.2,-1.5,0.4,0.93,-0.12
Positioning,Pink,74,28.4,21.6,25.4,21.5,3.0,0.1,1.11,-0.22
Positioning,Orange,1396,26.5,21.9,25.4,21.5,1.1,0.4,1.03,-0.07
Positioning,Purple,1036,25.7,20.7,25.4,21.5,0.3,-0.9,1.05,-0.14
Positioning,Green,874,25.6,20.4,25.4,21.5,0.2,-1.2,1.07,-0.15
Positioning,Blue,1545,25.4,22.4,25.4,21.5,0.0,0.9,0.96,-0.01
Positioning,Yellow,2793,24.7,21.4,25.4,21.5,-0.7,-0.1,0.98,-0.08
Positioning,Red,214,23.4,23.4,25.4,21.5,-2.0,1.8,0.85,0.01
Survival,Pink,87,29.9,18.4,25.8,23.6,4.1,-5.2,1.49,-0.58
Survival,Green,1446,26.7,22.5,25.8,23.6,0.9,-1.1,1.09,-0.17
Survival,Red,358,26.5,24.3,25.8,23.6,0.7,0.7,1.0,0.05
Survival,Blue,2346,26.4,24.5,25.8,23.6,0.6,0.9,0.99,-0.02
Survival,Yellow,4386,25.6,23.6,25.8,23.6,-0.2,-0.1,1.0,0.02
Survival,Orange,2189,25.4,24.3,25.8,23.6,-0.5,0.6,0.96,0.02
Survival,Purple,1508,24.8,22.7,25.8,23.6,-1.0,-0.9,1.0,-0.03
