round_type,condition,color,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Closing,Calm,Purple,947,25.8,19.9,24.2,22.7,1.6,-2.9,1.22,-0.23
Closing,Calm,Green,818,24.7,21.0,24.2,22.7,0.5,-1.7,1.11,-0.15
Closing,Calm,Yellow,2424,24.5,22.6,24.2,22.7,0.4,-0.1,1.02,-0.03
Closing,Calm,Orange,1121,24.4,23.5,24.2,22.7,0.2,0.7,0.98,-0.05
Closing,Calm,Blue,1332,22.9,24.7,24.2,22.7,-1.3,2.0,0.87,0.07
Closing,Calm,Pink,57,22.8,26.3,24.2,22.7,-1.4,3.6,0.82,0.1
Closing,Calm,Red,180,17.2,27.8,24.2,22.7,-6.9,5.0,0.58,0.4
Closing,Moderate,Orange,550,27.8,18.0,25.2,21.7,2.6,-3.7,1.33,-0.33
Closing,Moderate,Red,125,27.2,24.8,25.2,21.7,2.0,3.1,0.94,0.15
Closing,Moderate,Purple,493,26.0,22.5,25.2,21.7,0.8,0.8,0.99,-0.07
Closing,Moderate,Green,435,25.5,20.0,25.2,21.7,0.3,-1.7,1.1,-0.12
Closing,Moderate,Blue,800,24.9,22.5,25.2,21.7,-0.3,0.8,0.95,-0.0
Closing,Moderate,Yellow,1576,23.9,22.6,25.2,21.7,-1.3,0.9,0.91,0.03
Closing,Tough,Yellow,168,31.0,21.4,28.2,25.1,2.8,-3.6,1.28,-0.36
Closing,Tough,Purple,53,28.3,28.3,28.2,25.1,0.1,3.2,0.89,-0.13
Closing,Tough,Green,64,25.0,29.7,28.2,25.1,-3.2,4.6,0.75,0.29
Closing,Tough,Blue,63,23.8,28.6,28.2,25.1,-4.4,3.5,0.74,0.14
Elimination,Calm,Orange,97,36.1,14.4,27.8,19.8,8.2,-5.4,1.78,-0.59
Elimination,Calm,Green,55,29.1,14.5,27.8,19.8,1.3,-5.2,1.42,-0.2
Elimination,Calm,Purple,60,28.3,23.3,27.8,19.8,0.5,3.5,0.86,0.09
Elimination,Calm,Yellow,137,26.3,22.6,27.8,19.8,-1.6,2.8,0.83,0.25
Elimination,Calm,Blue,114,24.6,22.8,27.8,19.8,-3.3,3.0,0.77,0.11
Mixed,Calm,Orange,220,35.9,25.0,31.9,25.0,4.0,0.0,1.12,-0.08
Mixed,Calm,Blue,248,33.5,25.4,31.9,25.0,1.6,0.4,1.03,-0.09
Mixed,Calm,Green,204,32.8,22.5,31.9,25.0,1.0,-2.4,1.14,-0.01
Mixed,Calm,Yellow,537,31.3,23.8,31.9,25.0,-0.6,-1.1,1.03,0.09
Mixed,Calm,Purple,245,30.2,26.9,31.9,25.0,-1.7,2.0,0.88,0.3
Mixed,Calm,Red,51,15.7,33.3,31.9,25.0,-16.2,8.4,0.37,0.86
Mixed,Moderate,Orange,32,18.8,50.0,12.8,35.2,5.9,14.8,1.03,1.08
Mixed,Moderate,Yellow,33,6.1,21.2,12.8,35.2,-6.7,-14.0,0.79,0.48
Open,Calm,Pink,85,37.6,18.8,28.5,21.5,9.1,-2.6,1.5,-0.41
Open,Calm,Yellow,4367,29.4,21.3,28.5,21.5,0.8,-0.1,1.03,-0.22
Open,Calm,Purple,1802,29.4,22.2,28.5,21.5,0.8,0.7,0.99,-0.17
Open,Calm,Orange,1777,28.4,19.9,28.5,21.5,-0.1,-1.6,1.08,-0.26
Open,Calm,Green,1554,28.1,22.6,28.5,21.5,-0.4,1.1,0.94,-0.14
Open,Calm,Blue,2374,27.0,21.6,28.5,21.5,-1.5,0.1,0.94,-0.15
Open,Calm,Red,355,24.5,21.7,28.5,21.5,-4.0,0.2,0.85,0.07
Open,Moderate,Red,176,33.5,26.1,27.6,21.3,5.9,4.8,0.99,-0.22
Open,Moderate,Orange,1230,29.7,19.8,27.6,21.3,2.1,-1.5,1.16,-0.31
Open,Moderate,Green,898,29.5,24.6,27.6,21.3,1.9,3.3,0.93,-0.15
Open,Moderate,Purple,1073,29.1,20.9,27.6,21.3,1.5,-0.4,1.08,-0.29
Open,Moderate,Yellow,2844,25.9,20.8,27.6,21.3,-1.6,-0.5,0.96,-0.14
Open,Moderate,Blue,1485,25.9,21.3,27.6,21.3,-1.7,-0.0,0.94,-0.1
Open,Moderate,Pink,39,25.6,20.5,27.6,21.3,-1.9,-0.8,0.97,-0.17
Open,Tough,Green,76,25.0,25.0,20.8,24.7,4.2,0.3,1.19,-0.47
Open,Tough,Blue,146,21.2,31.5,20.8,24.7,0.5,6.8,0.8,-0.01
Open,Tough,Yellow,187,20.3,24.6,20.8,24.7,-0.4,-0.1,0.98,-0.05
Open,Tough,Orange,99,19.2,15.2,20.8,24.7,-1.6,-9.6,1.51,-0.3
Open,Tough,Purple,83,18.1,26.5,20.8,24.7,-2.7,1.8,0.81,0.3
Positioning,Calm,Pink,47,25.5,25.5,24.4,22.0,1.1,3.5,0.9,0.09
Positioning,Calm,Green,832,25.2,20.6,24.4,22.0,0.9,-1.5,1.11,-0.11
Positioning,Calm,Purple,1017,24.7,22.0,24.4,22.0,0.3,0.0,1.01,-0.08
Positioning,Calm,Orange,1119,24.7,23.3,24.4,22.0,0.3,1.3,0.95,-0.02
Positioning,Calm,Blue,1414,24.5,20.9,24.4,22.0,0.2,-1.1,1.06,-0.05
Positioning,Calm,Yellow,2529,23.9,22.2,24.4,22.0,-0.5,0.2,0.97,-0.07
Positioning,Calm,Red,216,22.2,25.0,24.4,22.0,-2.2,3.0,0.8,0.08
Positioning,Moderate,Orange,576,26.2,19.8,25.1,21.6,1.1,-1.8,1.14,-0.18
Positioning,Moderate,Green,411,25.1,20.0,25.1,21.6,0.0,-1.6,1.08,-0.12
Positioning,Moderate,Yellow,1258,25.0,21.2,25.1,21.6,-0.1,-0.4,1.01,-0.02
Positioning,Moderate,Blue,689,25.0,23.8,25.1,21.6,-0.1,2.2,0.9,0.02
Positioning,Moderate,Red,96,25.0,25.0,25.1,21.6,-0.1,3.4,0.86,-0.02
Positioning,Moderate,Purple,501,23.8,22.6,25.1,21.6,-1.4,1.0,0.91,0.0
Positioning,Tough,Green,84,29.8,22.6,23.3,22.0,6.4,0.6,1.24,-0.17
Positioning,Tough,Orange,75,29.3,16.0,23.3,22.0,6.0,-6.0,1.73,-0.09
