round_type,condition,color,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Closing,Calm,Purple,651,25.3,20.3,23.7,22.7,1.7,-2.4,1.2,-0.17
Closing,Calm,Green,567,25.4,21.2,23.7,22.7,1.7,-1.5,1.15,-0.15
Closing,Calm,Orange,839,24.4,23.1,23.7,22.7,0.8,0.4,1.01,-0.04
Closing,Calm,Yellow,1559,23.7,22.8,23.7,22.7,0.0,0.1,1.0,0.01
Closing,Calm,Pink,56,23.2,25.0,23.7,22.7,-0.5,2.3,0.89,-0.01
Closing,Calm,Blue,896,22.4,23.7,23.7,22.7,-1.2,0.9,0.91,0.03
Closing,Calm,Red,131,12.2,32.1,23.7,22.7,-11.5,9.3,0.37,0.71
Closing,Moderate,Orange,439,29.2,18.5,26.5,20.9,2.6,-2.4,1.24,-0.3
Closing,Moderate,Purple,321,28.0,21.5,26.5,20.9,1.5,0.6,1.03,-0.2
Closing,Moderate,Red,80,27.5,22.5,26.5,20.9,1.0,1.6,0.96,0.11
Closing,Moderate,Green,278,27.0,18.7,26.5,20.9,0.4,-2.2,1.14,-0.25
Closing,Moderate,Yellow,1140,25.9,21.8,26.5,20.9,-0.7,0.9,0.93,-0.1
Closing,Moderate,Blue,541,24.8,21.4,26.5,20.9,-1.8,0.5,0.91,-0.1
Closing,Tough,Yellow,122,34.4,21.3,32.3,24.6,2.2,-3.3,1.23,-0.53
Closing,Tough,Green,41,31.7,31.7,32.3,24.6,-0.6,7.1,0.76,-0.02
Closing,Tough,Purple,36,30.6,30.6,32.3,24.6,-1.7,6.0,0.76,-0.04
Closing,Tough,Blue,31,29.0,19.4,32.3,24.6,-3.2,-5.2,1.14,-0.56
Elimination,Calm,Orange,83,37.3,13.3,27.7,18.2,9.6,-5.0,1.85,-0.61
Elimination,Calm,Yellow,100,27.0,24.0,27.7,18.2,-0.7,5.8,0.74,0.36
Elimination,Calm,Green,42,26.2,9.5,27.7,18.2,-1.5,-8.7,1.81,-0.4
Elimination,Calm,Purple,39,25.6,25.6,27.7,18.2,-2.1,7.4,0.66,0.04
Elimination,Calm,Blue,84,23.8,20.2,27.7,18.2,-3.9,2.0,0.77,-0.03
Mixed,Calm,Orange,161,39.1,19.3,33.0,22.2,6.1,-2.9,1.36,-0.54
Mixed,Calm,Blue,143,35.0,22.4,33.0,22.2,1.9,0.2,1.05,-0.34
Mixed,Calm,Green,111,34.2,18.9,33.0,22.2,1.2,-3.3,1.21,-0.18
Mixed,Calm,Yellow,339,31.9,20.9,33.0,22.2,-1.2,-1.2,1.02,-0.06
Mixed,Calm,Purple,139,28.1,28.1,33.0,22.2,-5.0,5.9,0.67,0.31
Mixed,Calm,Red,33,21.2,33.3,33.0,22.2,-11.8,11.2,0.43,0.26
Mixed,Moderate,Orange,32,18.8,50.0,12.8,35.2,5.9,14.8,1.03,1.08
Mixed,Moderate,Yellow,33,6.1,21.2,12.8,35.2,-6.7,-14.0,0.79,0.48
Open,Calm,Pink,84,36.9,19.0,28.4,20.9,8.5,-1.8,1.42,-0.38
Open,Calm,Yellow,2796,30.4,20.0,28.4,20.9,2.0,-0.9,1.12,-0.3
Open,Calm,Purple,1147,29.4,22.2,28.4,20.9,1.0,1.3,0.97,-0.17
Open,Calm,Orange,1394,27.7,20.0,28.4,20.9,-0.7,-0.9,1.02,-0.22
Open,Calm,Green,979,27.1,22.3,28.4,20.9,-1.4,1.4,0.89,-0.1
Open,Calm,Blue,1584,25.9,21.7,28.4,20.9,-2.5,0.8,0.88,-0.09
Open,Calm,Red,253,24.5,19.4,28.4,20.9,-3.9,-1.5,0.93,-0.05
Open,Moderate,Red,136,32.4,27.2,27.0,21.4,5.3,5.8,0.94,-0.13
Open,Moderate,Orange,972,29.0,20.7,27.0,21.4,2.0,-0.7,1.11,-0.25
Open,Moderate,Purple,751,28.8,21.2,27.0,21.4,1.7,-0.2,1.08,-0.34
Open,Moderate,Green,628,27.5,25.0,27.0,21.4,0.5,3.6,0.87,-0.08
Open,Moderate,Blue,1058,26.8,20.5,27.0,21.4,-0.2,-0.9,1.04,-0.17
Open,Moderate,Pink,35,25.7,20.0,27.0,21.4,-1.3,-1.4,1.02,-0.16
Open,Moderate,Yellow,2007,24.9,20.9,27.0,21.4,-2.1,-0.5,0.94,-0.13
Open,Tough,Green,62,29.0,24.2,21.1,24.5,7.9,-0.3,1.39,-0.63
Open,Tough,Blue,134,23.1,29.9,21.1,24.5,2.0,5.4,0.9,-0.13
Open,Tough,Purple,71,19.7,25.4,21.1,24.5,-1.4,0.9,0.9,0.16
Open,Tough,Yellow,160,18.8,26.3,21.1,24.5,-2.4,1.8,0.83,0.1
Open,Tough,Orange,92,17.4,15.2,21.1,24.5,-3.7,-9.3,1.32,-0.25
Positioning,Calm,Orange,880,26.4,23.1,24.9,21.6,1.4,1.5,0.99,-0.07
Positioning,Calm,Purple,672,25.1,20.7,24.9,21.6,0.2,-0.9,1.05,-0.16
Positioning,Calm,Green,558,24.9,19.4,24.9,21.6,0.0,-2.2,1.12,-0.19
Positioning,Calm,Blue,962,24.7,21.4,24.9,21.6,-0.2,-0.2,1.0,-0.02
Positioning,Calm,Pink,45,24.4,24.4,24.9,21.6,-0.5,2.8,0.87,0.03
Positioning,Calm,Yellow,1718,24.3,21.9,24.9,21.6,-0.6,0.3,0.96,-0.1
Positioning,Calm,Red,137,23.4,22.6,24.9,21.6,-1.6,1.0,0.89,-0.05
Positioning,Moderate,Yellow,874,26.4,20.3,26.1,21.3,0.3,-1.0,1.06,-0.11
Positioning,Moderate,Orange,459,26.4,20.3,26.1,21.3,0.2,-1.0,1.06,-0.11
Positioning,Moderate,Purple,298,25.8,20.5,26.1,21.3,-0.3,-0.8,1.03,-0.1
Positioning,Moderate,Green,260,25.8,22.7,26.1,21.3,-0.4,1.4,0.92,-0.02
Positioning,Moderate,Blue,485,25.6,23.1,26.1,21.3,-0.6,1.8,0.9,0.02
