player_name,condition,round_type,color,element,exec_bucket,upside_bucket,chinese_zodiac,combo_events,combo_wr,baseline_wr,delta,delta_pct
Alex Smalley,Calm,Survival,Yellow,Fire,25,50,Rat,5,1.0,0.28,0.72,72.0
Kurt Kitayama,Calm,Open,Yellow,Water,50,75,Monkey,5,1.0,0.293,0.7070000000000001,70.7
Tommy Fleetwood,Calm,Closing,Blue,Metal,50,50,Horse,5,1.0,0.41,0.5900000000000001,59.0
Lee Hodges,Calm,Survival,Yellow,Wood,50,75,Pig,7,0.857,0.276,0.581,58.1
Austin Eckroat,Calm,Open,Orange,Earth,50,50,Tiger,5,0.8,0.267,0.533,53.3
Aaron Rai,Calm,Open,Blue,Wood,50,50,Pig,6,0.833,0.313,0.52,52.0
Keegan Bradley,Calm,Closing,Yellow,Fire,50,50,Tiger,5,0.8,0.285,0.5150000000000001,51.5
S.H. Kim,Calm,Open,Purple,Earth,50,50,Tiger,7,0.714,0.239,0.475,47.5
Taylor Moore,Calm,Survival,Yellow,Water,50,75,Rooster,7,0.714,0.267,0.44699999999999995,44.7
Max McGreevy,Calm,Open,Orange,Wood,25,75,Pig,6,0.667,0.228,0.43900000000000006,43.9
Gary Woodland,Calm,Survival,Orange,Wood,25,75,Rat,6,0.667,0.237,0.43000000000000005,43.0
Henrik Norlander,Calm,Open,Yellow,Fire,50,50,Rabbit,6,0.667,0.24,0.42700000000000005,42.7
Kevin Tway,Calm,REMOVE,Yellow,Earth,50,50,Dragon,5,0.6,0.173,0.427,42.7
Ryan Fox,Calm,Open,Yellow,Fire,50,50,Tiger,7,0.714,0.289,0.425,42.5
Rory McIlroy,Calm,Open,Yellow,Earth,50,75,Snake,6,0.833,0.409,0.424,42.4
Denny McCarthy,Calm,Closing,Yellow,Water,50,75,Rooster,7,0.714,0.295,0.419,41.9
Collin Morikawa,Calm,Open,Yellow,Fire,25,50,Rat,6,0.833,0.424,0.409,40.9
Peter Malnati,Calm,Open,Purple,Fire,50,50,Rabbit,5,0.6,0.195,0.40499999999999997,40.5
Peter Malnati,Calm,Open,Yellow,Fire,50,75,Rabbit,5,0.6,0.195,0.40499999999999997,40.5
Davis Thompson,Calm,Open,Yellow,Earth,25,50,Rabbit,7,0.714,0.316,0.39799999999999996,39.8
Harris English,Calm,Survival,Yellow,Earth,50,50,Snake,6,0.667,0.274,0.393,39.3
Luke List,Calm,Open,Orange,Wood,50,75,Rat,5,0.6,0.208,0.392,39.2
Luke List,Calm,Open,Yellow,Wood,50,50,Rat,5,0.6,0.208,0.392,39.2
Taylor Pendrith,Calm,Open,Yellow,Metal,50,50,Goat,9,0.667,0.281,0.386,38.6
Nate Lashley,Calm,Open,Blue,Water,50,50,Dog,5,0.6,0.217,0.383,38.3
Séamus Power,Calm,Open,Blue,Fire,50,50,Rabbit,6,0.667,0.286,0.38100000000000006,38.1
Chez Reavie,Calm,Positioning,Purple,Metal,50,50,Rooster,5,0.6,0.219,0.381,38.1
Nico Echavarria,Calm,Positioning,Yellow,Wood,50,75,Dog,6,0.667,0.288,0.37900000000000006,37.9
Patrick Cantlay,Calm,Open,Orange,Water,50,50,Monkey,5,0.8,0.422,0.37800000000000006,37.8
Jhonattan Vegas,Calm,Open,Green,Wood,50,50,Rat,5,0.6,0.223,0.377,37.7
Sam Burns,Calm,Closing,Blue,Fire,50,50,Rat,7,0.714,0.338,0.37599999999999995,37.6
Stephan Jaeger,Calm,Open,Purple,Earth,25,75,Snake,6,0.667,0.292,0.37500000000000006,37.5
Adam Svensson,Calm,REMOVE,Yellow,Water,50,50,Rooster,6,0.667,0.294,0.37300000000000005,37.3
Brendon Todd,Calm,Open,Blue,Wood,50,50,Ox,5,0.6,0.227,0.373,37.3
Vince Whaley,Calm,Survival,Green,Wood,50,50,Pig,5,0.6,0.237,0.363,36.3
Vince Whaley,Calm,Open,Blue,Wood,25,50,Pig,5,0.6,0.237,0.363,36.3
Rickie Fowler,Calm,Open,Yellow,Earth,50,50,Dragon,6,0.667,0.307,0.36000000000000004,36.0
Henrik Norlander,Calm,Open,Yellow,Fire,75,50,Rabbit,5,0.6,0.24,0.36,36.0
Andrew Novak,Calm,Open,Purple,Wood,25,50,Pig,8,0.625,0.265,0.36,36.0
Trace Crowe,Calm,Open,Yellow,Fire,50,75,Rat,6,0.667,0.309,0.35800000000000004,35.8
Cameron Champ,Calm,Open,Purple,Wood,50,50,Pig,5,0.6,0.242,0.358,35.8
Patrick Rodgers,Calm,Open,Yellow,Water,50,50,Monkey,5,0.6,0.246,0.354,35.4
Andrew Putnam,Calm,Open,Purple,Earth,50,50,Dragon,5,0.6,0.248,0.352,35.2
Min Woo Lee,Calm,Open,Orange,Earth,25,75,Tiger,6,0.667,0.318,0.34900000000000003,34.9
K.H. Lee,Calm,Survival,Yellow,Metal,50,75,Goat,5,0.6,0.251,0.349,34.9
Garrick Higgo,Calm,Open,Orange,Earth,25,50,Rabbit,6,0.667,0.32,0.34700000000000003,34.7
Greyson Sigg,Calm,Open,Orange,Wood,50,50,Pig,5,0.6,0.253,0.347,34.7
Matt NeSmith,Calm,Open,Orange,Water,50,50,Rooster,5,0.6,0.254,0.346,34.6
Doug Ghim,Calm,Closing,Orange,Fire,50,50,Rat,5,0.6,0.256,0.344,34.4
Brandon Wu,Calm,Survival,Yellow,Fire,50,50,Ox,9,0.556,0.213,0.3430000000000001,34.3
Mark Hubbard,Calm,Closing,Purple,Earth,50,50,Snake,5,0.6,0.262,0.33799999999999997,33.8
Mark Hubbard,Calm,Survival,Green,Earth,50,50,Snake,5,0.6,0.262,0.33799999999999997,33.8
Andrew Novak,Calm,Open,Green,Wood,50,75,Pig,5,0.6,0.265,0.33499999999999996,33.5
Taylor Moore,Calm,Open,Orange,Water,25,50,Rooster,5,0.6,0.267,0.33299999999999996,33.3
Beau Hossler,Calm,Survival,Purple,Wood,50,50,Pig,5,0.6,0.269,0.33099999999999996,33.1
Beau Hossler,Calm,Open,Yellow,Wood,50,50,Pig,10,0.6,0.269,0.33099999999999996,33.1
Beau Hossler,Calm,Survival,Orange,Wood,25,50,Pig,5,0.6,0.269,0.33099999999999996,33.1
J.T. Poston,Calm,Survival,Yellow,Water,25,75,Rooster,5,0.6,0.273,0.32699999999999996,32.7
Rafael Campos,Calm,Survival,Yellow,Earth,50,50,Dragon,6,0.5,0.174,0.326,32.6
Harris English,Calm,Survival,Green,Earth,50,50,Snake,5,0.6,0.274,0.32599999999999996,32.6
Harris English,Calm,Open,Yellow,Earth,50,75,Snake,5,0.6,0.274,0.32599999999999996,32.6
Matt Wallace,Calm,Survival,Red,Metal,50,50,Horse,5,0.6,0.276,0.32399999999999995,32.4
S.Y. Noh,Calm,REMOVE,Yellow,Metal,50,50,Goat,8,0.5,0.178,0.322,32.2
Hideki Matsuyama,Calm,Survival,Yellow,Water,50,50,Monkey,6,0.667,0.347,0.32000000000000006,32.0
Tom Hoge,Calm,Open,Yellow,Earth,50,75,Snake,7,0.571,0.253,0.31799999999999995,31.8
Cameron Young,Calm,Closing,Blue,Fire,50,50,Ox,6,0.667,0.351,0.31600000000000006,31.6
Billy Horschel,Calm,Positioning,Yellow,Fire,25,50,Tiger,5,0.6,0.287,0.313,31.3
Davis Riley,Calm,Survival,Orange,Fire,25,75,Rat,7,0.571,0.26,0.31099999999999994,31.1
Jon Rahm,Calm,Open,Yellow,Wood,25,50,Dog,5,0.8,0.49,0.31000000000000005,31.0
Cam Davis,Calm,Open,Blue,Wood,50,50,Pig,7,0.571,0.262,0.30899999999999994,30.9
Sungjae Im,Calm,Open,Yellow,Earth,50,50,Tiger,6,0.667,0.359,0.30800000000000005,30.8
Thorbjørn Olesen,Calm,Open,Yellow,Earth,25,50,Snake,6,0.5,0.193,0.307,30.7
Adam Scott,Calm,Open,Yellow,Metal,50,50,Monkey,5,0.6,0.299,0.301,30.1
Corey Conners,Calm,Closing,Green,Metal,50,50,Goat,6,0.667,0.367,0.30000000000000004,30.0
Will Zalatoris,Calm,Closing,Yellow,Fire,50,50,Rat,5,0.6,0.3,0.3,30.0
Eric Cole,Calm,Open,Yellow,Earth,50,75,Dragon,5,0.6,0.3,0.3,30.0
J.T. Poston,Calm,Open,Yellow,Water,50,75,Rooster,7,0.571,0.273,0.29799999999999993,29.8
J.J. Spaun,Calm,Positioning,Orange,Metal,50,75,Horse,5,0.6,0.303,0.297,29.7
J.J. Spaun,Calm,Open,Blue,Metal,25,50,Horse,5,0.6,0.303,0.297,29.7
J.J. Spaun,Calm,Open,Green,Metal,50,50,Horse,5,0.6,0.303,0.297,29.7
Taylor Montgomery,Calm,Open,Yellow,Wood,50,75,Dog,5,0.6,0.305,0.295,29.5
Si Woo Kim,Calm,Closing,Orange,Wood,25,50,Pig,5,0.6,0.307,0.293,29.3
Si Woo Kim,Calm,Survival,Green,Wood,50,50,Pig,5,0.6,0.307,0.293,29.3
Luke List,Calm,Open,Orange,Wood,50,50,Rat,6,0.5,0.208,0.29200000000000004,29.2
Chris Kirk,Calm,Open,Blue,Wood,50,50,Ox,5,0.6,0.31,0.29,29.0
Aaron Rai,Calm,Positioning,Orange,Wood,50,50,Pig,5,0.6,0.313,0.287,28.7
Davis Thompson,Calm,Open,Green,Earth,50,50,Rabbit,5,0.6,0.316,0.284,28.4
Maverick McNealy,Calm,Survival,Orange,Wood,25,50,Pig,8,0.625,0.342,0.283,28.3
Min Woo Lee,Calm,Survival,Yellow,Earth,50,50,Tiger,5,0.6,0.318,0.282,28.2
Keith Mitchell,Calm,Open,Blue,Metal,50,50,Goat,5,0.6,0.32,0.27999999999999997,28.0
Garrick Higgo,Calm,Survival,Blue,Earth,50,50,Rabbit,5,0.6,0.32,0.27999999999999997,28.0
Jhonattan Vegas,Calm,Open,Yellow,Wood,50,50,Rat,8,0.5,0.223,0.277,27.7
Denny McCarthy,Calm,Open,Yellow,Water,50,50,Rooster,7,0.571,0.295,0.27599999999999997,27.6
Taylor Pendrith,Calm,Open,Purple,Metal,25,50,Goat,9,0.556,0.281,0.275,27.5
Adam Hadwin,Calm,Open,Green,Fire,50,50,Rabbit,9,0.556,0.284,0.2720000000000001,27.2
Adam Scott,Calm,Closing,Yellow,Metal,50,50,Monkey,7,0.571,0.299,0.27199999999999996,27.2
Emiliano Grillo,Calm,Open,Orange,Water,50,50,Monkey,7,0.571,0.299,0.27199999999999996,27.2
Ludvig Åberg,Calm,Positioning,Yellow,Earth,25,50,Rabbit,6,0.667,0.397,0.27,27.0
Joel Dahmen,Calm,Survival,Yellow,Fire,50,50,Rabbit,6,0.5,0.231,0.269,26.9
Justin Lower,Calm,Open,Yellow,Earth,50,50,Snake,8,0.5,0.237,0.263,26.3
Matti Schmid,Calm,Open,Green,Fire,50,50,Ox,7,0.571,0.312,0.25899999999999995,25.9
Maverick McNealy,Calm,Open,Yellow,Wood,75,50,Pig,5,0.6,0.342,0.25799999999999995,25.8
Eric Cole,Calm,Survival,Yellow,Earth,50,50,Dragon,9,0.556,0.3,0.25600000000000006,25.6
Stephan Jaeger,Calm,Closing,Yellow,Earth,50,75,Snake,11,0.545,0.292,0.25300000000000006,25.3
Andrew Putnam,Calm,Positioning,Yellow,Earth,25,50,Dragon,6,0.5,0.248,0.252,25.2
Nicolai Højgaard,Calm,Open,Yellow,Metal,50,75,Snake,6,0.5,0.248,0.252,25.2
Adam Svensson,Calm,Open,Yellow,Water,50,75,Rooster,11,0.545,0.294,0.25100000000000006,25.1
Lanto Griffin,Calm,Open,Yellow,Earth,50,75,Dragon,8,0.5,0.249,0.251,25.1
Chesson Hadley,Calm,Open,Red,Fire,50,50,Rabbit,7,0.429,0.18,0.249,24.9
Tom Hoge,Calm,REMOVE,Yellow,Earth,50,75,Snake,6,0.5,0.253,0.247,24.7
Xander Schauffele,Calm,Closing,Blue,Water,50,50,Rooster,6,0.667,0.422,0.24500000000000005,24.5
Xander Schauffele,Calm,Positioning,Yellow,Water,50,50,Rooster,9,0.667,0.422,0.24500000000000005,24.5
Max Homa,Calm,Open,Blue,Metal,50,50,Horse,5,0.6,0.355,0.245,24.5
Max Homa,Calm,Open,Green,Metal,50,50,Horse,5,0.6,0.355,0.245,24.5
Nick Watney,Calm,Survival,Yellow,Metal,50,50,Rooster,5,0.4,0.156,0.24400000000000002,24.4
Doug Ghim,Calm,Positioning,Orange,Fire,50,50,Rat,6,0.5,0.256,0.244,24.4
Doug Ghim,Calm,Open,Yellow,Fire,25,50,Rat,6,0.5,0.256,0.244,24.4
Doug Ghim,Calm,Open,Orange,Fire,25,75,Rat,6,0.5,0.256,0.244,24.4
Akshay Bhatia,Calm,Closing,Orange,Metal,25,50,Snake,5,0.6,0.357,0.243,24.3
Mac Meissner,Calm,Closing,Yellow,Earth,50,75,Tiger,6,0.5,0.258,0.242,24.2
Mac Meissner,Calm,Survival,Yellow,Earth,50,75,Tiger,6,0.5,0.258,0.242,24.2
Jimmy Walker,Calm,Survival,Orange,Earth,25,50,Horse,7,0.429,0.188,0.241,24.1
Ben Griffin,Calm,Open,Blue,Fire,50,50,Rat,5,0.6,0.359,0.241,24.1
Davis Riley,Calm,Survival,Blue,Fire,50,50,Rat,6,0.5,0.26,0.24,24.0
Andrew Novak,Calm,Open,Yellow,Wood,50,50,Pig,8,0.5,0.265,0.235,23.5
Austin Eckroat,Calm,Open,Yellow,Earth,50,50,Tiger,8,0.5,0.267,0.23299999999999998,23.3
Corey Conners,Calm,Open,Green,Metal,50,50,Goat,5,0.6,0.367,0.23299999999999998,23.3
Sam Ryder,Calm,Open,Blue,Earth,50,50,Snake,9,0.444,0.213,0.231,23.1
Michael Kim,Calm,Open,Purple,Water,50,50,Rooster,9,0.556,0.326,0.23000000000000004,23.0
Hayden Springer,Calm,Survival,Yellow,Fire,50,50,Rat,5,0.6,0.37,0.22999999999999998,23.0
Ben Martin,Calm,Open,Purple,Fire,50,50,Rabbit,6,0.5,0.271,0.22899999999999998,22.9
Scottie Scheffler,Calm,Survival,Yellow,Fire,50,50,Rat,6,0.833,0.607,0.22599999999999998,22.6
Scottie Scheffler,Calm,Open,Orange,Fire,25,50,Rat,6,0.833,0.607,0.22599999999999998,22.6
Justin Rose,Calm,Open,Purple,Metal,50,50,Monkey,5,0.6,0.375,0.22499999999999998,22.5
Christiaan Bezuidenhout,Calm,Closing,Yellow,Wood,50,50,Dog,8,0.5,0.276,0.22399999999999998,22.4
Lee Hodges,Calm,Positioning,Purple,Wood,50,50,Pig,6,0.5,0.276,0.22399999999999998,22.4
Hideki Matsuyama,Calm,Closing,Yellow,Water,25,50,Monkey,7,0.571,0.347,0.22399999999999998,22.4
Chesson Hadley,Calm,Survival,Yellow,Fire,50,50,Rabbit,5,0.4,0.18,0.22000000000000003,22.0
Patton Kizzire,Calm,Open,Red,Fire,50,50,Tiger,7,0.429,0.209,0.22,22.0
Alex Smalley,Calm,Positioning,Yellow,Fire,50,50,Rat,6,0.5,0.28,0.21999999999999997,22.0
Ryo Hisatsune,Calm,Open,Yellow,Water,50,50,Horse,12,0.5,0.281,0.21899999999999997,21.9
Wyndham Clark,Calm,Positioning,Orange,Water,50,50,Rooster,6,0.5,0.283,0.21700000000000003,21.7
Adam Hadwin,Calm,Positioning,Yellow,Fire,50,75,Rabbit,6,0.5,0.284,0.21600000000000003,21.6
Michael Thorbjornsen,Calm,Open,Yellow,Metal,50,75,Snake,5,0.6,0.385,0.21499999999999997,21.5
Séamus Power,Calm,Positioning,Orange,Fire,50,50,Rabbit,6,0.5,0.286,0.21400000000000002,21.4
Justin Thomas,Calm,Positioning,Yellow,Water,75,50,Rooster,5,0.6,0.386,0.21399999999999997,21.4
Nico Echavarria,Calm,Survival,Yellow,Wood,50,50,Dog,6,0.5,0.288,0.21200000000000002,21.2
Matt Fitzpatrick,Calm,Closing,Yellow,Wood,25,50,Dog,7,0.571,0.359,0.21199999999999997,21.2
Matt Fitzpatrick,Calm,Closing,Yellow,Wood,50,50,Dog,7,0.571,0.359,0.21199999999999997,21.2
Stephan Jaeger,Calm,Open,Purple,Earth,25,50,Snake,8,0.5,0.292,0.20800000000000002,20.8
Rasmus Højgaard,Calm,Open,Yellow,Metal,50,50,Snake,8,0.5,0.293,0.20700000000000002,20.7
Gary Woodland,Calm,Open,Yellow,Wood,50,50,Rat,9,0.444,0.237,0.20700000000000002,20.7
David Skinns,Calm,Open,Purple,Water,50,50,Dog,5,0.4,0.193,0.20700000000000002,20.7
Justin Lower,Calm,Open,Green,Earth,50,50,Snake,9,0.444,0.237,0.20700000000000002,20.7
Adam Svensson,Calm,Survival,Yellow,Water,50,75,Rooster,14,0.5,0.294,0.20600000000000002,20.6
Brian Harman,Calm,Closing,Yellow,Fire,50,50,Tiger,6,0.5,0.296,0.20400000000000001,20.4
Hayden Buckley,Calm,Open,Purple,Fire,50,50,Rat,5,0.4,0.197,0.203,20.3
Brian Campbell,Calm,Open,Yellow,Water,50,50,Rooster,5,0.4,0.197,0.203,20.3
Will Zalatoris,Calm,Open,Green,Fire,50,50,Rat,6,0.5,0.3,0.2,20.0
Byeong Hun An,Calm,Open,Yellow,Metal,50,50,Goat,13,0.462,0.262,0.2,20.0
Will Zalatoris,Calm,Closing,Yellow,Fire,50,75,Rat,8,0.5,0.3,0.2,20.0
Russell Knox,Calm,Open,Yellow,Wood,50,50,Ox,5,0.4,0.2,0.2,20.0
David Lipsky,Calm,Open,Yellow,Earth,50,50,Dragon,7,0.429,0.23,0.19899999999999998,19.9
Joel Dahmen,Calm,Open,Yellow,Fire,50,75,Rabbit,7,0.429,0.231,0.19799999999999998,19.8
Sungjae Im,Calm,Open,Yellow,Earth,50,75,Tiger,9,0.556,0.359,0.19700000000000006,19.7
Andrew Putnam,Calm,Open,Yellow,Earth,25,75,Dragon,9,0.444,0.248,0.196,19.6
Taylor Montgomery,Calm,Open,Purple,Wood,50,50,Dog,6,0.5,0.305,0.195,19.5
