player_id,player_name,updated_at,career_events,career_avg_score,career_median_score,career_std_dev,career_good_count,career_bad_count,career_neutral_count,career_win_rate,career_loss_rate,career_consistency,data_source
1001,Patrick Rodgers,2026-03-28T20:37:47.522261,416,-0.275,-0.285,2.794,117.0,76.0,223.0,0.281,0.183,0.853,ANALYSIS_v2
1002,Adam Svensson,2026-03-28T20:37:47.522261,413,-0.224,-0.19,2.887,115.0,85.0,213.0,0.278,0.206,0.846,ANALYSIS_v2
1003,Mark Hubbard,2026-03-28T20:37:47.522261,411,-0.158,-0.31,2.78,100.0,87.0,224.0,0.243,0.212,0.841,ANALYSIS_v2
1004,Si Woo Kim,2026-03-28T20:37:47.522261,407,-0.651,-0.92,2.606,119.0,65.0,223.0,0.292,0.16,0.836,ANALYSIS_v2
1005,Sahith Theegala,2026-03-28T20:37:47.522261,401,-0.547,-0.66,3.043,129.0,74.0,198.0,0.322,0.185,0.832,ANALYSIS_v2
1006,Stephan Jaeger,2026-03-28T20:37:47.522261,392,-0.301,-0.35,2.825,109.0,82.0,201.0,0.278,0.209,0.83,ANALYSIS_v2
1007,Tom Hoge,2026-03-28T20:37:47.522261,391,-0.23,-0.39,2.917,101.0,76.0,214.0,0.258,0.194,0.85,ANALYSIS_v2
1008,Adam Schenk,2026-03-28T20:37:47.522261,386,0.171,-0.055,2.881,85.0,90.0,211.0,0.22,0.233,0.856,ANALYSIS_v2
1009,Beau Hossler,2026-03-28T20:37:47.522261,384,-0.241,-0.325,3.046,105.0,78.0,201.0,0.273,0.203,0.858,ANALYSIS_v2
1010,Alex Smalley,2026-03-28T20:37:47.522261,383,-0.314,-0.24,2.819,106.0,78.0,199.0,0.277,0.204,0.847,ANALYSIS_v2
1011,Emiliano Grillo,2026-03-28T20:37:47.522261,382,-0.223,-0.275,2.931,113.0,69.0,200.0,0.296,0.181,0.846,ANALYSIS_v2
1012,Andrew Putnam,2026-03-28T20:37:47.522261,382,-0.39,-0.505,2.634,91.0,61.0,230.0,0.238,0.16,0.846,ANALYSIS_v2
1013,Taylor Moore,2026-03-28T20:37:47.522261,380,-0.177,-0.32,2.811,108.0,82.0,190.0,0.284,0.216,0.834,ANALYSIS_v2
1014,Justin Lower,2026-03-28T20:37:47.522261,379,-0.032,-0.16,2.893,93.0,87.0,199.0,0.245,0.23,0.848,ANALYSIS_v2
1015,Denny McCarthy,2026-03-28T20:37:47.522261,379,-0.658,-0.57,2.56,109.0,56.0,214.0,0.288,0.148,0.831,ANALYSIS_v2
1016,Brian Harman,2026-03-28T20:37:47.522261,377,-0.554,-0.6,2.761,117.0,65.0,195.0,0.31,0.172,0.853,ANALYSIS_v2
1017,J.T. Poston,2026-03-28T20:37:47.522261,377,-0.545,-0.71,2.657,109.0,61.0,207.0,0.289,0.162,0.847,ANALYSIS_v2
1018,Sungjae Im,2026-03-28T20:37:47.522261,376,-0.79,-0.92,2.796,125.0,63.0,188.0,0.332,0.168,0.82,ANALYSIS_v2
1019,J.J. Spaun,2026-03-28T20:37:47.522261,375,-0.44,-0.54,2.874,113.0,67.0,195.0,0.301,0.179,0.85,ANALYSIS_v2
1020,Sam Ryder,2026-03-28T20:37:47.522261,374,-0.1,-0.305,2.839,85.0,74.0,215.0,0.227,0.198,0.854,ANALYSIS_v2
1021,Lee Hodges,2026-03-28T20:37:47.522261,373,-0.201,-0.33,2.891,108.0,80.0,185.0,0.29,0.214,0.831,ANALYSIS_v2
1022,Ben Griffin,2026-03-28T20:37:47.522261,372,-0.866,-0.905,2.59,118.0,46.0,208.0,0.317,0.124,0.83,ANALYSIS_v2
1023,Chad Ramey,2026-03-28T20:37:47.522261,368,0.18,-0.05,3.03,89.0,92.0,187.0,0.242,0.25,0.863,ANALYSIS_v2
1024,Eric Cole,2026-03-28T20:37:47.522261,368,-0.523,-0.65,2.91,108.0,66.0,194.0,0.293,0.179,0.824,ANALYSIS_v2
1025,Doug Ghim,2026-03-28T20:37:47.522261,367,-0.288,-0.47,2.762,97.0,71.0,199.0,0.264,0.193,0.841,ANALYSIS_v2
1026,Lucas Glover,2026-03-28T20:37:47.522261,365,-0.161,-0.17,2.749,95.0,79.0,191.0,0.26,0.216,0.836,ANALYSIS_v2
1027,Keith Mitchell,2026-03-28T20:37:47.522261,365,-0.677,-0.83,2.774,118.0,62.0,185.0,0.323,0.17,0.835,ANALYSIS_v2
1028,Wyndham Clark,2026-03-28T20:37:47.522261,365,-0.606,-0.67,2.896,110.0,66.0,189.0,0.301,0.181,0.838,ANALYSIS_v2
1029,Andrew Novak,2026-03-28T20:37:47.522261,364,-0.112,-0.41,2.957,98.0,90.0,176.0,0.269,0.247,0.836,ANALYSIS_v2
1030,Corey Conners,2026-03-28T20:37:47.522261,363,-0.819,-0.97,2.696,134.0,53.0,176.0,0.369,0.146,0.846,ANALYSIS_v2
1031,Sam Stevens,2026-03-28T20:37:47.522261,362,-0.302,-0.32,2.624,97.0,63.0,202.0,0.268,0.174,0.848,ANALYSIS_v2
1032,Davis Riley,2026-03-28T20:37:47.522261,362,0.34,0.29,3.499,97.0,104.0,161.0,0.268,0.287,0.832,ANALYSIS_v2
