player_id,player_name,dimension_value,events,avg_score,win_rate,good_count,bad_count
1378,A.J. Ewart,Calm,22,-1.339,0.409,9.0,1.0
1378,A.J. Ewart,Moderate,12,0.26,0.25,3.0,4.0
1378,A.J. Ewart,Tough,2,0.675,0.0,0.0,0.0
1125,Aaron Baddeley,Calm,137,0.226,0.204,28.0,32.0
1125,Aaron Baddeley,Moderate,95,0.288,0.232,22.0,23.0
1125,Aaron Baddeley,Tough,11,0.812,0.091,1.0,4.0
2400,Aaron Beverly,Calm,2,7.21,0.0,0.0,2.0
1416,Aaron Cockerill,Calm,21,0.161,0.19,4.0,6.0
1416,Aaron Cockerill,Moderate,6,0.763,0.167,1.0,2.0
1698,Aaron Jarvis,Moderate,7,0.906,0.286,2.0,2.0
1698,Aaron Jarvis,Calm,1,3.33,0.0,0.0,1.0
1037,Aaron Rai,Calm,224,-0.659,0.313,70.0,31.0
1037,Aaron Rai,Moderate,121,-0.052,0.207,25.0,20.0
1037,Aaron Rai,Tough,12,-1.099,0.333,4.0,1.0
1216,Aaron Wise,Calm,89,-0.254,0.292,26.0,18.0
1216,Aaron Wise,Moderate,42,-0.294,0.262,11.0,8.0
1216,Aaron Wise,Tough,2,1.525,0.0,0.0,1.0
1303,Abraham Ancer,Calm,34,0.049,0.176,6.0,9.0
1303,Abraham Ancer,Moderate,28,-0.93,0.393,11.0,4.0
1303,Abraham Ancer,Tough,4,2.365,0.0,0.0,3.0
2071,Adam D'Amario,Calm,2,9.605,0.0,0.0,2.0
1049,Adam Hadwin,Calm,204,0.073,0.284,58.0,54.0
1049,Adam Hadwin,Moderate,123,-0.513,0.301,37.0,24.0
1049,Adam Hadwin,Tough,13,-0.113,0.231,3.0,3.0
1144,Adam Long,Calm,128,0.527,0.172,22.0,31.0
1144,Adam Long,Moderate,88,-0.169,0.261,23.0,15.0
1144,Adam Long,Tough,3,1.977,0.0,0.0,1.0
1008,Adam Schenk,Calm,230,0.108,0.226,52.0,54.0
1008,Adam Schenk,Moderate,141,0.253,0.22,31.0,32.0
1008,Adam Schenk,Tough,15,0.368,0.133,2.0,4.0
1098,Adam Scott,Calm,164,-0.647,0.299,49.0,28.0
1098,Adam Scott,Moderate,110,-0.949,0.336,37.0,10.0
1098,Adam Scott,Tough,11,0.472,0.0,0.0,2.0
1002,Adam Svensson,Calm,265,-0.247,0.294,78.0,55.0
1002,Adam Svensson,Moderate,136,-0.182,0.257,35.0,29.0
1002,Adam Svensson,Tough,12,-0.18,0.167,2.0,1.0
1410,Adri Arnaus,Moderate,19,0.574,0.263,5.0,4.0
1410,Adri Arnaus,Calm,8,1.839,0.0,0.0,4.0
1410,Adri Arnaus,Tough,1,0.21,0.0,0.0,0.0
