player_id,player_name,condition,round_type,events,avg_score,win_rate,good_count,bad_count
1378,A.J. Ewart,Moderate,Open,6,1.397,0.167,1.0,3.0
1378,A.J. Ewart,Calm,Survival,5,-1.082,0.2,1.0,0.0
1378,A.J. Ewart,Calm,REMOVE,4,-3.12,0.75,3.0,0.0
1378,A.J. Ewart,Calm,Closing,4,-2.093,0.5,2.0,0.0
1378,A.J. Ewart,Calm,Open,4,0.7,0.0,0.0,0.0
1378,A.J. Ewart,Calm,Positioning,3,0.46,0.333,1.0,1.0
1378,A.J. Ewart,Moderate,Survival,2,-1.15,0.5,1.0,0.0
1378,A.J. Ewart,Calm,Mixed,2,-3.685,1.0,2.0,0.0
1378,A.J. Ewart,Moderate,Closing,2,0.9,0.0,0.0,1.0
1378,A.J. Ewart,Moderate,Positioning,1,-0.84,0.0,0.0,0.0
1378,A.J. Ewart,Tough,Positioning,1,0.31,0.0,0.0,0.0
1378,A.J. Ewart,Tough,Survival,1,1.04,0.0,0.0,0.0
1378,A.J. Ewart,Moderate,REMOVE,1,-3.92,1.0,1.0,0.0
1125,Aaron Baddeley,Calm,Open,44,0.487,0.182,8.0,10.0
1125,Aaron Baddeley,Moderate,Survival,32,-0.032,0.281,9.0,6.0
1125,Aaron Baddeley,Calm,Survival,32,1.299,0.125,4.0,11.0
1125,Aaron Baddeley,Moderate,Open,28,-0.045,0.25,7.0,4.0
1125,Aaron Baddeley,Calm,Closing,23,0.089,0.174,4.0,5.0
1125,Aaron Baddeley,Calm,Positioning,19,0.146,0.158,3.0,4.0
1125,Aaron Baddeley,Moderate,Positioning,17,-0.151,0.294,5.0,4.0
1125,Aaron Baddeley,Moderate,Closing,16,1.719,0.063,1.0,8.0
1125,Aaron Baddeley,Calm,REMOVE,12,-3.291,0.667,8.0,1.0
1125,Aaron Baddeley,Calm,Mixed,7,0.38,0.143,1.0,1.0
1125,Aaron Baddeley,Tough,Positioning,3,1.22,0.333,1.0,2.0
1125,Aaron Baddeley,Tough,Open,3,0.847,0.0,0.0,2.0
1125,Aaron Baddeley,Tough,Survival,3,0.33,0.0,0.0,0.0
1125,Aaron Baddeley,Tough,Closing,2,0.87,0.0,0.0,0.0
1125,Aaron Baddeley,Moderate,REMOVE,1,1.46,0.0,0.0,0.0
1125,Aaron Baddeley,Moderate,Mixed,1,3.24,0.0,0.0,1.0
2400,Aaron Beverly,Calm,Survival,1,3.23,0.0,0.0,1.0
2400,Aaron Beverly,Calm,Open,1,11.19,0.0,0.0,1.0
1416,Aaron Cockerill,Calm,REMOVE,7,-0.841,0.286,2.0,2.0
1416,Aaron Cockerill,Calm,Open,6,1.803,0.0,0.0,2.0
1416,Aaron Cockerill,Calm,Survival,5,-0.504,0.4,2.0,1.0
1416,Aaron Cockerill,Calm,Closing,3,0.323,0.0,0.0,1.0
1416,Aaron Cockerill,Moderate,Positioning,3,2.26,0.0,0.0,2.0
1416,Aaron Cockerill,Moderate,Survival,2,-1.105,0.5,1.0,0.0
1416,Aaron Cockerill,Moderate,Open,1,0.01,0.0,0.0,0.0
1698,Aaron Jarvis,Moderate,Open,3,2.127,0.333,1.0,1.0
1698,Aaron Jarvis,Moderate,Survival,3,-0.233,0.333,1.0,1.0
1698,Aaron Jarvis,Calm,Closing,1,3.33,0.0,0.0,1.0
1698,Aaron Jarvis,Moderate,Positioning,1,0.66,0.0,0.0,0.0
1037,Aaron Rai,Calm,Open,59,-1.593,0.407,24.0,3.0
1037,Aaron Rai,Calm,Closing,48,-0.057,0.271,13.0,10.0
1037,Aaron Rai,Calm,Positioning,47,-0.946,0.319,15.0,4.0
1037,Aaron Rai,Calm,Survival,42,-0.582,0.238,10.0,8.0
1037,Aaron Rai,Moderate,Open,40,-0.417,0.225,9.0,5.0
1037,Aaron Rai,Moderate,Survival,34,-0.352,0.235,8.0,4.0
1037,Aaron Rai,Moderate,Positioning,23,0.165,0.174,4.0,3.0
1037,Aaron Rai,Moderate,Closing,18,0.767,0.167,3.0,6.0
1037,Aaron Rai,Calm,REMOVE,15,0.372,0.2,3.0,2.0
1037,Aaron Rai,Calm,Mixed,8,0.919,0.375,3.0,2.0
1037,Aaron Rai,Moderate,REMOVE,6,0.802,0.167,1.0,2.0
1037,Aaron Rai,Calm,Elimination,5,1.042,0.4,2.0,2.0
1037,Aaron Rai,Tough,Survival,5,-0.952,0.2,1.0,0.0
1037,Aaron Rai,Tough,Open,3,-1.173,0.667,2.0,1.0
1037,Aaron Rai,Tough,Closing,2,-2.55,0.5,1.0,0.0
1037,Aaron Rai,Tough,Positioning,2,0.095,0.0,0.0,0.0
1216,Aaron Wise,Calm,Open,28,0.314,0.321,9.0,8.0
1216,Aaron Wise,Calm,Survival,19,0.51,0.211,4.0,5.0
1216,Aaron Wise,Moderate,Survival,16,0.271,0.188,3.0,5.0
1216,Aaron Wise,Moderate,Open,14,-1.4,0.429,6.0,1.0
1216,Aaron Wise,Calm,Positioning,14,-1.094,0.214,3.0,0.0
1216,Aaron Wise,Calm,Closing,12,-0.989,0.333,4.0,2.0
1216,Aaron Wise,Calm,REMOVE,11,-1.416,0.364,4.0,1.0
1216,Aaron Wise,Moderate,Closing,7,0.013,0.286,2.0,1.0
1216,Aaron Wise,Moderate,Positioning,5,0.568,0.0,0.0,1.0
1216,Aaron Wise,Calm,Mixed,3,0.44,0.333,1.0,1.0
1216,Aaron Wise,Tough,Positioning,2,1.525,0.0,0.0,1.0
1216,Aaron Wise,Calm,Elimination,2,0.195,0.5,1.0,1.0
1303,Abraham Ancer,Moderate,Survival,10,-0.96,0.5,5.0,2.0
1303,Abraham Ancer,Calm,Open,10,-0.614,0.3,3.0,2.0
1303,Abraham Ancer,Calm,Closing,9,0.876,0.111,1.0,4.0
1303,Abraham Ancer,Moderate,Open,9,-2.644,0.556,5.0,0.0
1303,Abraham Ancer,Calm,Survival,7,-0.097,0.143,1.0,2.0
1303,Abraham Ancer,Calm,Positioning,6,-0.417,0.167,1.0,1.0
1303,Abraham Ancer,Moderate,Positioning,4,0.18,0.25,1.0,0.0
1303,Abraham Ancer,Moderate,Closing,4,1.94,0.0,0.0,2.0
1303,Abraham Ancer,Tough,Positioning,3,2.153,0.0,0.0,2.0
