player_id,player_name,dimension_value,events,avg_score,win_rate,good_count,bad_count
1378,A.J. Ewart,Earth,36,-0.694,0.333,12.0,5.0
1125,Aaron Baddeley,Metal,243,0.277,0.21,51.0,59.0
1416,Aaron Cockerill,Water,27,0.295,0.185,5.0,8.0
1037,Aaron Rai,Wood,357,-0.468,0.277,99.0,52.0
1216,Aaron Wise,Fire,133,-0.24,0.278,37.0,27.0
1303,Abraham Ancer,Metal,66,-0.226,0.258,17.0,16.0
1049,Adam Hadwin,Fire,340,-0.146,0.288,98.0,81.0
1144,Adam Long,Fire,219,0.267,0.205,45.0,47.0
1008,Adam Schenk,Metal,386,0.171,0.22,85.0,90.0
1098,Adam Scott,Metal,285,-0.721,0.302,86.0,40.0
1002,Adam Svensson,Water,413,-0.224,0.278,115.0,85.0
1410,Adri Arnaus,Wood,28,0.923,0.179,5.0,8.0
1359,Adrian Meronk,Water,44,0.257,0.205,9.0,12.0
1470,Adrian Otaegui,Water,18,0.929,0.111,2.0,6.0
1230,Adrien Dumont de Chassart,Metal,113,0.364,0.221,25.0,32.0
1370,Adrien Saddier,Water,40,0.06,0.25,10.0,10.0
1084,Akshay Bhatia,Metal,294,-0.665,0.327,96.0,50.0
1258,Aldrich Potgieter,Wood,90,0.464,0.278,25.0,34.0
1521,Alejandro Del Rey,Earth,14,-0.538,0.357,5.0,4.0
1195,Alejandro Tosti,Fire,164,0.62,0.287,47.0,55.0
1477,Alex Fitzpatrick,Earth,18,-0.278,0.333,6.0,3.0
1100,Alex Noren,Water,281,-0.725,0.338,95.0,44.0
1010,Alex Smalley,Fire,383,-0.314,0.277,106.0,78.0
1567,Alexander Knappe,Earth,12,-0.124,0.417,5.0,5.0
1578,Alexander Levy,Metal,11,-0.608,0.455,5.0,1.0
1604,Alfredo Garcia-Heredia,Metal,10,-0.169,0.3,3.0,2.0
1475,Alistair Docherty,Wood,18,0.735,0.278,5.0,6.0
2279,Altin Van Der Merwe,Fire,2,3.26,0.0,0.0,1.0
1435,Alvaro Ortiz,Wood,22,0.062,0.273,6.0,4.0
1284,Anders Albertson,Water,76,1.261,0.079,6.0,30.0
1489,Andrea Pavan,Earth,16,0.388,0.25,4.0,6.0
2168,Andreas Halvorsen,Fire,2,2.03,0.0,0.0,1.0
1956,Andrew Filbert,Fire,4,4.683,0.0,0.0,3.0
1939,Andrew Johnston,Earth,4,0.822,0.5,2.0,2.0
1029,Andrew Novak,Wood,364,-0.112,0.269,98.0,90.0
1012,Andrew Putnam,Earth,382,-0.39,0.238,91.0,61.0
