player_id,player_name,chinese_zodiac,events,avg_score,win_rate,good_count,bad_count
1378,A.J. Ewart,Rabbit,36,-0.694,0.333,12.0,5.0
1125,Aaron Baddeley,Rooster,243,0.277,0.21,51.0,59.0
1416,Aaron Cockerill,Monkey,27,0.295,0.185,5.0,8.0
1037,Aaron Rai,Pig,357,-0.468,0.277,99.0,52.0
1216,Aaron Wise,Rat,133,-0.24,0.278,37.0,27.0
1303,Abraham Ancer,Goat,66,-0.226,0.258,17.0,16.0
1049,Adam Hadwin,Rabbit,340,-0.146,0.288,98.0,81.0
1144,Adam Long,Rabbit,219,0.267,0.205,45.0,47.0
1008,Adam Schenk,Goat,386,0.171,0.22,85.0,90.0
1098,Adam Scott,Monkey,285,-0.721,0.302,86.0,40.0
1002,Adam Svensson,Rooster,413,-0.224,0.278,115.0,85.0
1410,Adri Arnaus,Dog,28,0.923,0.179,5.0,8.0
1359,Adrian Meronk,Rooster,44,0.257,0.205,9.0,12.0
1470,Adrian Otaegui,Monkey,18,0.929,0.111,2.0,6.0
1230,Adrien Dumont de Chassart,Dragon,113,0.364,0.221,25.0,32.0
1370,Adrien Saddier,Monkey,40,0.06,0.25,10.0,10.0
1084,Akshay Bhatia,Snake,294,-0.665,0.327,96.0,50.0
1258,Aldrich Potgieter,Monkey,90,0.464,0.278,25.0,34.0
1521,Alejandro Del Rey,Tiger,14,-0.538,0.357,5.0,4.0
1195,Alejandro Tosti,Rat,164,0.62,0.287,47.0,55.0
1477,Alex Fitzpatrick,Tiger,18,-0.278,0.333,6.0,3.0
1100,Alex Noren,Dog,281,-0.725,0.338,95.0,44.0
1010,Alex Smalley,Rat,383,-0.314,0.277,106.0,78.0
1567,Alexander Knappe,Snake,12,-0.124,0.417,5.0,5.0
1578,Alexander Levy,Horse,11,-0.608,0.455,5.0,1.0
1604,Alfredo Garcia-Heredia,Rooster,10,-0.169,0.3,3.0,2.0
1475,Alistair Docherty,Dog,18,0.735,0.278,5.0,6.0
2279,Altin Van Der Merwe,Rat,2,3.26,0.0,0.0,1.0
1435,Alvaro Ortiz,Pig,22,0.062,0.273,6.0,4.0
1284,Anders Albertson,Rooster,76,1.261,0.079,6.0,30.0
1489,Andrea Pavan,Snake,16,0.388,0.25,4.0,6.0
2168,Andreas Halvorsen,Rat,2,2.03,0.0,0.0,1.0
1956,Andrew Filbert,Rabbit,4,4.683,0.0,0.0,3.0
1939,Andrew Johnston,Snake,4,0.822,0.5,2.0,2.0
1029,Andrew Novak,Pig,364,-0.112,0.269,98.0,90.0
1012,Andrew Putnam,Dragon,382,-0.39,0.238,91.0,61.0
1530,Andrew Wilson,Dog,14,0.235,0.214,3.0,4.0
1482,Andy Sullivan,Rabbit,17,-0.366,0.294,5.0,4.0
1542,Angel Ayora,Monkey,12,0.577,0.25,3.0,3.0
1472,Angel Hidalgo,Tiger,18,0.557,0.333,6.0,8.0
1325,Anirban Lahiri,Rabbit,58,-0.187,0.31,18.0,10.0
1875,Anthony Quayle,Dog,4,-2.373,0.75,3.0,0.0
1259,Antoine Rozner,Rooster,89,0.083,0.281,25.0,24.0
1458,Ashun Wu,Ox,20,0.295,0.2,4.0,5.0
1143,Austin Cook,Goat,219,0.705,0.21,46.0,73.0
1071,Austin Eckroat,Tiger,310,-0.187,0.245,76.0,59.0
1116,Austin Smotherman,Dog,255,0.236,0.212,54.0,58.0
1597,Bastien Amat,Goat,10,-0.298,0.2,2.0,4.0
1009,Beau Hossler,Pig,384,-0.241,0.273,105.0,78.0
2225,Ben Campbell,Goat,2,-0.74,0.5,1.0,0.0
1502,Ben Carr,Dragon,16,0.289,0.188,3.0,6.0
1953,Ben Cook,Rooster,4,3.115,0.0,0.0,2.0
1293,Ben Crane,Dragon,71,0.917,0.099,7.0,28.0
1022,Ben Griffin,Rat,372,-0.866,0.317,118.0,46.0
1123,Ben Kohles,Horse,244,0.02,0.27,66.0,58.0
1120,Ben Martin,Rabbit,248,-0.016,0.234,58.0,52.0
1439,Ben Polland,Horse,22,1.12,0.182,4.0,9.0
1166,Ben Silverman,Rabbit,191,-0.103,0.241,46.0,39.0
1185,Ben Taylor,Monkey,175,0.833,0.183,32.0,56.0
1490,Bernd Wiesberger,Ox,16,-0.778,0.25,4.0,2.0
1201,Bill Haas,Dog,158,0.551,0.177,28.0,49.0
1085,Billy Horschel,Tiger,292,-0.413,0.277,81.0,63.0
2207,Björn Åkesson,Dragon,2,2.53,0.0,0.0,1.0
1367,Blades Brown,Pig,41,-0.295,0.317,13.0,8.0
1312,Blaine Hale Jr.,Ox,63,1.049,0.159,10.0,18.0
1328,Bo Hoag,Dragon,58,1.142,0.155,9.0,21.0
1331,Bo Van Pelt,Rabbit,56,1.086,0.161,9.0,19.0
2140,Bobby Gates,Ox,2,5.405,0.0,0.0,2.0
1839,Bobby Massa,Rabbit,4,1.57,0.25,1.0,2.0
1289,Braden Thornberry,Ox,73,1.11,0.123,9.0,24.0
1364,Branden Grace,Dragon,42,0.522,0.071,3.0,9.0
1924,Brandon Hoelzer,Dog,4,0.398,0.25,1.0,1.0
1267,Brandon Matthews,Dog,86,2.226,0.128,11.0,42.0
1551,Brandon Robinson Thompson,Monkey,12,0.909,0.167,2.0,5.0
1822,Brandon Stone,Rooster,4,0.803,0.0,0.0,0.0
1104,Brandon Wu,Ox,273,-0.096,0.223,61.0,59.0
1137,Brandt Snedeker,Monkey,225,0.447,0.204,46.0,68.0
1272,Brendan Steele,Pig,83,-0.012,0.301,25.0,24.0
1460,Brendan Valdes,Goat,20,1.092,0.2,4.0,8.0
2138,Brendon Michael Doyle,Pig,2,2.53,0.0,0.0,2.0
1095,Brendon Todd,Ox,287,0.013,0.261,75.0,68.0
1316,Brett Drewitt,Horse,62,1.294,0.129,8.0,23.0
1520,Brett Stegmaier,Pig,14,-0.199,0.143,2.0,3.0
1498,Brett White,Rooster,16,0.099,0.313,5.0,5.0
1253,Brian Campbell,Rooster,94,1.017,0.181,17.0,34.0
1016,Brian Harman,Tiger,377,-0.554,0.31,117.0,65.0
1197,Brian Stuard,Dog,162,0.556,0.142,23.0,50.0
1086,Brice Garnett,Pig,292,0.133,0.223,65.0,66.0
1327,Bronson Burgoon,Rabbit,58,0.855,0.155,9.0,16.0
1252,Brooks Koepka,Horse,94,-0.682,0.33,31.0,17.0
2355,Bryan Newman,Rooster,2,5.715,0.0,0.0,2.0
1318,Bryson DeChambeau,Rooster,62,-1.188,0.387,24.0,13.0
1405,Bubba Watson,Horse,30,0.051,0.167,5.0,8.0
1202,Bud Cauley,Horse,157,-0.254,0.261,41.0,30.0
1105,Byeong Hun An,Goat,273,-0.396,0.289,79.0,52.0
1154,C.T. Pan,Goat,203,0.028,0.217,44.0,50.0
1636,Caleb Surratt,Monkey,9,1.894,0.222,2.0,3.0
1591,Callum McNeill,Rooster,10,2.443,0.0,0.0,6.0
1469,Callum Shinkwin,Pig,18,0.934,0.278,5.0,8.0
1124,Callum Tarren,Horse,244,0.352,0.23,56.0,72.0
1605,Calum Hill,Dog,10,-1.266,0.4,4.0,1.0
1059,Cam Davis,Pig,328,0.116,0.265,87.0,86.0
2335,Cameron Adam,Goat,2,-0.285,0.0,0.0,0.0
1117,Cameron Champ,Pig,253,0.295,0.225,57.0,72.0
1260,Cameron Smith,Rooster,88,-1.213,0.386,34.0,15.0
1306,Cameron Tringale,Rabbit,66,-0.047,0.227,15.0,17.0
1034,Cameron Young,Ox,360,-0.772,0.339,122.0,63.0
1118,Camilo Villegas,Rooster,251,0.702,0.175,44.0,73.0
1187,Carl Yuan,Ox,173,0.672,0.202,35.0,56.0
1338,Carlos Ortiz,Goat,53,0.644,0.189,10.0,17.0
1088,Carson Young,Dog,291,0.062,0.22,64.0,68.0
