Player A,Condition,Round Type,Color [A],Element [A],Exec A,Upside [A],Zodiac [A],Player B,Condition,Round Type,Color [B],Element [B],Exec B,Upside [B],Zodiac [B]
Ben Griffin,Calm,Closing,Blue,Fire,25,25,Rat,Keith Mitchell,Calm,Closing,Yellow,Metal,25,25,Goat
Jake Knapp,Calm,Closing,Purple,Wood,50,50,Dog,Sam Burns,Calm,Closing,Purple,Fire,50,75,Rat
Erik van Rooyen,Calm,Closing,Purple,Metal,50,50,Horse,Adrien Saddier,Calm,Closing,Yellow,Water,50,75,Monkey
Chris Kirk,Calm,Closing,Purple,Wood,50,50,Ox,Jordan Smith,Calm,Closing,Green,Water,50,50,Monkey
Harris English,Calm,Closing,Yellow,Earth,50,75,Snake,Shane Lowry,Calm,Closing,Purple,Fire,50,75,Rabbit
Takumi Kanaya,Calm,Closing,Purple,Earth,50,50,Tiger,Rico Hoey,Calm,Closing,Yellow,Wood,25,25,Pig
Austin Eckroat,Calm,Closing,Blue,Earth,50,75,Tiger,John Parry,Calm,Closing,Yellow,Fire,50,75,Tiger
Adrien Dumont De Chassart,Calm,Closing,Purple,Metal,50,50,Dragon,Tom Kim,Calm,Closing,Green,Water,50,50,Horse
Bronson Burgoon,Calm,Closing,Yellow,Fire,25,25,Rabbit,Danny Willett,Calm,Closing,Blue,Fire,50,75,Rabbit
Zecheng Dou,Calm,Closing,Yellow,Fire,50,75,Rat,Pontus Nyholm,Calm,Closing,Green,Earth,50,50,Tiger
Ricky Castillo,Calm,Closing,Green,Metal,25,25,Snake,Thorbjorn Olesen,Calm,Closing,Blue,Earth,50,75,Snake
Tony Finau,Calm,Closing,Purple,Earth,50,50,Snake,Stephan Jaeger,Calm,Closing,Yellow,Earth,50,75,Snake
Michael Brennan,Calm,Closing,Yellow,Metal,50,50,Snake,Sahith Theegala,Calm,Closing,Green,Fire,50,75,Ox
Jackson Suber,Calm,Closing,Yellow,Earth,25,25,Rabbit,Paul Waring,Calm,Closing,Yellow,Wood,25,25,Rat
Chris Gotterup,Calm,Closing,Yellow,Earth,25,25,Rabbit,Min Woo Lee,Calm,Closing,Yellow,Earth,50,75,Tiger
Adam Scott,Calm,Closing,Green,Metal,50,50,Monkey,Sam Stevens,Calm,Closing,Yellow,Fire,25,25,Rat
Sudarshan Yellamaraju,Calm,Closing,Purple,Metal,25,25,Snake,Jason Day,Calm,Closing,Blue,Fire,50,75,Rabbit
Michael Thorbjornsen,Calm,Closing,Purple,Metal,25,25,Snake,Nicolai Hojgaard,Calm,Closing,Yellow,Metal,50,75,Snake
