Player A	ML	Condition	Round Type	Color [A]	Element [A]	Exec A	Upside [A]	Zodiac [A]	Player B	ML	Condition	Round Type	Color [B]	Element [B]	Exec B	Upside [B]	Zodiac [B]
Ben Griffin	-120	Calm	Closing	Blue	Fire	25	25	Rat	Keith Mitchell	100	Calm	Closing	Yellow	Metal	25	25	Goat
Jake Knapp	-105	Calm	Closing	Purple	Wood	50	50	Dog	Sam Burns	-115	Calm	Closing	Purple	Fire	50	75	Rat
Erik van Rooyen	-110	Calm	Closing	Purple	Metal	50	50	Horse	Adrien Saddier	-110	Calm	Closing	Yellow	Water	50	75	Monkey
Chris Kirk	125	Calm	Closing	Purple	Wood	50	50	Ox	Jordan Smith	-150	Calm	Closing	Green	Water	50	50	Monkey
Harris English	-115	Calm	Closing	Yellow	Earth	50	75	Snake	Shane Lowry	-105	Calm	Closing	Purple	Fire	50	75	Rabbit
Takumi Kanaya	120	Calm	Closing	Purple	Earth	50	50	Tiger	Rico Hoey	-140	Calm	Closing	Yellow	Wood	25	25	Pig
Austin Eckroat	-105	Calm	Closing	Blue	Earth	50	75	Tiger	John Parry	-115	Calm	Closing	Yellow	Fire	50	75	Tiger
Adrien Dumont De Chassart	-110	Calm	Closing	Purple	Metal	50	50	Dragon	Tom Kim	-110	Calm	Closing	Green	Water	50	50	Horse
Bronson Burgoon	-130	Calm	Closing	Yellow	Fire	25	25	Rabbit	Danny Willett	110	Calm	Closing	Blue	Fire	50	75	Rabbit
Zecheng Dou	-110	Calm	Closing	Yellow	Fire	50	75	Rat	Pontus Nyholm	-110	Calm	Closing	Green	Earth	50	50	Tiger
Ricky Castillo	-110	Calm	Closing	Green	Metal	25	25	Snake	Thorbjorn Olesen	-110	Calm	Closing	Blue	Earth	50	75	Snake
Tony Finau	-115	Calm	Closing	Purple	Earth	50	50	Snake	Stephan Jaeger	-105	Calm	Closing	Yellow	Earth	50	75	Snake
Michael Brennan	100	Calm	Closing	Yellow	Metal	50	50	Snake	Sahith Theegala	-120	Calm	Closing	Green	Fire	50	75	Ox
Jackson Suber	-125	Calm	Closing	Yellow	Earth	25	25	Rabbit	Paul Waring	105	Calm	Closing	Yellow	Wood	25	25	Rat
Chris Gotterup	-115	Calm	Closing	Yellow	Earth	25	25	Rabbit	Min Woo Lee	-105	Calm	Closing	Yellow	Earth	50	75	Tiger
Adam Scott	-105	Calm	Closing	Green	Metal	50	50	Monkey	Sam Stevens	-115	Calm	Closing	Yellow	Fire	25	25	Rat
Sudarshan Yellamaraju	-115	Calm	Closing	Purple	Metal	25	25	Snake	Jason Day	-105	Calm	Closing	Blue	Fire	50	75	Rabbit
Michael Thorbjornsen	-110	Calm	Closing	Purple	Metal	25	25	Snake	Nicolai Hojgaard	-110	Calm	Closing	Yellow	Metal	50	75	Snake
