condition,round_type,exec,upside,gap,n,edge,roi,conf,mean_error
Calm,Open,50-75,25-50,0-10,175,24.571428571428573,19.111111111111114,HIGH,-1.1703175569332573
Tough,Open,25-50,75-100,<-20,41,39.02439024390244,17.582417582417584,HIGH,-1.7889023501076098
Moderate,Open,75-100,50-75,20+,133,23.308270676691727,16.939890710382514,HIGH,-0.8513905543724936
Moderate,Open,75-100,50-75,0-10,607,14.168039538714993,13.089802130898022,HIGH,-0.5327470212822845
Moderate,Open,75-100,75-100,-10-0,50,20.0,10.0,HIGH,-1.0999743585119999
Tough,Open,25-50,50-75,<-20,100,10.999999999999998,7.333333333333332,HIGH,-0.7512236295186899
Moderate,Open,25-50,75-100,<-20,992,6.955645161290322,6.621880998080614,HIGH,-0.20157828809628653
Moderate,Open,50-75,25-50,10-20,16,25.0,6.0606060606060606,EXPLORATORY,-0.9421568421312501
Tough,Open,75-100,75-100,-10-0,35,14.285714285714288,5.882352941176471,HIGH,-1.0592972043252569
Tough,Open,25-50,25-50,-10-0,63,9.523809523809524,5.309734513274336,HIGH,-0.004373854955968221
Calm,Open,25-50,25-50,-10-0,344,5.232558139534882,4.568527918781724,HIGH,-0.10533408669933143
Tough,Open,50-75,50-75,-20--10,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-0.1520140546434737
Tough,Open,50-75,50-75,-10-0,171,5.263157894736842,4.072398190045249,HIGH,-0.32401625790955557
Tough,Open,25-50,50-75,-20--10,31,9.67741935483871,3.7037037037037037,HIGH,-0.1793816585019354
Tough,Open,50-75,75-100,-20--10,107,4.67289719626168,3.1847133757961763,HIGH,-0.08946915547699993
Tough,Open,50-75,75-100,-10-0,48,4.166666666666669,2.040816326530613,HIGH,0.24795366651937492
Calm,Open,50-75,50-75,10-20,277,1.8050541516245466,1.5290519877675823,HIGH,0.04489384841191333
Calm,Open,0-25,25-50,<-20,43,2.325581395348836,1.0752688172043006,HIGH,-0.2177252152023256
Calm,Open,50-75,75-100,<-20,1529,0.19620667102681622,0.18999366687777203,HIGH,0.10372099031712889
