condition,round_type,moon,life_path,n,edge,roi,conf,mean_error
Moderate,Positioning,Shukla Purna,7.0,76,46.05263157894737,27.77777777777778,HIGH,-2.073580610988158
Moderate,Positioning,Shukla Rikta,6.0,43,51.162790697674424,23.655913978494624,HIGH,-2.1722028339353234
Calm,Positioning,Shukla Rikta,1.0,148,31.081081081081084,23.232323232323235,HIGH,-1.5320998136796624
Moderate,Positioning,Shukla Rikta,9.0,63,41.26984126984127,23.008849557522126,HIGH,-1.5674696977577778
Moderate,Positioning,Shukla Purna,3.0,88,29.54545454545454,18.840579710144922,HIGH,-1.5389257676090908
Moderate,Closing,Krishna Jaya,9.0,61,32.78688524590164,18.01801801801802,HIGH,-1.4968449684934424
Moderate,Closing,Shukla Jaya,1.0,90,27.777777777777775,17.857142857142858,HIGH,-1.4918269307544445
Moderate,Closing,Krishna Jaya,8.0,51,35.29411764705882,17.82178217821782,HIGH,-1.1627548936625491
Moderate,Closing,Shukla Jaya,9.0,78,28.205128205128204,17.1875,HIGH,-1.2482790083448718
Moderate,Survival,Krishna Bhadra,8.0,81,27.160493827160494,16.793893129770993,HIGH,-0.7762020556625925
Moderate,Survival,Krishna Jaya,1.0,129,23.25581395348837,16.75977653631285,HIGH,-0.8703306106807751
Moderate,Closing,Krishna Nanda,5.0,94,25.531914893617024,16.666666666666668,HIGH,-0.9885355004606383
Tough,Positioning,Krishna Purna,3.0,23,52.17391304347826,16.43835616438356,EXPLORATORY,-2.4875788129487826
Moderate,Positioning,Krishna Purna,1.0,49,32.6530612244898,16.161616161616163,HIGH,-1.7054484064510205
Moderate,Survival,Krishna Bhadra,7.0,106,23.584905660377363,16.02564102564103,HIGH,-1.0505055311989233
Moderate,Positioning,Krishna Purna,8.0,57,29.82456140350877,15.887850467289717,HIGH,-0.9040317891321054
Moderate,Closing,Shukla Jaya,2.0,90,24.444444444444446,15.714285714285717,HIGH,-1.095945345441111
Moderate,Closing,Krishna Nanda,1.0,98,23.46938775510204,15.54054054054054,HIGH,-0.9549020947475511
Moderate,Survival,Shukla Jaya,2.0,150,20.666666666666664,15.499999999999998,HIGH,-0.9628537845213331
Moderate,Positioning,Shukla Rikta,7.0,60,28.333333333333332,15.454545454545453,HIGH,-1.1237379973733332
Moderate,Positioning,Shukla Purna,9.0,73,26.027397260273972,15.447154471544716,HIGH,-1.3631691430054795
Moderate,Positioning,Krishna Purna,4.0,42,33.33333333333333,15.217391304347823,HIGH,-1.246220612147619
Calm,Closing,Shukla Rikta,5.0,115,21.73913043478261,15.151515151515152,HIGH,-0.8805131825701739
Calm,Closing,Krishna Purna,1.0,113,21.238938053097346,14.723926380368098,HIGH,-0.960703709519469
Tough,Open,Shukla Bhadra,7.0,39,33.333333333333336,14.606741573033709,HIGH,-1.6536567336287176
Moderate,Positioning,Krishna Purna,5.0,53,28.301886792452834,14.563106796116507,HIGH,-1.614989237386792
Moderate,Closing,Krishna Jaya,6.0,48,29.166666666666668,14.285714285714286,HIGH,-1.7701009908551857
Calm,Closing,Shukla Rikta,1.0,156,18.58974358974359,14.077669902912623,HIGH,-0.8561350105474358
Moderate,Open,Krishna Nanda,4.0,78,23.076923076923077,14.0625,HIGH,-0.6578654989720513
Calm,Positioning,Shukla Rikta,7.0,121,19.834710743801654,14.035087719298247,HIGH,-0.9008421900206611
Moderate,Closing,Krishna Jaya,4.0,50,27.999999999999996,13.999999999999998,HIGH,-0.5003488125124
Calm,Closing,Shukla Rikta,3.0,160,18.124999999999996,13.809523809523807,HIGH,-0.713909747477625
Moderate,Closing,Krishna Jaya,1.0,60,25.0,13.636363636363635,HIGH,-1.288688239896
Moderate,Positioning,Shukla Rikta,8.0,60,24.999999999999996,13.636363636363633,HIGH,-0.32561163454333336
