condition,round_type,tithi,life_path,n,edge,roi,conf,mean_error
Calm,Survival,26.0,3.0,114,-31.57894736842105,-21.95121951219512,HIGH,0.5515365340035085
Moderate,Open,17.0,1.0,84,-34.523809523809526,-21.64179104477612,HIGH,1.350870980780476
Moderate,Closing,27.0,2.0,50,42.0,21.0,HIGH,-0.732919911912
Moderate,Closing,10.0,8.0,44,43.18181818181818,20.21276595744681,HIGH,-1.4056709188590908
Moderate,Survival,16.0,7.0,34,-47.05882352941176,-19.047619047619047,HIGH,1.4946389895294119
Calm,Survival,4.0,3.0,34,47.05882352941176,19.047619047619047,HIGH,-1.5074085734882354
Moderate,Positioning,11.0,6.0,89,29.21348314606742,18.705035971223026,HIGH,-0.8991885520049436
Moderate,Survival,27.0,2.0,74,31.081081081081074,18.54838709677419,HIGH,-0.7480406689635136
Moderate,Survival,29.0,8.0,85,-29.411764705882355,-18.51851851851852,HIGH,1.3867678243425885
Calm,Open,16.0,7.0,64,32.8125,18.421052631578945,HIGH,-0.7715333439999998
Calm,Closing,2.0,7.0,82,-29.268292682926827,-18.18181818181818,HIGH,0.765223925202439
Calm,Survival,19.0,7.0,110,-26.363636363636367,-18.125000000000004,HIGH,0.7140803796854542
Calm,Survival,5.0,9.0,47,36.170212765957444,17.525773195876287,HIGH,-0.8664961500425538
Moderate,Survival,21.0,4.0,65,-30.76923076923077,-17.391304347826086,HIGH,0.9513972973076922
Moderate,Survival,6.0,3.0,25,-52.0,-17.333333333333332,EXPLORATORY,1.6678436072240002
Moderate,Open,18.0,8.0,89,-26.96629213483146,-17.26618705035971,HIGH,0.9971681624325845
Calm,Survival,28.0,1.0,117,-23.93162393162393,-16.76646706586826,HIGH,0.9075600958034186
Calm,Survival,11.0,7.0,135,-22.962962962962962,-16.756756756756754,HIGH,0.8663166066592596
Calm,Survival,4.0,9.0,28,-46.42857142857143,-16.666666666666668,EXPLORATORY,-0.4010521614642856
Moderate,Open,29.0,9.0,34,-41.17647058823529,-16.666666666666664,HIGH,2.010934139747059
Moderate,Positioning,16.0,7.0,23,-52.17391304347826,-16.43835616438356,EXPLORATORY,2.2171453833913044
Moderate,Closing,3.0,3.0,36,-38.88888888888889,-16.279069767441865,HIGH,1.617736236677778
Calm,Open,3.0,5.0,165,-21.21212121212121,-16.27906976744186,HIGH,1.0002679981375757
Calm,Open,22.0,5.0,56,-30.35714285714286,-16.037735849056606,HIGH,1.2997649046125
Calm,Open,12.0,7.0,50,-32.0,-16.0,HIGH,1.2144040710000004
Moderate,Open,24.0,4.0,44,-34.09090909090909,-15.95744680851064,HIGH,1.2997675237027273
Calm,Closing,11.0,4.0,52,-30.76923076923077,-15.686274509803921,HIGH,0.6210066707653846
Calm,Open,26.0,3.0,149,-20.80536912751678,-15.577889447236183,HIGH,0.8016497443865769
Calm,Closing,8.0,9.0,67,26.865671641791046,15.384615384615385,HIGH,-1.6806479839164181
Calm,Open,6.0,1.0,165,-20.0,-15.348837209302326,HIGH,0.9506638652121212
Calm,Closing,14.0,1.0,75,25.33333333333333,15.199999999999996,HIGH,-0.6533757483333331
Tough,Positioning,10.0,7.0,17,58.82352941176471,14.92537313432836,EXPLORATORY,-1.7478955139077648
Moderate,Positioning,1.0,7.0,31,-38.70967741935484,-14.814814814814815,HIGH,1.6176326226096767
Calm,Survival,7.0,1.0,119,-21.008403361344538,-14.792899408284024,HIGH,1.3448148791873948
Tough,Survival,17.0,9.0,11,81.81818181818183,14.754098360655739,WEAK,-3.7059294071000006
Moderate,Open,26.0,1.0,93,-22.580645161290324,-14.685314685314685,HIGH,1.0024616788086025
Calm,Open,4.0,9.0,32,-37.5,-14.634146341463415,HIGH,1.0783412161562502
Calm,Closing,23.0,6.0,39,33.33333333333333,14.606741573033707,HIGH,-1.4354632194871795
Calm,Survival,3.0,3.0,94,-22.340425531914896,-14.583333333333336,HIGH,0.9095219455702125
Calm,Survival,20.0,8.0,170,-18.82352941176471,-14.545454545454549,HIGH,0.6933992418905882
Moderate,Survival,2.0,5.0,74,-24.324324324324326,-14.516129032258066,HIGH,1.344056601018108
Calm,Open,22.0,4.0,240,-17.5,-14.482758620689655,HIGH,0.5191544497762499
Calm,Closing,18.0,7.0,26,42.307692307692314,14.473684210526319,EXPLORATORY,-1.5703460976999999
Calm,Positioning,25.0,9.0,55,-27.27272727272727,-14.285714285714285,HIGH,0.8231716121818181
Calm,Open,18.0,2.0,35,-34.285714285714285,-14.117647058823529,HIGH,1.3287124334285714
Calm,Survival,18.0,2.0,29,-37.931034482758626,-13.924050632911396,EXPLORATORY,1.1572838619999999
Moderate,Open,2.0,3.0,29,-37.93103448275862,-13.924050632911392,EXPLORATORY,1.0127441354286206
Calm,Open,2.0,3.0,65,-24.615384615384617,-13.91304347826087,HIGH,1.170050596576923
Calm,Open,16.0,9.0,247,-16.59919028340081,-13.804713804713804,HIGH,0.5442407979259111
Calm,Survival,4.0,4.0,37,-32.432432432432435,-13.793103448275863,HIGH,1.8955093577351352
Moderate,Survival,22.0,2.0,59,-25.423728813559322,-13.761467889908257,HIGH,1.222611274642373
Moderate,Open,9.0,6.0,46,-28.260869565217394,-13.541666666666668,HIGH,1.2250491309260871
Calm,Survival,15.0,9.0,39,30.76923076923077,13.483146067415731,HIGH,-0.9991380742307692
Moderate,Open,24.0,1.0,17,-52.94117647058824,-13.432835820895525,EXPLORATORY,2.2420332953
Moderate,Closing,9.0,5.0,32,34.375,13.414634146341465,HIGH,-1.01415831479375
Moderate,Open,6.0,9.0,25,-40.0,-13.333333333333332,EXPLORATORY,1.1426342813000003
Calm,Survival,11.0,4.0,71,-22.535211267605636,-13.22314049586777,HIGH,0.4819296597605633
Calm,Open,21.0,4.0,71,-22.535211267605636,-13.22314049586777,HIGH,0.4946683145633805
Moderate,Survival,7.0,7.0,34,32.35294117647059,13.095238095238095,HIGH,-0.8867172292014706
Calm,Survival,9.0,7.0,141,-17.730496453900706,-13.089005235602091,HIGH,0.5240161280851062
Calm,Survival,3.0,6.0,103,-19.41747572815534,-13.071895424836601,HIGH,0.6886073255699028
Moderate,Closing,29.0,8.0,58,-24.137931034482758,-12.962962962962964,HIGH,-1.0038050053896557
Calm,Closing,23.0,1.0,58,24.137931034482758,12.962962962962964,HIGH,-1.1037111593103448
Calm,Closing,11.0,5.0,105,-19.04761904761905,-12.903225806451614,HIGH,0.917805840533524
Moderate,Closing,24.0,9.0,12,-66.66666666666666,-12.90322580645161,WEAK,1.9656062233
Moderate,Open,22.0,4.0,145,-17.24137931034483,-12.820512820512823,HIGH,0.62963508758
Moderate,Open,1.0,6.0,52,-24.999999999999996,-12.745098039215684,HIGH,1.0970789792267308
Calm,Survival,15.0,3.0,178,-16.292134831460675,-12.719298245614036,HIGH,0.6271809325589887
Calm,Open,10.0,8.0,131,-17.557251908396946,-12.707182320441989,HIGH,0.504478360453588
Moderate,Survival,12.0,4.0,92,19.565217391304348,12.67605633802817,HIGH,-0.1780165052239131
Moderate,Open,10.0,5.0,100,-19.0,-12.666666666666666,HIGH,0.9461266595801999
Moderate,Closing,28.0,8.0,108,18.51851851851852,12.658227848101266,HIGH,-0.25489495955111124
Calm,Survival,19.0,6.0,45,-26.666666666666668,-12.631578947368421,HIGH,0.8492891824077778
Calm,Positioning,27.0,1.0,109,18.34862385321101,12.578616352201257,HIGH,-0.6728685078000001
Calm,Open,10.0,6.0,78,-20.512820512820515,-12.500000000000002,HIGH,1.2241569489666668
Moderate,Closing,19.0,6.0,14,57.14285714285715,12.500000000000002,WEAK,-2.0492362332142853
Calm,Open,24.0,5.0,14,-57.14285714285714,-12.5,WEAK,1.571182052
Calm,Survival,3.0,5.0,143,-16.783216783216783,-12.435233160621761,HIGH,0.8645522753643358
Moderate,Positioning,15.0,3.0,71,-21.12676056338028,-12.396694214876034,HIGH,0.6309142933856339
Moderate,Open,12.0,7.0,39,-28.205128205128204,-12.359550561797754,HIGH,1.0567316928897432
Calm,Positioning,3.0,1.0,23,-39.130434782608695,-12.32876712328767,EXPLORATORY,2.6033268121608693
Calm,Survival,30.0,9.0,23,-39.13043478260869,-12.328767123287669,EXPLORATORY,2.009600232130435
Calm,Survival,24.0,5.0,15,53.333333333333336,12.307692307692308,EXPLORATORY,-2.5954846146666672
Moderate,Open,19.0,7.0,80,-20.0,-12.307692307692308,HIGH,0.415197013345
Calm,Open,26.0,9.0,332,-14.156626506024095,-12.303664921465968,HIGH,0.4046517226301204
Calm,Open,20.0,6.0,301,-14.285714285714285,-12.250712250712251,HIGH,0.5288943536757476
Moderate,Survival,23.0,3.0,297,-14.141414141414144,-12.103746397694527,HIGH,0.4380241205545454
Calm,Positioning,3.0,4.0,99,18.18181818181818,12.080536912751677,HIGH,-0.46874454029393964
Tough,Closing,25.0,2.0,8,-87.5,-12.068965517241379,WEAK,4.28518343661
Calm,Closing,26.0,2.0,58,-22.413793103448278,-12.03703703703704,HIGH,0.6715355826793103
Calm,Open,13.0,9.0,17,-47.05882352941176,-11.940298507462686,EXPLORATORY,1.6117684958823533
Calm,Closing,30.0,7.0,17,-47.05882352941176,-11.940298507462686,EXPLORATORY,1.6304782245294116
Moderate,Open,20.0,6.0,193,-15.025906735751294,-11.934156378600822,HIGH,1.0422292114838028
Calm,Survival,9.0,6.0,59,-22.033898305084744,-11.926605504587155,HIGH,0.3298976207474576
Calm,Open,15.0,2.0,261,-14.176245210727966,-11.897106109324756,HIGH,0.3122618299045978
Calm,Positioning,20.0,5.0,51,-23.529411764705884,-11.881188118811883,HIGH,0.6364166201568628
Calm,Survival,9.0,8.0,68,-20.58823529411765,-11.864406779661017,HIGH,0.9074325094308824
Calm,Survival,8.0,2.0,35,-28.571428571428577,-11.764705882352942,HIGH,1.2196762494285716
Moderate,Survival,15.0,3.0,132,-15.909090909090912,-11.53846153846154,HIGH,0.5244109667269696
Moderate,Open,23.0,2.0,28,32.14285714285714,11.538461538461537,EXPLORATORY,-0.5780720938
Calm,Closing,16.0,7.0,55,21.81818181818182,11.42857142857143,HIGH,-0.7439765258181814
Calm,Closing,10.0,6.0,38,26.315789473684216,11.363636363636367,HIGH,-0.4387792514105263
Calm,Positioning,3.0,3.0,47,23.404255319148938,11.34020618556701,HIGH,-0.41080978040000005
Calm,Survival,10.0,8.0,101,-16.83168316831683,-11.258278145695362,HIGH,0.6207185106243565
Calm,Closing,23.0,2.0,30,30.000000000000004,11.250000000000002,HIGH,-1.2830161000000004
Moderate,Open,2.0,5.0,93,-17.20430107526882,-11.18881118881119,HIGH,0.771685689232688
Calm,Survival,8.0,1.0,245,-13.469387755102039,-11.1864406779661,HIGH,0.5317951225408165
Moderate,Survival,7.0,1.0,95,16.842105263157897,11.03448275862069,HIGH,-0.20961615019263147
Calm,Open,14.0,3.0,214,-13.551401869158877,-10.984848484848483,HIGH,0.6565630232336448
Calm,Survival,14.0,3.0,160,-14.375000000000002,-10.952380952380953,HIGH,0.30710691897750014
Tough,Closing,23.0,3.0,14,-50.0,-10.9375,WEAK,1.6093567442199999
Calm,Open,13.0,5.0,198,-13.636363636363638,-10.88709677419355,HIGH,0.5084161476631314
Moderate,Closing,24.0,3.0,97,16.49484536082474,10.884353741496597,HIGH,-0.2793371122835053
Calm,Closing,24.0,4.0,42,23.80952380952381,10.869565217391305,HIGH,-0.9855062811404762
Moderate,Positioning,11.0,7.0,33,-27.27272727272727,-10.843373493975902,HIGH,1.5398212514636365
Moderate,Closing,29.0,7.0,62,19.35483870967742,10.714285714285715,HIGH,-0.5182657396567741
Calm,Positioning,4.0,9.0,6,100.0,10.714285714285714,WEAK,-7.363668015666666
Moderate,Positioning,29.0,8.0,53,20.754716981132077,10.679611650485437,HIGH,-0.16761303180000003
Moderate,Positioning,5.0,4.0,44,-22.72727272727273,-10.638297872340427,HIGH,1.024520974409091
