condition,round_type,tithi,life_path,n,edge,roi,conf,mean_error
Moderate,Closing,27.0,2.0,50,42.0,21.0,HIGH,-0.732919911912
Moderate,Closing,10.0,8.0,44,43.18181818181818,20.21276595744681,HIGH,-1.4056709188590908
Calm,Survival,4.0,3.0,34,47.05882352941176,19.047619047619047,HIGH,-1.5074085734882354
Moderate,Positioning,11.0,6.0,89,29.21348314606742,18.705035971223026,HIGH,-0.8991885520049436
Moderate,Survival,27.0,2.0,74,31.081081081081074,18.54838709677419,HIGH,-0.7480406689635136
Calm,Open,16.0,7.0,64,32.8125,18.421052631578945,HIGH,-0.7715333439999998
Calm,Survival,5.0,9.0,47,36.170212765957444,17.525773195876287,HIGH,-0.8664961500425538
Calm,Closing,8.0,9.0,67,26.865671641791046,15.384615384615385,HIGH,-1.6806479839164181
Calm,Closing,14.0,1.0,75,25.33333333333333,15.199999999999996,HIGH,-0.6533757483333331
Tough,Positioning,10.0,7.0,17,58.82352941176471,14.92537313432836,EXPLORATORY,-1.7478955139077648
Tough,Survival,17.0,9.0,11,81.81818181818183,14.754098360655739,WEAK,-3.7059294071000006
Calm,Closing,23.0,6.0,39,33.33333333333333,14.606741573033707,HIGH,-1.4354632194871795
Calm,Closing,18.0,7.0,26,42.307692307692314,14.473684210526319,EXPLORATORY,-1.5703460976999999
Calm,Survival,15.0,9.0,39,30.76923076923077,13.483146067415731,HIGH,-0.9991380742307692
Moderate,Closing,9.0,5.0,32,34.375,13.414634146341465,HIGH,-1.01415831479375
Moderate,Survival,7.0,7.0,34,32.35294117647059,13.095238095238095,HIGH,-0.8867172292014706
Calm,Closing,23.0,1.0,58,24.137931034482758,12.962962962962964,HIGH,-1.1037111593103448
Moderate,Survival,12.0,4.0,92,19.565217391304348,12.67605633802817,HIGH,-0.1780165052239131
Moderate,Closing,28.0,8.0,108,18.51851851851852,12.658227848101266,HIGH,-0.25489495955111124
Calm,Positioning,27.0,1.0,109,18.34862385321101,12.578616352201257,HIGH,-0.6728685078000001
Moderate,Closing,19.0,6.0,14,57.14285714285715,12.500000000000002,WEAK,-2.0492362332142853
Calm,Survival,24.0,5.0,15,53.333333333333336,12.307692307692308,EXPLORATORY,-2.5954846146666672
Calm,Positioning,3.0,4.0,99,18.18181818181818,12.080536912751677,HIGH,-0.46874454029393964
Moderate,Open,23.0,2.0,28,32.14285714285714,11.538461538461537,EXPLORATORY,-0.5780720938
Calm,Closing,16.0,7.0,55,21.81818181818182,11.42857142857143,HIGH,-0.7439765258181814
Calm,Closing,10.0,6.0,38,26.315789473684216,11.363636363636367,HIGH,-0.4387792514105263
Calm,Positioning,3.0,3.0,47,23.404255319148938,11.34020618556701,HIGH,-0.41080978040000005
Calm,Closing,23.0,2.0,30,30.000000000000004,11.250000000000002,HIGH,-1.2830161000000004
Moderate,Survival,7.0,1.0,95,16.842105263157897,11.03448275862069,HIGH,-0.20961615019263147
Moderate,Closing,24.0,3.0,97,16.49484536082474,10.884353741496597,HIGH,-0.2793371122835053
Calm,Closing,24.0,4.0,42,23.80952380952381,10.869565217391305,HIGH,-0.9855062811404762
Moderate,Closing,29.0,7.0,62,19.35483870967742,10.714285714285715,HIGH,-0.5182657396567741
Calm,Positioning,4.0,9.0,6,100.0,10.714285714285714,WEAK,-7.363668015666666
Moderate,Positioning,29.0,8.0,53,20.754716981132077,10.679611650485437,HIGH,-0.16761303180000003
Moderate,Positioning,18.0,9.0,16,43.75,10.606060606060606,EXPLORATORY,-1.343054762775
Moderate,Positioning,19.0,9.0,27,29.629629629629626,10.389610389610388,EXPLORATORY,-1.1362673177333333
Moderate,Positioning,26.0,1.0,39,23.076923076923077,10.112359550561798,HIGH,-1.2910047774615385
Calm,Closing,10.0,7.0,148,13.513513513513512,10.1010101010101,HIGH,-0.19397249995878388
Moderate,Positioning,9.0,7.0,51,19.607843137254903,9.900990099009901,HIGH,-0.4146375729392156
Moderate,Closing,29.0,6.0,31,25.806451612903224,9.876543209876543,HIGH,-1.1788158687096775
Moderate,Survival,21.0,7.0,92,15.217391304347828,9.859154929577466,HIGH,-0.48552737976521737
Moderate,Survival,23.0,1.0,52,19.23076923076923,9.80392156862745,HIGH,-0.6149557378230772
Moderate,Positioning,2.0,5.0,52,19.23076923076923,9.80392156862745,HIGH,-1.1101461826961538
Moderate,Survival,28.0,2.0,53,18.867924528301888,9.708737864077671,HIGH,-0.012586368101886689
Moderate,Closing,9.0,7.0,53,18.867924528301888,9.708737864077671,HIGH,-0.8953067426390562
Moderate,Closing,23.0,1.0,34,23.52941176470588,9.523809523809524,HIGH,-0.9939150138411764
Calm,Positioning,30.0,7.0,13,46.15384615384615,9.523809523809524,WEAK,-1.698179680384615
Moderate,Closing,22.0,6.0,24,29.166666666666664,9.45945945945946,EXPLORATORY,-1.7687948829625
Moderate,Positioning,17.0,8.0,111,13.513513513513514,9.316770186335404,HIGH,-0.3535282779153154
Tough,Positioning,3.0,5.0,15,40.0,9.230769230769232,EXPLORATORY,-1.3259258675706669
Moderate,Open,20.0,7.0,81,14.814814814814813,9.16030534351145,HIGH,-0.39796831728765414
Calm,Closing,14.0,3.0,103,13.592233009708735,9.15032679738562,HIGH,-0.3579775927961163
Moderate,Positioning,28.0,2.0,27,25.925925925925924,9.09090909090909,EXPLORATORY,-0.6631803583185186
Calm,Closing,3.0,4.0,94,13.829787234042554,9.027777777777779,HIGH,-0.15161795198829797
Moderate,Survival,20.0,7.0,62,16.12903225806452,8.92857142857143,HIGH,-0.22611171959516102
Tough,Open,17.0,1.0,7,71.42857142857143,8.771929824561404,WEAK,-2.8782961714014283
Tough,Positioning,13.0,6.0,7,71.42857142857143,8.771929824561404,WEAK,-2.6832986938857144
Calm,Positioning,19.0,7.0,64,15.625,8.771929824561402,HIGH,-0.688817340140625
Moderate,Positioning,18.0,7.0,19,31.57894736842105,8.695652173913043,EXPLORATORY,-1.2469006285693973
Moderate,Closing,27.0,1.0,66,15.151515151515149,8.620689655172413,HIGH,-0.3922272598060605
Tough,Open,8.0,8.0,8,62.5,8.620689655172413,WEAK,-2.6537123848662505
Moderate,Open,24.0,9.0,20,30.0,8.571428571428571,EXPLORATORY,-0.8343937767
Calm,Closing,2.0,3.0,20,30.0,8.571428571428571,EXPLORATORY,-1.5468565839
Moderate,Positioning,25.0,9.0,32,21.875,8.536585365853659,HIGH,-0.24800309409999993
Calm,Open,21.0,8.0,32,21.875,8.536585365853659,HIGH,-0.20590155450000014
Moderate,Closing,16.0,9.0,68,14.70588235294118,8.474576271186443,HIGH,-0.230505944025
Tough,Survival,29.0,7.0,9,55.55555555555556,8.474576271186441,WEAK,-2.277864008088889
Moderate,Closing,17.0,8.0,118,11.864406779661016,8.333333333333332,HIGH,0.1680818672932204
Calm,Survival,8.0,9.0,94,12.765957446808507,8.33333333333333,HIGH,0.18310964045319145
Moderate,Survival,1.0,7.0,48,16.666666666666664,8.163265306122447,HIGH,-0.44755554943333326
Moderate,Closing,7.0,1.0,49,16.326530612244895,8.08080808080808,HIGH,-0.019277177857142856
Moderate,Positioning,24.0,4.0,12,41.66666666666667,8.064516129032258,WEAK,-2.2762889031666664
Moderate,Survival,25.0,9.0,38,18.42105263157895,7.954545454545455,HIGH,0.12370743221578974
Calm,Closing,3.0,3.0,54,14.814814814814813,7.692307692307692,HIGH,-0.4469127755333333
Moderate,Survival,18.0,7.0,54,14.814814814814813,7.692307692307692,HIGH,-0.4086340219094115
Moderate,Positioning,21.0,7.0,54,14.814814814814813,7.692307692307692,HIGH,-0.2578397496318521
Calm,Open,23.0,4.0,120,10.833333333333334,7.647058823529413,HIGH,-0.050016057589166545
Moderate,Open,15.0,1.0,94,11.702127659574469,7.638888888888889,HIGH,-0.1125670600882978
Moderate,Positioning,26.0,2.0,29,20.689655172413794,7.59493670886076,EXPLORATORY,0.06812856921724136
Moderate,Closing,25.0,9.0,29,20.689655172413794,7.59493670886076,EXPLORATORY,0.04294518176206901
Calm,Positioning,2.0,7.0,83,12.04819277108434,7.518796992481205,HIGH,-0.5674579016879518
Moderate,Survival,6.0,2.0,191,9.42408376963351,7.468879668049794,HIGH,-0.27953263795340305
Calm,Positioning,27.0,7.0,17,29.411764705882355,7.46268656716418,EXPLORATORY,-0.3870336789882354
Tough,Closing,26.0,3.0,4,100.0,7.4074074074074066,WEAK,-4.0570649945
Tough,Open,10.0,8.0,4,100.0,7.4074074074074066,WEAK,-2.993857734396
Moderate,Open,15.0,9.0,18,27.77777777777778,7.352941176470589,EXPLORATORY,-0.7960596421222224
Tough,Positioning,11.0,5.0,18,27.77777777777778,7.352941176470589,EXPLORATORY,-1.1515787516635554
Moderate,Positioning,1.0,5.0,59,13.559322033898303,7.339449541284402,HIGH,-0.27342338862711857
Moderate,Survival,8.0,8.0,142,9.859154929577468,7.291666666666669,HIGH,-0.10447937744014091
Calm,Positioning,1.0,6.0,46,15.217391304347828,7.291666666666668,HIGH,-0.9715870675108695
Moderate,Positioning,23.0,2.0,19,26.31578947368421,7.246376811594202,EXPLORATORY,-0.6570194622210526
Calm,Positioning,20.0,6.0,158,9.49367088607595,7.211538461538462,HIGH,-0.25795474593417733
Tough,Positioning,27.0,2.0,6,66.66666666666666,7.1428571428571415,WEAK,-1.4239247536666666
Calm,Positioning,30.0,6.0,106,10.377358490566035,7.051282051282049,HIGH,-0.21729589884433975
Moderate,Closing,6.0,2.0,92,10.869565217391305,7.042253521126761,HIGH,-0.004705426902173917
Tough,Closing,21.0,7.0,7,57.14285714285714,7.0175438596491215,WEAK,-2.693420072285714
Moderate,Survival,10.0,7.0,152,9.210526315789473,6.93069306930693,HIGH,-0.5471853189663158
Moderate,Closing,9.0,8.0,37,16.216216216216218,6.8965517241379315,HIGH,-0.3527763862878378
Calm,Survival,24.0,1.0,8,50.0,6.896551724137931,WEAK,-1.0411684976000002
Tough,Open,27.0,2.0,8,50.0,6.896551724137931,WEAK,-2.5080955585749996
Tough,Open,23.0,4.0,8,50.0,6.896551724137931,WEAK,-2.1021973132
Tough,Open,23.0,1.0,8,50.0,6.896551724137931,WEAK,-1.1007373515999999
Tough,Open,29.0,6.0,8,50.0,6.896551724137931,WEAK,-1.07117454629
Calm,Positioning,16.0,2.0,38,15.789473684210526,6.818181818181818,HIGH,-0.2927135114921051
Moderate,Positioning,15.0,4.0,82,10.97560975609756,6.8181818181818175,HIGH,-0.057377219302439
Moderate,Survival,4.0,3.0,9,44.44444444444444,6.779661016949153,WEAK,-1.9578594300777779
Calm,Positioning,13.0,3.0,68,11.76470588235294,6.779661016949152,HIGH,-0.6111469989999998
Tough,Positioning,25.0,3.0,24,20.833333333333336,6.756756756756758,EXPLORATORY,-0.7797081409101665
