condition,round_type,gap,tithi,n,edge,roi,conf,mean_error
Moderate,Open,0-10,7.0,27,51.85185185185185,18.18181818181818,EXPLORATORY,-2.0803383931307406
Calm,Open,10-20,17.0,37,32.432432432432435,13.793103448275863,HIGH,-0.9127466090405407
Moderate,Open,0-10,17.0,58,24.137931034482758,12.962962962962964,HIGH,-0.6434639930810344
Tough,Open,-20--10,23.0,13,61.53846153846154,12.698412698412698,WEAK,-2.4043127501
Calm,Open,10-20,23.0,61,22.950819672131146,12.612612612612613,HIGH,-0.9683145176918033
Calm,Open,20+,8.0,20,40.0,11.428571428571427,EXPLORATORY,-1.6682445914700001
Moderate,Open,-20--10,3.0,88,17.045454545454543,10.869565217391301,HIGH,-0.517668144215909
Tough,Open,-10-0,15.0,24,33.333333333333336,10.810810810810812,EXPLORATORY,-1.2555200776718334
Moderate,Open,20+,8.0,11,54.54545454545454,9.83606557377049,WEAK,-2.0400825514661753
Moderate,Open,0-10,9.0,44,20.454545454545453,9.574468085106382,HIGH,-0.5405454681609091
Calm,Open,10-20,5.0,38,21.05263157894737,9.090909090909092,HIGH,-0.9027326982210527
Moderate,Open,20+,23.0,6,83.33333333333334,8.928571428571429,WEAK,-3.1690952198833333
Moderate,Open,20+,27.0,6,83.33333333333334,8.928571428571429,WEAK,-3.7860526012333335
Tough,Open,-10-0,17.0,20,30.000000000000004,8.571428571428571,EXPLORATORY,-1.9757188248090003
Tough,Open,-10-0,25.0,9,55.55555555555556,8.474576271186441,WEAK,-1.4162378545446666
Calm,Open,10-20,21.0,24,25.0,8.108108108108109,EXPLORATORY,-1.0656476409291666
Calm,Open,10-20,13.0,52,15.384615384615385,7.8431372549019605,HIGH,-0.7398823150307692
Tough,Open,<-20,13.0,15,33.333333333333336,7.692307692307693,EXPLORATORY,-1.5821930336066667
Moderate,Open,<-20,4.0,93,11.827956989247312,7.692307692307692,HIGH,-0.40093000363935477
Calm,Open,-20--10,17.0,124,10.483870967741934,7.471264367816091,HIGH,-0.45090799461774195
Moderate,Open,<-20,14.0,89,11.235955056179778,7.194244604316548,HIGH,0.034984607392359514
Tough,Open,<-20,9.0,6,66.66666666666666,7.1428571428571415,WEAK,-3.4423808061716663
Tough,Open,<-20,10.0,7,57.14285714285714,7.0175438596491215,WEAK,-2.486624967638857
Tough,Open,-10-0,16.0,10,40.0,6.666666666666666,WEAK,-1.6536767600200002
Tough,Open,-20--10,8.0,10,40.0,6.666666666666666,WEAK,-1.868656255578
Moderate,Open,0-10,2.0,46,13.043478260869565,6.25,HIGH,-0.6003330208039132
Moderate,Open,-20--10,26.0,84,9.523809523809526,5.9701492537313445,HIGH,-0.17500341523571428
Calm,Open,0-10,27.0,121,8.264462809917353,5.847953216374267,HIGH,-0.3750775108677686
Moderate,Open,-10-0,28.0,108,8.333333333333332,5.696202531645569,HIGH,0.13189780599018516
Calm,Open,20+,11.0,22,18.181818181818183,5.555555555555556,EXPLORATORY,-0.1842707898090908
Moderate,Open,0-10,12.0,22,18.181818181818183,5.555555555555556,EXPLORATORY,-0.37851942592272747
Moderate,Open,20+,16.0,4,75.0,5.555555555555555,WEAK,-1.5457366036749998
Tough,Open,<-20,16.0,4,75.0,5.555555555555555,WEAK,-2.5011647394
Moderate,Open,-20--10,4.0,61,9.836065573770489,5.405405405405404,HIGH,-0.3262287278885244
Moderate,Open,20+,26.0,6,50.0,5.357142857142857,WEAK,-1.3671618703999997
Moderate,Open,0-10,15.0,64,9.375,5.263157894736842,HIGH,-0.44949524210624997
Tough,Open,<-20,17.0,8,37.5,5.172413793103448,WEAK,-2.22104372891625
Calm,Open,-20--10,30.0,47,10.638297872340427,5.154639175257732,HIGH,-0.2592181749170213
Tough,Open,<-20,25.0,10,30.0,5.0,WEAK,-0.724528757246
Tough,Open,-10-0,29.0,10,30.000000000000004,5.0,WEAK,-1.1321277352
Tough,Open,<-20,27.0,10,30.0,5.0,WEAK,-1.9399848567140001
Calm,Open,0-10,14.0,73,8.21917808219178,4.878048780487805,HIGH,-0.15075470723972587
Moderate,Open,<-20,11.0,118,6.779661016949151,4.761904761904761,HIGH,-1.2643636548327968
Moderate,Open,-20--10,28.0,78,7.6923076923076925,4.6875,HIGH,-0.18007398842512828
Tough,Open,<-20,23.0,14,21.428571428571427,4.6875,WEAK,-0.6937883437121428
Moderate,Open,0-10,26.0,58,8.620689655172411,4.629629629629629,HIGH,0.3740708751
Tough,Open,-10-0,3.0,15,20.0,4.615384615384616,EXPLORATORY,-0.48618037919000007
Moderate,Open,0-10,8.0,81,7.4074074074074066,4.580152671755725,HIGH,-0.9264218046860239
Calm,Open,10-20,19.0,19,15.789473684210526,4.3478260869565215,EXPLORATORY,-0.5634579922989474
Moderate,Open,-20--10,25.0,65,7.6923076923076925,4.3478260869565215,HIGH,0.03605548465999999
Moderate,Open,0-10,5.0,44,9.090909090909088,4.255319148936169,HIGH,-0.4995870188922727
Tough,Open,-10-0,22.0,2,100.0,3.8461538461538463,WEAK,-3.07304756067
Tough,Open,-20--10,12.0,3,66.66666666666666,3.773584905660377,WEAK,-2.5063145873666666
Moderate,Open,20+,21.0,4,50.0,3.7037037037037033,WEAK,-2.0340365354000003
Calm,Open,20+,30.0,4,50.0,3.7037037037037033,WEAK,-1.9424904060000001
Calm,Open,20+,16.0,4,50.0,3.7037037037037033,WEAK,-0.444621213
Tough,Open,-10-0,7.0,5,40.0,3.6363636363636367,WEAK,-1.2696757890400001
Tough,Open,-20--10,11.0,5,40.0,3.6363636363636367,WEAK,-1.0187494470792
Tough,Open,-20--10,17.0,5,40.0,3.6363636363636367,WEAK,-1.7298413926200003
Tough,Open,<-20,29.0,6,33.33333333333333,3.5714285714285707,WEAK,-2.2236509476866666
Calm,Open,20+,19.0,6,33.33333333333333,3.5714285714285707,WEAK,-1.3628877286333332
Tough,Open,-10-0,24.0,6,33.33333333333333,3.5714285714285707,WEAK,-0.3703450869039999
Moderate,Open,20+,5.0,7,28.57142857142857,3.5087719298245608,WEAK,-0.19315194009999986
Calm,Open,<-20,21.0,150,4.666666666666669,3.5000000000000018,HIGH,0.052346901103733356
Moderate,Open,10-20,29.0,8,25.0,3.4482758620689653,WEAK,-0.6918977210750001
Moderate,Open,<-20,19.0,95,5.263157894736839,3.4482758620689635,HIGH,-0.16397437476094734
Moderate,Open,0-10,25.0,68,5.882352941176472,3.389830508474577,HIGH,-0.09859000465147053
Tough,Open,-10-0,4.0,9,22.22222222222222,3.3898305084745766,WEAK,-0.9910133700333333
Tough,Open,-10-0,21.0,9,22.22222222222222,3.3898305084745766,WEAK,-0.9632442296688887
Tough,Open,<-20,24.0,10,19.999999999999996,3.3333333333333326,WEAK,-0.3870538783799999
Tough,Open,-10-0,20.0,12,16.666666666666664,3.2258064516129026,WEAK,-0.02060298534000003
Calm,Open,10-20,1.0,12,16.666666666666664,3.2258064516129026,WEAK,-0.5187170113166666
Calm,Open,-20--10,10.0,106,4.716981132075471,3.205128205128205,HIGH,-0.21319969099047176
Tough,Open,-10-0,13.0,13,15.384615384615385,3.1746031746031744,WEAK,-0.7667252906300001
Moderate,Open,<-20,27.0,208,3.8461538461538463,3.10077519379845,HIGH,-0.025812309484759613
Moderate,Open,10-20,17.0,15,13.333333333333336,3.0769230769230775,EXPLORATORY,-1.03977168076
Tough,Open,<-20,8.0,16,12.5,3.0303030303030303,EXPLORATORY,-0.963128124349375
Moderate,Open,0-10,16.0,49,6.122448979591832,3.030303030303028,HIGH,0.21767117476326533
Moderate,Open,0-10,23.0,50,6.0,3.0,HIGH,-0.5572396197439999
Moderate,Open,-20--10,29.0,55,5.454545454545457,2.8571428571428585,HIGH,0.3404636151523637
Moderate,Open,-20--10,15.0,138,3.6231884057971038,2.659574468085108,HIGH,0.20139710499797106
Moderate,Open,10-20,15.0,29,6.896551724137931,2.531645569620253,EXPLORATORY,-0.2518258391786208
Moderate,Open,-10-0,12.0,76,3.9473684210526354,2.380952380952383,HIGH,-0.06380053094078944
Moderate,Open,0-10,19.0,36,5.555555555555553,2.325581395348836,HIGH,0.2912261503305556
Calm,Open,10-20,14.0,40,5.000000000000002,2.2222222222222228,HIGH,-0.008751465287499927
Calm,Open,10-20,20.0,42,4.761904761904762,2.1739130434782608,HIGH,-0.4274254841952382
