Event,Round,Condition,Round Type,Player [A],ML [A],Color [A],Exec [A],Upside [A],Element [A],Zodiac [A],Player [B],ML [B],Color [B],Exec [B],Upside [B],Element [B],Zodiac [B],Player [C],ML [C],Color [C],Exec [C],Upside [C],Element [C],Zodiac [C]
Texas Children's Houston Open,Round 4,Calm,Closing,Garrick Higgo,145,Orange,50,75,Earth,Rabbit,Brice Garnett,230,Green,50,50,Water,Pig,Luke Clanton,160,Green,25,25,Water,Goat
Texas Children's Houston Open,Round 4,Calm,Closing,Kurt Kitayama,120,Blue,50,75,Water,Monkey,Kevin Roy,225,Yellow,50,50,Metal,Horse,Matti Schmid,210,Yellow,50,75,Fire,Ox
Texas Children's Houston Open,Round 4,Calm,Closing,Tom Hoge,190,Blue,50,75,Earth,Snake,Jesper Svensson,115,Purple,50,75,Fire,Rat,Peter Malnati,250,Purple,25,25,Fire,Rabbit
Texas Children's Houston Open,Round 4,Calm,Closing,Sungjae Im,137,Blue,50,75,Earth,Tiger,Sam Ryder,240,Purple,50,50,Earth,Snake,Lee Hodges,170,Green,50,50,Wood,Pig
Texas Children's Houston Open,Round 4,Calm,Closing,Danny Walker,190,Green,50,50,Wood,Pig,Matt Kuchar,190,Yellow,50,75,Earth,Horse,Emiliano Grillo,150,Green,25,25,Water,Monkey
Texas Children's Houston Open,Round 4,Calm,Closing,Mac Meissner,115,Blue,50,75,Earth,Tiger,Jimmy Stanger,170,Yellow,25,25,Wood,Pig,Jeffrey Kang,300,Yellow,50,75,Metal,Goat
Texas Children's Houston Open,Round 4,Calm,Closing,William Mouw,150,Purple,50,50,Metal,Dragon,Christiaan Bezuidenhout,170,Yellow,50,75,Wood,Dog,Matthieu Pavon,210,Green,25,25,Water,Monkey
Texas Children's Houston Open,Round 4,Calm,Closing,Rasmus Hojgaard,140,Yellow,50,75,Metal,Snake,Matt Wallace,200,Yellow,50,50,Metal,Horse,Eric Cole,190,Purple,50,50,Earth,Dragon
Texas Children's Houston Open,Round 4,Calm,Closing,Andrew Putnam,200,Blue,50,75,Earth,Dragon,Davis Riley,225,Purple,50,50,Fire,Rat,Harry Hall,125,Purple,50,75,Fire,Ox
Texas Children's Houston Open,Round 4,Calm,Closing,Adrien Saddier,280,Yellow,50,75,Water,Monkey,Ben Griffin,160,Blue,25,25,Fire,Rat,Sam Burns,130,Purple,50,75,Fire,Rat
Texas Children's Houston Open,Round 4,Calm,Closing,Keith Mitchell,180,Yellow,25,25,Metal,Goat,Jake Knapp,150,Purple,50,50,Wood,Dog,Jordan Smith,200,Green,50,50,Water,Monkey
Texas Children's Houston Open,Round 4,Calm,Closing,Aldrich Potgieter,170,Yellow,50,75,Wood,Monkey,Vince Whaley,220,Blue,50,75,Wood,Pig,Alex Smalley,145,Yellow,50,75,Fire,Rat
Texas Children's Houston Open,Round 4,Calm,Closing,Takumi Kanaya,230,Purple,50,50,Earth,Tiger,Shane Lowry,120,Purple,50,75,Fire,Rabbit,Chris Kirk,200,Purple,50,50,Wood,Ox
Texas Children's Houston Open,Round 4,Calm,Closing,Erik van Rooyen,250,Purple,50,50,Metal,Horse,John Parry,180,Yellow,50,75,Fire,Tiger,Harris English,125,Yellow,50,75,Earth,Snake
Texas Children's Houston Open,Round 4,Calm,Closing,Max McGreevy,150,Blue,50,75,Wood,Pig,Adrien Dumont De Chassart,160,Purple,50,50,Metal,Dragon,Karl Vilips,225,Green,50,75,Metal,Snake
Texas Children's Houston Open,Round 4,Calm,Closing,Steven Fisk,200,Purple,50,50,Fire,Ox,Austin Eckroat,190,Blue,50,75,Earth,Tiger,Tom Kim,140,Green,50,50,Water,Horse
Texas Children's Houston Open,Round 4,Calm,Closing,Rico Hoey,125,Yellow,25,25,Wood,Pig,Chad Ramey,162,Green,50,75,Water,Monkey,Danny Willett,275,Blue,50,75,Fire,Rabbit
Texas Children's Houston Open,Round 4,Calm,Closing,Pontus Nyholm,187,Green,50,50,Earth,Tiger,Denny McCarthy,150,Orange,50,75,Water,Rooster,Beau Hossler,200,Purple,50,50,Wood,Pig
Texas Children's Houston Open,Round 4,Calm,Closing,Thorbjorn Olesen,190,Blue,50,75,Earth,Snake,Tony Finau,170,Purple,50,50,Earth,Snake,Ricky Castillo,170,Green,25,25,Metal,Snake
Texas Children's Houston Open,Round 4,Calm,Closing,Zecheng Dou,187,Yellow,50,75,Fire,Rat,Jackson Suber,240,Yellow,25,25,Earth,Rabbit,Michael Brennan,125,Yellow,50,50,Metal,Snake
Texas Children's Houston Open,Round 4,Calm,Closing,Bronson Burgoon,210,Yellow,25,25,Fire,Rabbit,Stephan Jaeger,120,Yellow,50,75,Earth,Snake,Jhonattan Vegas,220,Yellow,50,75,Wood,Rat
Texas Children's Houston Open,Round 4,Calm,Closing,Johnny Keefer,250,Blue,50,75,Metal,Dragon,Adam Scott,180,Green,50,50,Metal,Monkey,Chris Gotterup,120,Yellow,25,25,Earth,Rabbit
Texas Children's Houston Open,Round 4,Calm,Closing,Sudarshan Yellamaraju,160,Purple,25,25,Metal,Snake,Paul Waring,300,Yellow,25,25,Wood,Rat,Sahith Theegala,120,Green,50,75,Fire,Ox
Texas Children's Houston Open,Round 4,Calm,Closing,Michael Thorbjornsen,137,Purple,25,25,Metal,Snake,Sam Stevens,190,Yellow,25,25,Fire,Rat,Jason Day,210,Blue,50,75,Fire,Rabbit
