ev_bucket,sample_n,top_5_count,top_10_count,top_20_count,top_40_count,p_top_5,p_top_10,p_top_20,p_top_40
-7.0,1,0,0,0,0,0.0,0.0,0.0,0.0
-6.75,4,0,0,0,1,0.0,0.0,0.0,0.25
-6.5,12,0,0,0,0,0.0,0.0,0.0,0.0
-6.25,5,0,0,0,0,0.0,0.0,0.0,0.0
-6.0,6,0,1,1,1,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666
-5.75,14,0,0,0,3,0.0,0.0,0.0,0.2142857142857142
-5.5,17,1,2,3,6,0.0588235294117647,0.1176470588235294,0.1764705882352941,0.3529411764705882
-5.25,29,2,3,4,8,0.0689655172413793,0.1034482758620689,0.1379310344827586,0.2758620689655172
-5.0,35,0,2,3,7,0.0,0.0571428571428571,0.0857142857142857,0.2
-4.75,40,1,2,3,11,0.025,0.05,0.075,0.275
-4.5,40,1,1,3,11,0.025,0.025,0.075,0.275
-4.25,64,8,9,11,23,0.125,0.140625,0.171875,0.359375
-4.0,82,5,6,14,27,0.0609756097560975,0.073170731707317,0.1707317073170731,0.3292682926829268
-3.75,102,3,6,13,23,0.0294117647058823,0.0588235294117647,0.1274509803921568,0.2254901960784313
-3.5,202,5,10,25,57,0.0247524752475247,0.0495049504950495,0.1237623762376237,0.2821782178217821
-3.25,319,2,7,18,54,0.006269592476489,0.0219435736677116,0.0564263322884012,0.1692789968652037
-3.0,370,8,23,49,87,0.0216216216216216,0.0621621621621621,0.1324324324324324,0.2351351351351351
-2.75,553,13,35,72,146,0.023508137432188,0.0632911392405063,0.1301989150090416,0.2640144665461121
-2.5,654,32,60,122,219,0.0489296636085626,0.091743119266055,0.1865443425076452,0.3348623853211009
-2.25,907,56,101,169,325,0.0617420066152149,0.1113561190738699,0.1863285556780595,0.3583241455347298
-2.0,1321,67,132,275,555,0.0507191521574564,0.0999242997728993,0.2081756245268735,0.4201362604087812
-1.75,1791,119,221,403,773,0.0664433277498604,0.123394751535455,0.2250139586823004,0.4316024567280849
-1.5,2260,142,300,575,1001,0.0628318584070796,0.1327433628318584,0.2544247787610619,0.4429203539823009
-1.25,2747,226,398,765,1259,0.0822715689843465,0.1448853294503094,0.2784856206771023,0.4583181652712049
-1.0,3194,270,462,866,1525,0.084533500313087,0.1446462116468378,0.2711333750782717,0.4774577332498435
-0.75,3934,292,539,1029,1876,0.0742247076766649,0.1370106761565836,0.2615658362989324,0.4768683274021352
-0.5,5449,408,709,1373,2505,0.0748761240594604,0.1301156175445035,0.2519728390530372,0.4597173793356579
-0.25,6832,479,921,1785,3208,0.0701112412177985,0.1348067915690866,0.2612704918032787,0.4695550351288056
-0.0,8340,672,1204,2240,4070,0.0805755395683453,0.1443645083932853,0.2685851318944844,0.4880095923261391
0.25,8021,601,1172,2222,3940,0.0749283131779079,0.1461164443336242,0.2770228151103354,0.4912105722478494
0.5,5711,496,869,1592,2789,0.0868499387147609,0.1521624934337244,0.2787602871651199,0.4883558045876379
0.75,3447,298,548,1024,1748,0.086451987235277,0.1589788221642007,0.2970699158688715,0.5071076298230345
1.0,2177,210,341,592,1034,0.0964630225080385,0.1566375746440055,0.2719338539274231,0.4749655489205328
1.25,1518,114,222,412,746,0.075098814229249,0.1462450592885375,0.2714097496706192,0.4914361001317523
1.5,1373,82,167,331,622,0.0597232337946103,0.12163146394756,0.2410779315367807,0.4530225782957028
1.75,1330,88,164,340,641,0.0661654135338345,0.1233082706766917,0.2556390977443609,0.4819548872180451
2.0,1203,74,160,279,533,0.0615128844555278,0.1330008312551953,0.2319201995012468,0.4430590191188694
2.25,836,46,85,173,342,0.055023923444976,0.1016746411483253,0.2069377990430622,0.4090909090909091
2.5,600,28,58,128,256,0.0466666666666666,0.0966666666666666,0.2133333333333333,0.4266666666666667
2.75,362,17,30,73,130,0.0469613259668508,0.0828729281767955,0.2016574585635359,0.3591160220994475
3.0,285,17,36,59,123,0.0596491228070175,0.1263157894736842,0.2070175438596491,0.431578947368421
3.25,244,13,20,42,84,0.0532786885245901,0.081967213114754,0.1721311475409836,0.3442622950819672
3.5,253,8,23,45,92,0.0316205533596837,0.0909090909090909,0.1778656126482213,0.3636363636363636
3.75,185,4,10,27,69,0.0216216216216216,0.054054054054054,0.1459459459459459,0.372972972972973
4.0,133,10,14,29,54,0.075187969924812,0.1052631578947368,0.2180451127819548,0.4060150375939849
4.25,104,1,7,16,31,0.0096153846153846,0.0673076923076923,0.1538461538461538,0.2980769230769231
4.5,78,4,11,16,36,0.0512820512820512,0.141025641025641,0.2051282051282051,0.4615384615384615
4.75,79,5,8,13,22,0.0632911392405063,0.1012658227848101,0.1645569620253164,0.2784810126582278
5.0,63,2,9,10,24,0.0317460317460317,0.1428571428571428,0.1587301587301587,0.3809523809523809
5.25,39,3,4,10,12,0.0769230769230769,0.1025641025641025,0.2564102564102564,0.3076923076923077
5.5,26,3,6,7,14,0.1153846153846153,0.2307692307692307,0.2692307692307692,0.5384615384615384
5.75,23,1,5,8,11,0.0434782608695652,0.217391304347826,0.3478260869565217,0.4782608695652174
6.0,20,3,3,4,5,0.15,0.15,0.2,0.25
6.25,20,1,2,4,6,0.05,0.1,0.2,0.3
6.5,12,0,0,1,4,0.0,0.0,0.0833333333333333,0.3333333333333333
6.75,14,1,1,1,4,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.2857142857142857
7.0,2,1,1,2,2,0.5,0.5,1.0,1.0
7.25,8,0,1,1,3,0.0,0.125,0.125,0.375
7.5,16,0,1,3,7,0.0,0.0625,0.1875,0.4375
7.75,13,1,2,3,6,0.0769230769230769,0.1538461538461538,0.2307692307692307,0.4615384615384615
8.0,14,0,2,4,6,0.0,0.1428571428571428,0.2857142857142857,0.4285714285714285
8.25,26,0,1,4,5,0.0,0.0384615384615384,0.1538461538461538,0.1923076923076923
8.5,14,0,0,0,3,0.0,0.0,0.0,0.2142857142857142
8.75,10,0,0,1,3,0.0,0.0,0.1,0.3
9.0,17,2,2,4,8,0.1176470588235294,0.1176470588235294,0.2352941176470588,0.4705882352941176
9.25,14,1,1,1,5,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.3571428571428571
9.5,13,0,0,1,2,0.0,0.0,0.0769230769230769,0.1538461538461538
9.75,3,0,0,0,0,0.0,0.0,0.0,0.0
10.0,10,0,1,2,4,0.0,0.1,0.2,0.4
10.25,9,1,1,1,2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222
10.5,8,0,1,1,1,0.0,0.125,0.125,0.125
10.75,14,2,2,3,5,0.1428571428571428,0.1428571428571428,0.2142857142857142,0.3571428571428571
11.0,7,1,3,3,3,0.1428571428571428,0.4285714285714285,0.4285714285714285,0.4285714285714285
11.25,10,0,0,2,3,0.0,0.0,0.2,0.3
11.5,12,0,0,0,2,0.0,0.0,0.0,0.1666666666666666
11.75,14,2,2,3,3,0.1428571428571428,0.1428571428571428,0.2142857142857142,0.2142857142857142
12.0,6,0,0,0,1,0.0,0.0,0.0,0.1666666666666666
12.25,4,0,0,0,1,0.0,0.0,0.0,0.25
12.5,10,1,2,2,3,0.1,0.2,0.2,0.3
12.75,5,0,1,3,3,0.0,0.2,0.6,0.6
13.0,4,1,2,2,2,0.25,0.5,0.5,0.5
13.25,4,0,1,1,1,0.0,0.25,0.25,0.25
13.5,5,0,2,3,3,0.0,0.4,0.6,0.6
13.75,6,0,0,0,2,0.0,0.0,0.0,0.3333333333333333
14.0,8,1,2,2,3,0.125,0.25,0.25,0.375
14.25,8,0,0,0,1,0.0,0.0,0.0,0.125
14.5,8,0,1,1,3,0.0,0.125,0.125,0.375
14.75,9,0,1,1,3,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333
15.0,6,0,0,0,1,0.0,0.0,0.0,0.1666666666666666
15.25,2,0,0,0,0,0.0,0.0,0.0,0.0
15.5,6,0,0,0,0,0.0,0.0,0.0,0.0
15.75,3,0,0,1,1,0.0,0.0,0.3333333333333333,0.3333333333333333
16.0,7,0,0,1,2,0.0,0.0,0.1428571428571428,0.2857142857142857
16.25,3,0,0,0,0,0.0,0.0,0.0,0.0
16.75,8,0,1,3,4,0.0,0.125,0.375,0.5
17.0,7,0,0,0,0,0.0,0.0,0.0,0.0
17.5,4,0,0,0,2,0.0,0.0,0.0,0.5
17.75,5,1,1,1,1,0.2,0.2,0.2,0.2
18.0,3,0,0,0,0,0.0,0.0,0.0,0.0
18.25,2,0,0,0,0,0.0,0.0,0.0,0.0
18.5,2,0,0,0,0,0.0,0.0,0.0,0.0
19.0,1,0,0,0,0,0.0,0.0,0.0,0.0
19.25,1,0,0,0,1,0.0,0.0,0.0,1.0
20.0,4,0,0,0,0,0.0,0.0,0.0,0.0
20.25,2,0,0,0,0,0.0,0.0,0.0,0.0
20.5,2,0,0,0,0,0.0,0.0,0.0,0.0
22.25,1,0,1,1,1,0.0,1.0,1.0,1.0
